Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,ID,Pos,Year
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,,,
Lamar JacksonL. Jackson,8,474.0,401,265,3127,36,6,0,176,1206,7,0,0,0,0,0,2,0,lamar-jackson-jacksla06,QB,2019
Dak PrescottD. Prescott,8,385.0,596,388,4902,30,11,1,52,277,3,0,0,0,0,0,2,0,dak-prescott-prescda01,QB,2019
Russell WilsonR. Wilson,11,379.0,516,341,4110,31,5,1,75,342,3,0,0,0,0,0,2,0,russell-wilson-wilsoru01,QB,2019
Jameis WinstonJ. Winston,7,365.0,626,380,5109,33,30,2,59,250,1,2,0,0,0,0,5,0,jameis-winston-winstja01,QB,2019
Deshaun WatsonD. Watson,10,364.0,495,333,3852,26,12,1,82,413,7,0,1,6,1,0,3,0,deshaun-watson-watsode03,QB,2019
Patrick MahomesP. Mahomes,12,329.0,484,319,4031,26,5,1,43,218,2,0,0,0,0,0,2,0,patrick-mahomes-mahompa01,QB,2019
Aaron RodgersA. Rodgers,11,322.0,569,353,4002,26,4,2,46,183,1,1,0,0,0,0,4,0,aaron-rodgers-rodgeaa01,QB,2019
Carson WentzC. Wentz,10,322.0,607,388,4039,27,7,2,62,243,1,0,0,0,0,0,7,0,carson-wentz-wentzca02,QB,2019
Josh AllenJ. Allen,6,318.0,461,271,3089,20,9,2,109,510,9,1,0,0,0,0,4,0,josh-allen-allenjo06,QB,2019
Kyler MurrayK. Murray,12,311.0,542,349,3722,20,12,3,93,544,4,0,0,0,0,0,2,0,kyler-murray-murraky01,QB,2019
Matt RyanM. Ryan,9,311.0,616,408,4466,26,14,1,34,147,1,0,0,0,0,0,5,0,matt-ryan-ryanma01,QB,2019
Tom BradyT. Brady,10,304.0,613,373,4057,24,8,1,26,34,3,0,0,0,0,0,1,0,tom-brady-bradyto01,QB,2019
Jimmy GaroppoloJ. Garoppolo,4,294.0,476,329,3978,27,13,2,46,62,1,0,0,0,0,0,5,0,jimmy-garoppolo-garopji01,QB,2019
Kirk CousinsK. Cousins,12,288.0,444,307,3603,26,6,1,31,63,1,0,0,0,0,0,3,0,kirk-cousins-cousiki01,QB,2019
Jared GoffJ. Goff,9,284.0,626,394,4638,22,16,0,33,40,2,0,0,0,0,0,5,0,jared-goff-goffja01,QB,2019
Derek CarrD. Carr,6,276.0,513,361,4054,21,8,0,27,82,2,0,0,0,0,0,3,0,derek-carr-carrde03,QB,2019
Philip RiversP. Rivers,12,276.0,591,390,4615,23,20,1,12,29,0,0,0,0,0,0,3,0,philip-rivers-riverph01,QB,2019
Drew BreesD. Brees,9,274.0,378,281,2979,27,4,0,9,-4,1,0,0,0,0,0,0,0,drew-brees-breesdr01,QB,2019
Ryan FitzpatrickR. Fitzpatrick,5,269.0,502,311,3529,20,13,1,54,243,4,0,0,0,0,0,2,0,ryan-fitzpatrick-fitzpry01,QB,2019
Gardner MinshewG. Minshew,10,265.0,470,285,3271,21,6,3,67,344,0,0,0,0,0,0,7,0,gardner-minshew-minshga01,QB,2019
Daniel JonesD. Jones,11,263.0,459,284,3027,24,12,2,45,279,2,0,0,0,0,0,11,0,daniel-jones-jonesda20,QB,2019
Baker MayfieldB. Mayfield,7,262.0,534,317,3827,22,21,1,28,141,3,0,0,0,0,0,2,0,baker-mayfield-mayfiba01,QB,2019
Ryan TannehillR. Tannehill,5,261.0,286,201,2742,22,6,0,43,185,4,1,0,0,0,0,3,0,ryan-tannehill-tannery01,QB,2019
Jacoby BrissettJ. Brissett,6,244.0,447,272,2942,18,6,1,56,228,4,0,1,2,0,0,5,0,jacoby-brissett-brissja01,QB,2019
Andy DaltonA. Dalton,9,232.0,528,314,3494,16,14,1,32,73,4,1,1,-4,0,0,4,0,andy-dalton-daltoan02,QB,2019
Mitchell TrubiskyM. Trubisky,6,228.0,516,326,3138,17,10,1,48,193,2,0,0,0,0,0,2,0,mitchell-trubisky-trubimi01,QB,2019
Sam DarnoldS. Darnold,4,221.0,441,273,3024,19,13,3,33,62,2,0,0,0,0,0,3,0,sam-darnold-darnosa01,QB,2019
Kyle AllenK. Allen,7,211.0,489,303,3322,17,16,0,32,106,2,0,0,0,0,0,7,0,kyle-allen-allenky01,QB,2019
Matthew StaffordM. Stafford,5,201.0,291,187,2499,19,5,0,20,66,0,0,0,0,0,0,3,0,matthew-stafford-staffma01,QB,2019
Mason RudolphM. Rudolph,7,128.0,283,176,1765,13,9,0,21,42,0,0,0,0,0,0,0,0,mason-rudolph-rudolma02,QB,2019
Case KeenumC. Keenum,10,125.0,247,160,1707,11,5,0,9,12,1,0,0,0,0,0,3,0,case-keenum-keenuca01,QB,2019
Teddy BridgewaterT. Bridgewater,9,103.0,196,133,1384,9,2,0,28,31,0,0,0,0,0,0,0,0,teddy-bridgewater-bridgte01,QB,2019
Joe FlaccoJ. Flacco,10,94.0,262,171,1822,6,5,1,12,20,0,0,0,0,0,0,3,0,joe-flacco-flaccjo01,QB,2019
Marcus MariotaM. Mariota,11,94.0,160,95,1203,7,2,0,24,129,0,0,0,0,0,0,0,0,marcus-mariota-marioma01,QB,2019
Taysom HillT. Hill,9,91.0,6,3,55,0,0,0,27,156,1,0,19,234,6,0,0,0,taysom-hill-hillta01,QB,2019
Dwayne HaskinsD. Haskins,10,85.0,203,119,1365,7,7,1,20,101,0,0,0,0,0,0,2,0,dwayne-haskins-haskidw01,QB,2019
Drew LockD. Lock,10,79.0,156,100,1020,7,3,0,18,72,0,0,0,0,0,0,1,0,drew-lock-lockdr01,QB,2019
Eli ManningE. Manning,11,66.0,147,91,1042,6,5,0,4,7,0,0,0,0,0,0,1,0,eli-manning-manniel01,QB,2019
Jeff DriskelJ. Driskel,9,63.0,105,62,685,4,4,0,22,151,1,0,1,6,0,0,0,0,jeff-driskel-driskje01,QB,2019
David BloughD. Blough,7,59.0,174,94,984,4,6,0,8,31,0,0,1,19,1,0,0,0,david-blough-blougda01,QB,2019
Devlin HodgesD. Hodges,7,57.0,160,100,1063,5,8,0,21,68,0,0,0,0,0,0,1,0,devlin-hodges-hodgede01,QB,2019
Matt MooreM. Moore,12,49.0,91,59,659,4,0,0,5,-1,0,0,0,0,0,0,0,0,matt-moore-moorema07,QB,2019
Nick FolesN. Foles,10,43.0,117,77,736,3,2,1,4,23,0,0,0,0,0,0,2,0,nick-foles-folesni01,QB,2019
Matt SchaubM. Schaub,9,39.0,67,50,580,3,1,1,3,-3,0,0,0,0,0,0,1,0,matt-schaub-schauma01,QB,2019
Brandon AllenB. Allen,10,35.0,84,39,515,3,2,0,10,39,0,0,0,0,0,0,0,0,brandon-allen-allenbr04,QB,2019
Chase DanielC. Daniel,6,30.0,64,45,435,3,2,0,6,6,0,0,0,0,0,0,0,0,chase-daniel-daniech01,QB,2019
Brian HoyerB. Hoyer,10,29.0,65,35,372,4,4,0,8,2,0,0,0,0,0,0,1,0,brian-hoyer-hoyerbr01,QB,2019
Ryan FinleyR. Finley,9,28.0,87,41,474,2,2,0,10,77,0,0,0,0,0,0,3,0,ryan-finley-finlery01,QB,2019
Cam NewtonC. Newton,7,18.0,89,50,572,0,1,0,5,-2,0,0,0,0,0,0,2,0,cam-newton-newtoca02,QB,2019
Josh RosenJ. Rosen,12,18.0,109,58,567,1,5,0,3,13,0,0,0,0,0,0,0,0,josh-rosen-rosenjo01,QB,2019
A.J. McCarronA. McCarron,6,16.0,37,21,225,0,1,0,5,39,1,0,0,0,0,0,0,0,aj-mccarron-mccaraj01,QB,2019
Robert Griffin IIIR. Griffin,8,13.0,38,23,225,1,2,0,20,70,0,0,0,0,0,0,0,0,robert-griffin-griffro02,QB,2019
Ben RoethlisbergerB. Roethlisberger,7,12.0,62,35,351,0,1,0,1,7,0,0,0,0,0,0,0,0,ben-roethlisberger-roethbe01,QB,2019
Tyrod TaylorT. Taylor,12,8.0,6,4,33,1,0,0,10,7,0,0,0,0,0,0,0,0,tyrod-taylor-tayloty02,QB,2019
Matt BarkleyM. Barkley,6,7.0,51,27,359,0,3,0,2,-4,0,0,0,0,0,0,1,0,matt-barkley-barklma01,QB,2019
Luke FalkL. Falk,5,7.0,73,47,416,0,3,0,0,0,0,0,0,0,0,0,1,0,luke-falk-falklu01,QB,2019
Mike GlennonM. Glennon,6,6.0,10,6,56,1,0,0,2,0,0,0,0,0,0,0,1,0,mike-glennon-glennmi01,QB,2019
Brett HundleyB. Hundley,12,4.0,11,5,49,0,0,0,7,41,0,0,0,0,0,0,0,0,brett-hundley-hundlbr01,QB,2019
Colt McCoyC. McCoy,10,3.0,27,18,122,0,1,0,2,14,0,0,0,0,0,0,0,0,colt-mccoy-mccoyco01,QB,2019
Blake BortlesB. Bortles,9,0.0,2,1,3,0,0,0,2,-9,0,0,0,0,0,0,0,0,blake-bortles-bortlbl01,QB,2019
Tim BoyleT. Boyle,11,0.0,4,3,15,0,0,0,5,-7,0,0,0,0,0,0,0,0,tim-boyle-boyleti01,QB,2019
Garrett GilbertG. Gilbert,7,0.0,3,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,garrett-gilbert-gilbega02,QB,2019
Will GrierW. Grier,7,0.0,52,28,228,0,4,0,7,22,0,0,0,0,0,0,1,0,will-grier-grierwi01,QB,2019
Ryan GriffinR. Griffin,7,0.0,4,2,18,0,0,0,4,-1,0,0,0,0,0,0,0,0,ryan-griffin-griffry02,QB,2019
Sean MannionS. Mannion,12,0.0,21,12,126,0,2,0,6,-5,0,0,0,0,0,0,1,0,sean-mannion-mannise02,QB,2019
Josh McCownJ. McCown,10,0.0,5,3,24,0,0,0,2,-2,0,0,0,0,0,0,0,0,josh-mccown-mccowjo01,QB,2019
Trace McSorleyT. McSorley,8,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trace-mcsorley-mcsortr01,QB,2019
Nick MullensN. Mullens,4,0.0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,nick-mullens-mulleni01,QB,2019
Trevor SiemianT. Siemian,4,0.0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,trevor-siemian-siemitr01,QB,2019
Alex TanneyA. Tanney,11,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,alex-tanney-tanneal01,QB,2019
Jarrett StidhamJ. Stidham,10,-2.0,4,2,14,0,1,0,2,-2,0,0,0,0,0,0,0,0,jarrett-stidham-stidhja01,QB,2019
Christian McCaffreyC. McCaffrey,7,456.0,2,0,0,0,0,0,287,1387,15,1,116,1005,4,0,0,0,christian-mccaffrey-mccafch01,RB,2019
Aaron JonesA. Jones,11,304.0,0,0,0,0,0,0,236,1084,16,0,49,474,3,0,2,0,aaron-jones-jonesaa02,RB,2019
Ezekiel ElliottE. Elliott,8,300.0,0,0,0,0,0,0,301,1357,12,0,54,420,2,0,2,0,ezekiel-elliott-ellioez01,RB,2019
Austin EkelerA. Ekeler,12,295.0,0,0,0,0,0,0,132,557,3,0,92,993,8,0,2,0,austin-ekeler-ekeleau01,RB,2019
Derrick HenryD. Henry,11,284.0,0,0,0,0,0,0,303,1540,16,0,18,206,2,0,3,0,derrick-henry-henryde01,RB,2019
Dalvin CookD. Cook,12,282.0,0,0,0,0,0,0,250,1135,13,0,53,519,0,0,2,0,dalvin-cook-cookda04,RB,2019
Leonard FournetteL. Fournette,10,249.0,0,0,0,0,0,0,265,1152,3,0,76,522,0,0,1,0,leonard-fournette-fournle01,RB,2019
Nick ChubbN. Chubb,7,245.0,0,0,0,0,0,0,298,1494,8,0,36,278,0,0,3,0,nick-chubb-chubbni01,RB,2019
Alvin KamaraA. Kamara,9,237.0,1,1,13,0,0,0,171,797,5,0,81,533,1,0,1,0,alvin-kamara-kamaral01,RB,2019
Saquon BarkleyS. Barkley,11,233.0,0,0,0,0,0,0,217,1003,6,0,52,438,2,0,0,0,saquon-barkley-barklsa01,RB,2019
Mark IngramM. Ingram,8,232.0,0,0,0,0,0,0,202,1018,10,2,26,247,5,0,2,0,mark-ingram-ingrama02,RB,2019
Chris CarsonC. Carson,11,225.0,0,0,0,0,0,0,278,1230,7,0,37,266,2,0,4,0,chris-carson-carsoch01,RB,2019
Joe MixonJ. Mixon,9,214.0,0,0,0,0,0,0,278,1137,5,0,35,287,3,0,0,0,joe-mixon-mixonjo01,RB,2019
Todd GurleyT. Gurley,9,211.0,0,0,0,0,0,0,223,857,12,1,31,207,2,0,2,0,todd-gurley-gurleto02,RB,2019
Miles SandersM. Sanders,10,207.0,0,0,0,0,0,0,179,818,3,1,50,509,3,0,1,0,miles-sanders-sandemi01,RB,2019
Le'Veon BellL. Bell,4,204.0,0,0,0,0,0,0,245,789,3,0,66,461,1,1,1,0,leveon-bell-bellle02,RB,2019
Kenyan DrakeK. Drake,12,203.0,0,0,0,0,0,0,170,817,8,0,50,345,0,1,1,0,kenyan-drake-drakeke02,RB,2019
Devonta FreemanD. Freeman,9,187.0,0,0,0,0,0,0,184,656,2,0,59,410,4,0,2,0,devonta-freeman-freemde01,RB,2019
James WhiteJ. White,10,187.0,1,1,35,0,0,0,67,263,1,1,72,645,5,0,1,0,james-white-whiteja06,RB,2019
Phillip LindsayP. Lindsay,10,185.0,0,0,0,0,0,0,224,1011,7,0,35,196,0,0,0,0,phillip-lindsay-lindsph01,RB,2019
Josh JacobsJ. Jacobs,6,184.0,0,0,0,0,0,0,242,1150,7,0,20,166,0,0,1,0,josh-jacobs-jacobjo05,RB,2019
Melvin GordonM. Gordon,12,173.0,0,0,0,0,0,0,162,612,8,0,42,296,1,0,3,0,melvin-gordon-gordome01,RB,2019
