Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,ID,Pos,Year
Marlon MackM. Mack,6,170.0,0,0,0,0,0,0,247,1091,8,1,14,82,0,0,0,0,marlon-mack-mackma01,RB,2019
David MontgomeryD. Montgomery,6,160.0,0,0,0,0,0,0,242,889,6,0,25,185,1,0,2,0,david-montgomery-montgda01,RB,2019
Raheem MostertR. Mostert,4,157.0,0,0,0,0,0,0,137,772,8,0,14,180,2,0,2,0,raheem-mostert-mostera01,RB,2019
Ronald Jones IIR. Jones,7,156.0,0,0,0,0,0,0,172,724,6,0,31,309,0,0,2,0,ronald-jones-jonesro13,RB,2019
Tarik CohenT. Cohen,6,146.0,0,0,0,0,0,0,64,213,0,0,79,456,3,0,0,0,tarik-cohen-cohenta01,RB,2019
Carlos HydeC. Hyde,12,146.0,0,0,0,0,0,0,245,1070,6,0,10,42,0,0,2,0,carlos-hyde-hydeca01,RB,2019
Sony MichelS. Michel,10,145.0,0,0,0,0,0,0,247,912,7,0,12,94,0,0,1,0,sony-michel-micheso01,RB,2019
Latavius MurrayL. Murray,9,144.0,0,0,0,0,0,0,146,637,5,0,34,235,1,0,0,0,latavius-murray-murrala01,RB,2019
Duke JohnsonD. Johnson,10,143.0,0,0,0,0,0,0,83,410,2,0,44,410,3,0,1,0,duke-johnson-johnsdu02,RB,2019
James ConnerJ. Conner,7,140.0,0,0,0,0,0,0,116,464,4,0,34,251,3,0,1,0,james-conner-conneja02,RB,2019
Devin SingletaryD. Singletary,6,137.0,0,0,0,0,0,0,151,775,2,0,29,194,2,0,1,0,devin-singletary-singlde01,RB,2019
Adrian PetersonA. Peterson,10,135.0,0,0,0,0,0,0,211,898,5,0,17,142,0,0,2,0,adrian-peterson-peterad02,RB,2019
Jamaal WilliamsJ. Williams,11,135.0,0,0,0,0,0,0,107,460,1,0,39,253,5,0,0,0,jamaal-williams-willija32,RB,2019
David JohnsonD. Johnson,12,132.0,0,0,0,0,0,0,94,345,2,0,36,370,4,0,1,0,david-johnson-johnsda16,RB,2019
Damien WilliamsD. Williams,12,132.0,0,0,0,0,0,0,111,498,5,0,30,213,2,0,1,0,damien-williams-willida20,RB,2019
Royce FreemanR. Freeman,10,130.0,0,0,0,0,0,0,132,496,3,0,43,256,1,0,0,0,royce-freeman-freemro04,RB,2019
Tevin ColemanT. Coleman,4,126.0,0,0,0,0,0,0,137,544,6,0,21,180,1,0,0,0,tevin-coleman-colemte01,RB,2019
LeSean McCoyL. McCoy,6,112.0,0,0,0,0,0,0,101,465,4,0,28,181,1,0,2,0,lesean-mccoy-mccoyle02,RB,2019
Peyton BarberP. Barber,7,107.0,0,0,0,0,0,0,154,470,6,1,16,115,1,0,1,0,peyton-barber-barbepe01,RB,2019
DeAndre WashingtonD. Washington,6,107.0,0,0,0,0,0,0,108,387,3,0,36,292,0,0,0,0,deandre-washington-washide03,RB,2019
Jordan HowardJ. Howard,10,104.0,0,0,0,0,0,0,119,525,6,0,10,69,1,0,0,0,jordan-howard-howarjo02,RB,2019
Nyheim HinesN. Hines,6,96.0,0,0,0,0,0,0,52,199,2,0,44,320,0,0,1,0,nyheim-hines-hinesny01,RB,2019
Matt BreidaM. Breida,4,94.0,0,0,0,0,0,0,123,623,1,0,19,120,1,0,1,0,matt-breida-breidma01,RB,2019
Kareem HuntK. Hunt,7,94.0,0,0,0,0,0,0,43,179,2,0,37,285,1,0,0,0,kareem-hunt-huntka01,RB,2019
Jaylen SamuelsJ. Samuels,7,94.0,5,4,35,0,1,0,66,175,1,0,47,305,1,0,1,0,jaylen-samuels-samueja01,RB,2019
Rex BurkheadR. Burkhead,10,91.0,0,0,0,0,0,0,65,302,3,0,27,279,0,0,1,0,rex-burkhead-burkhre01,RB,2019
Boston ScottB. Scott,10,91.0,0,0,0,0,0,0,61,245,5,0,24,204,0,0,1,0,boston-scott-scottbo04,RB,2019
Frank GoreF. Gore,6,84.0,0,0,0,0,0,0,166,599,2,0,13,100,0,0,0,0,frank-gore-gorefr01,RB,2019
Chris ThompsonC. Thompson,10,84.0,0,0,0,0,0,0,37,138,0,0,42,378,0,0,0,0,chris-thompson-thompch05,RB,2019
Gus EdwardsG. Edwards,8,83.0,0,0,0,0,0,0,133,711,2,0,7,45,0,0,1,0,gus-edwards-edwargu01,RB,2019
Tony PollardT. Pollard,8,82.0,0,0,0,0,0,0,86,455,2,1,15,107,1,0,1,0,tony-pollard-pollato02,RB,2019
Kerryon JohnsonK. Johnson,5,80.0,0,0,0,0,0,0,113,403,3,0,10,127,1,0,1,0,kerryon-johnson-johnske22,RB,2019
Chase EdmondsC. Edmonds,12,75.0,0,0,0,0,0,0,60,303,4,0,12,105,1,0,0,0,chase-edmonds-edmonch02,RB,2019
J.D. McKissicJ. McKissic,11,74.0,0,0,0,0,0,0,38,205,0,0,34,233,1,0,0,0,jd-mckissic-mckisjd01,RB,2019
Rashaad PennyR. Penny,11,71.0,0,0,0,0,0,0,65,370,3,0,8,83,1,0,1,0,rashaad-penny-pennyra01,RB,2019
Dare OgunbowaleD. Ogunbowale,7,70.0,0,0,0,0,0,0,11,17,2,0,35,286,0,0,1,0,dare-ogunbowale-ogunbda01,RB,2019
Jalen RichardJ. Richard,6,70.0,0,0,0,0,0,0,39,145,0,0,36,323,0,0,0,0,jalen-richard-richaja09,RB,2019
Darrel WilliamsD. Williams,12,63.0,0,0,0,0,0,0,41,141,3,0,15,167,1,0,1,0,darrel-williams-willida29,RB,2019
Brian HillB. Hill,9,62.0,0,0,0,0,0,0,78,323,2,0,10,69,1,0,0,0,brian-hill-hillbr03,RB,2019
Patrick LairdP. Laird,5,61.0,0,0,0,0,0,0,62,168,1,0,23,204,0,1,0,0,patrick-laird-lairdpa01,RB,2019
Alexander MattisonA. Mattison,12,61.0,0,0,0,0,0,0,100,462,1,0,10,82,0,0,1,0,alexander-mattison-mattial01,RB,2019
Giovani BernardG. Bernard,9,59.0,0,0,0,0,0,0,53,170,0,0,30,234,0,0,1,0,giovani-bernard-bernagi01,RB,2019
Dion LewisD. Lewis,11,56.0,0,0,0,0,0,0,54,209,0,0,25,164,1,0,1,0,dion-lewis-lewisdi01,RB,2019
Malcolm BrownM. Brown,9,55.0,0,0,0,0,0,0,69,255,5,0,2,16,0,0,0,0,malcolm-brown-brownma16,RB,2019
Benjamin SnellB. Snell,7,54.0,0,0,0,0,0,0,108,426,2,0,3,23,0,0,1,0,benjamin-snell-snellbe02,RB,2019
Derrius GuiceD. Guice,10,53.0,0,0,0,0,0,0,42,245,2,0,7,79,1,0,0,0,derrius-guice-guicede01,RB,2019
Ty JohnsonT. Johnson,5,50.0,0,0,0,0,0,0,63,273,0,0,24,109,0,0,1,0,ty-johnson-johnsty04,RB,2019
Brandon BoldenB. Bolden,10,47.0,0,0,0,0,0,0,15,68,3,0,9,111,1,0,0,0,brandon-bolden-boldebr01,RB,2019
Kyle JuszczykK. Juszczyk,4,47.0,0,0,0,0,0,0,3,7,0,0,20,239,1,0,0,0,kyle-juszczyk-juszcky01,RB,2019
Mike BooneM. Boone,12,46.0,0,0,0,0,0,0,49,273,3,0,3,17,0,0,0,0,mike-boone-boonemi01,RB,2019
Wayne GallmanW. Gallman,11,46.0,0,0,0,0,0,0,29,110,2,0,11,102,1,0,1,0,wayne-gallman-gallmwa01,RB,2019
Jordan WilkinsJ. Wilkins,6,46.0,0,0,0,0,0,0,51,307,2,0,7,43,0,0,0,0,jordan-wilkins-wilkijo04,RB,2019
Ryquell ArmsteadR. Armstead,10,45.0,0,0,0,0,0,0,35,108,0,0,14,144,2,0,0,0,ryquell-armstead-armstry01,RB,2019
Kalen BallageK. Ballage,5,43.0,0,0,0,0,0,0,74,135,3,0,14,63,0,0,0,0,kalen-ballage-ballaka02,RB,2019
Jeffery WilsonJ. Wilson,4,43.0,0,0,0,0,0,0,27,105,4,0,3,34,1,0,0,0,jeffery-wilson-wilsoje05,RB,2019
Bo ScarbroughB. Scarbrough,5,41.0,0,0,0,0,0,0,89,377,1,0,1,5,0,0,1,0,bo-scarbrough-scarbbo01,RB,2019
Justice HillJ. Hill,8,39.0,0,0,0,0,0,0,58,225,2,0,8,70,0,0,0,0,justice-hill-hillju01,RB,2019
Mark WaltonM. Walton,9,39.0,0,0,0,0,0,0,53,201,0,0,15,89,0,0,1,0,mark-walton-waltoma01,RB,2019
Jonathan WilliamsJ. Williams,6,38.0,0,0,0,0,0,0,49,235,1,0,5,59,0,0,0,0,jonathan-williams-willijo26,RB,2019
Ameer AbdullahA. Abdullah,12,35.0,0,0,0,0,0,0,23,115,0,0,15,88,1,0,1,0,ameer-abdullah-abdulam01,RB,2019
C.J. HamC. Ham,12,34.0,0,0,0,0,0,0,7,17,0,0,17,149,1,0,1,0,cj-ham-hamcj01,RB,2019
Dontrell HilliardD. Hilliard,7,33.0,0,0,0,0,0,0,13,49,2,0,12,92,0,0,0,0,dontrell-hilliard-hillido01,RB,2019
Ito SmithI. Smith,9,32.0,0,0,0,0,0,0,22,106,1,0,11,87,0,0,0,0,ito-smith-smithit01,RB,2019
Qadree OllisonQ. Ollison,9,28.0,0,0,0,0,0,0,22,50,4,0,1,7,0,0,0,0,qadree-ollison-ollisqa01,RB,2019
Myles GaskinM. Gaskin,5,27.0,0,0,0,0,0,0,36,133,1,0,7,51,0,0,0,0,myles-gaskin-gaskimy01,RB,2019
Darwin ThompsonD. Thompson,12,27.0,0,0,0,0,0,0,37,128,1,0,9,43,0,0,0,0,darwin-thompson-thompda08,RB,2019
T.J. YeldonT. Yeldon,6,27.0,0,0,0,0,0,0,17,63,0,0,13,124,0,0,1,0,tj-yeldon-yeldotj01,RB,2019
Bilal PowellB. Powell,4,26.0,1,0,0,0,0,0,59,229,0,0,7,33,0,0,0,0,bilal-powell-powelbi01,RB,2019
Travis HomerT. Homer,11,25.0,0,0,0,0,0,0,18,114,0,0,11,56,0,0,0,0,travis-homer-homertr01,RB,2019
Justin JacksonJ. Jackson,12,25.0,0,0,0,0,0,0,29,200,0,0,9,22,0,0,0,0,justin-jackson-jacksju03,RB,2019
Reggie BonnafonR. Bonnafon,7,24.0,0,0,0,0,0,0,16,116,1,0,6,57,0,0,0,0,reggie-bonnafon-bonnare01,RB,2019
Cordarrelle PattersonC. Patterson,6,24.0,0,0,0,0,0,0,17,103,0,0,11,83,0,0,0,0,cordarrelle-patterson-patteco01,RB,2019
C.J. ProsiseC. Prosise,11,24.0,0,0,0,0,0,0,23,72,1,0,10,76,0,0,1,0,cj-prosise-prosicj01,RB,2019
Andrew BeckA. Beck,10,21.0,1,1,6,0,0,0,1,3,0,0,9,90,1,0,0,0,andrew-beck-beckan01,RB,2019
Trey EdmundsT. Edmunds,7,17.0,0,0,0,0,0,0,22,92,0,0,6,48,0,0,0,0,trey-edmunds-edmuntr01,RB,2019
Darrell HendersonD. Henderson,9,17.0,0,0,0,0,0,0,39,147,0,0,4,37,0,0,0,0,darrell-henderson-hendeda01,RB,2019
Wendell SmallwoodW. Smallwood,10,17.0,0,0,0,0,0,0,22,81,0,0,9,64,0,0,0,0,wendell-smallwood-smallwe01,RB,2019
Wes HillsW. Hills,5,16.0,0,0,0,0,0,0,10,21,2,0,2,1,0,0,0,0,wes-hills-hillswe01,RB,2019
Patrick RicardP. Ricard,8,16.0,0,0,0,0,0,0,0,0,0,0,8,47,1,0,0,0,patrick-ricard-ricarpa01,RB,2019
Alec IngoldA. Ingold,6,15.0,0,0,0,0,0,0,10,17,0,0,6,44,1,0,0,0,alec-ingold-ingolal01,RB,2019
Dan VitaleD. Vitale,11,14.0,0,0,0,0,0,0,1,3,0,0,7,97,0,0,0,0,dan-vitale-vitalda01,RB,2019
Andy JanovichA. Janovich,10,13.0,0,0,0,0,0,0,1,1,1,0,5,42,0,0,0,0,andy-janovich-janovan01,RB,2019
D'Ernest JohnsonD. Johnson,7,13.0,0,0,0,0,0,0,4,21,0,0,6,71,0,0,0,0,dernest-johnson-johnsde20,RB,2019
Darren SprolesD. Sproles,10,13.0,0,0,0,0,0,0,17,66,0,1,6,24,0,0,0,0,darren-sproles-sprolda01,RB,2019
Kerrith WhyteK. Whyte,6,12.0,0,0,0,0,0,0,24,122,0,0,1,9,0,0,0,0,kerrith-whyte-whyteke01,RB,2019
Spencer WareS. Ware,6,11.0,0,0,0,0,0,0,17,51,0,0,5,22,0,0,0,0,spencer-ware-waresp01,RB,2019
Derek WattD. Watt,12,11.0,0,0,0,0,0,0,7,10,1,0,3,32,0,0,0,0,derek-watt-wattde01,RB,2019
Devontae BookerD. Booker,10,10.0,0,0,0,0,0,0,2,9,0,0,6,57,0,0,0,0,devontae-booker-bookede02,RB,2019
Troymaine PopeT. Pope,12,10.0,0,0,0,0,0,0,10,20,0,0,2,14,1,0,1,0,troymaine-pope-popetr01,RB,2019
Javorius AllenJ. Allen,9,9.0,0,0,0,0,0,0,10,36,1,0,1,9,0,0,0,0,javorius-allen-allenja08,RB,2019
Tra CarsonT. Carson,5,9.0,0,0,0,0,0,0,18,48,0,0,4,18,0,0,0,0,tra-carson-carsotr01,RB,2019
Mike DavisM. Davis,7,9.0,0,0,0,0,0,0,13,27,0,0,7,22,0,0,0,0,mike-davis-davismi08,RB,2019
Jon HillimanJ. Hilliman,11,9.0,0,0,0,0,0,0,30,91,0,0,3,1,0,0,2,0,jon-hilliman-hillijo02,RB,2019
Marshawn LynchM. Lynch,11,9.0,0,0,0,0,0,0,12,34,1,0,0,0,0,0,0,0,marshawn-lynch-lynchma01,RB,2019
Alex ArmahA. Armah,7,8.0,0,0,0,0,0,0,6,11,1,0,2,6,0,0,0,0,alex-armah-armahal01,RB,2019
Khari BlasingameK. Blasingame,12,8.0,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0,khari-blasingame-blasikh01,RB,2019
