Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
D.J. MooreD. Moore,13,205.0,1,0,0,0,0,0,2,22,0,0,66,1193,4,0,0,0
Drew LockD. Lock,5,204.0,443,254,2933,16,15,1,44,160,3,0,0,0,0,0,3,0
Cole BeasleyC. Beasley,11,203.0,1,1,20,1,0,0,0,0,0,0,82,967,4,0,0,0
Cooper KuppC. Kupp,9,203.0,0,0,0,0,0,0,4,33,0,0,92,974,3,0,1,0
CeeDee LambC. Lamb,10,201.0,0,0,0,0,0,0,10,82,1,1,74,935,5,0,1,0
Nick ChubbN. Chubb,9,200.0,0,0,0,0,0,0,190,1067,12,0,16,150,0,0,1,0
Curtis SamuelC. Samuel,13,199.0,0,0,0,0,0,0,41,200,2,0,77,851,3,0,0,0
Daniel JonesD. Jones,11,198.0,448,280,2943,11,10,1,65,423,1,0,0,0,0,0,6,0
Mike DavisM. Davis,13,197.0,0,0,0,0,0,0,165,642,6,0,59,373,2,0,1,0
Joe BurrowJ. Burrow,9,196.0,404,264,2688,13,5,0,37,142,3,0,0,0,0,0,4,0
Antonio GibsonA. Gibson,8,194.0,0,0,0,0,0,0,170,795,11,0,36,247,0,0,2,0
Melvin GordonM. Gordon,5,191.0,0,0,0,0,0,0,215,986,9,0,32,158,1,0,4,0
Gardner MinshewG. Minshew,8,188.0,327,216,2259,16,5,1,29,153,1,0,1,0,0,0,4,0
Corey DavisC. Davis,4,187.0,0,0,0,0,0,0,0,0,0,0,65,984,5,0,1,0
Tee HigginsT. Higgins,9,187.0,0,0,0,0,0,0,5,28,0,0,67,908,6,0,1,0
Tyler BoydT. Boyd,9,186.0,2,1,16,0,0,0,5,49,0,0,79,841,4,0,0,0
Will FullerW. Fuller,8,185.0,0,0,0,0,0,0,1,0,0,0,53,879,8,0,0,0
Chris GodwinC. Godwin,13,185.0,0,0,0,0,0,0,0,0,0,0,65,840,7,0,0,0
Nyheim HinesN. Hines,7,181.0,0,0,0,0,0,0,89,380,3,1,63,482,4,0,0,0
Jarvis LandryJ. Landry,9,181.0,4,4,74,1,0,0,4,10,1,0,72,840,3,0,0,0
D'Andre SwiftD. Swift,5,181.0,0,0,0,0,0,0,114,521,8,0,46,357,2,0,2,0
Kenyan DrakeK. Drake,8,180.0,0,0,0,0,0,0,239,955,10,0,25,137,0,0,1,0
J.D. McKissicJ. McKissic,8,180.0,0,0,0,0,0,0,85,365,1,0,80,589,2,0,1,0
Mitchell TrubiskyM. Trubisky,11,180.0,297,199,2055,16,8,1,33,195,1,0,0,0,0,0,2,0
Brandon AiyukB. Aiyuk,11,179.0,0,0,0,0,0,0,6,77,2,0,60,748,5,0,0,0
Chris CarsonC. Carson,6,178.0,0,0,0,0,0,0,141,681,5,0,37,287,4,0,0,0
Nelson AgholorN. Agholor,6,177.0,0,0,0,0,0,0,0,0,0,0,48,896,8,0,0,0
Marquise BrownM. Brown,7,176.0,0,0,0,0,0,0,1,1,0,0,58,769,8,0,0,0
Russell GageR. Gage,10,176.0,2,1,39,1,0,0,2,9,0,0,72,786,4,0,0,0
Ronald Jones IIR. Jones,13,176.0,0,0,0,0,0,0,192,978,7,0,28,165,1,0,2,0
Ryan FitzpatrickR. Fitzpatrick,7,172.0,267,183,2091,13,8,2,30,151,2,1,1,0,0,0,0,0
David JohnsonD. Johnson,8,170.0,0,0,0,0,0,0,147,691,6,0,33,314,2,0,1,0
Logan ThomasL. Thomas,8,169.0,1,1,28,0,0,0,3,5,0,0,72,670,6,0,0,0
Robert TonyanR. Tonyan,5,168.0,0,0,0,0,0,0,0,0,0,0,52,586,11,0,0,0
Jamison CrowderJ. Crowder,10,167.0,1,1,43,1,0,0,1,14,0,0,59,699,6,0,0,0
T.J. HockensonT. Hockenson,5,167.0,0,0,0,0,0,0,1,0,0,0,67,723,6,1,1,0
Michael GallupM. Gallup,10,166.0,0,0,0,0,0,0,0,0,0,0,59,843,5,0,0,0
Clyde Edwards-HelaireC. Edwards-Helaire,10,165.0,0,0,0,0,0,0,181,803,4,0,36,297,1,0,0,0
Mark AndrewsM. Andrews,7,163.0,0,0,0,0,0,0,0,0,0,0,58,701,7,0,0,0
Miles SandersM. Sanders,9,163.0,0,0,0,0,0,0,164,867,6,2,28,197,0,0,2,0
DeVante ParkerD. Parker,7,161.0,0,0,0,0,0,0,0,0,0,0,63,793,4,0,0,0
J.K. DobbinsJ. Dobbins,7,159.0,0,0,0,0,0,0,134,805,9,1,18,120,0,1,0,0
Andy DaltonA. Dalton,10,158.0,333,216,2170,14,8,0,28,114,0,0,1,-3,0,0,1,0
Myles GaskinM. Gaskin,7,158.0,0,0,0,0,0,0,142,584,3,0,41,388,2,0,2,0
T.Y. HiltonT. Hilton,7,158.0,0,0,0,0,0,0,0,0,0,0,56,762,5,1,0,0
Emmanuel SandersE. Sanders,6,157.0,0,0,0,0,0,0,1,12,0,0,61,726,5,0,0,0
Austin EkelerA. Ekeler,6,156.0,0,0,0,0,0,0,116,530,1,0,54,403,2,0,0,0
Taysom HillT. Hill,6,156.0,121,88,928,4,2,0,87,457,8,0,8,98,1,0,5,0
Mike GesickiM. Gesicki,7,154.0,0,0,0,0,0,0,0,0,0,0,53,703,6,0,0,0
Tim PatrickT. Patrick,5,154.0,0,0,0,0,0,0,0,0,0,0,51,742,6,0,0,0
Sterling ShepardS. Shepard,11,154.0,0,0,0,0,0,0,6,49,1,0,66,656,3,1,0,0
James ConnerJ. Conner,4,153.0,0,0,0,0,0,0,169,721,6,0,35,215,0,0,0,0
Chase EdmondsC. Edmonds,8,152.0,0,0,0,0,0,0,97,448,1,0,53,402,4,0,0,0
Jerry JeudyJ. Jeudy,5,152.0,0,0,0,0,0,0,0,0,0,0,52,856,3,1,0,0
Dak PrescottD. Prescott,10,152.0,222,151,1856,9,4,1,18,93,3,1,1,11,1,0,3,0
Todd GurleyT. Gurley,10,151.0,0,0,0,0,0,0,195,678,9,0,25,164,0,0,0,0
Tua TagovailoaT. Tagovailoa,7,149.0,290,186,1814,11,5,1,36,109,3,0,0,0,0,0,1,0
D.J. CharkD. Chark,8,148.0,0,0,0,0,0,0,0,0,0,0,53,706,5,0,0,0
Laviska ShenaultL. Shenault,8,148.0,0,0,0,0,0,0,18,91,0,0,58,600,5,0,0,0
Giovani BernardG. Bernard,9,146.0,0,0,0,0,0,0,124,416,3,0,47,355,3,0,1,0
Mike WilliamsM. Williams,6,146.0,0,0,0,0,0,0,1,1,0,0,48,756,5,0,0,0
Sam DarnoldS. Darnold,10,144.0,364,217,2208,9,11,1,37,217,2,0,0,0,0,0,2,0
Darnell MooneyD. Mooney,11,143.0,0,0,0,0,0,0,4,20,0,0,61,631,4,1,0,0
Rob GronkowskiR. Gronkowski,13,142.0,0,0,0,0,0,0,0,0,0,0,45,623,7,0,0,0
Keelan ColeK. Cole,8,141.0,0,0,0,0,0,0,1,2,0,0,55,642,5,0,0,0
Noah FantN. Fant,5,141.0,0,0,0,0,0,0,0,0,0,0,62,673,3,1,0,0
Hayden HurstH. Hurst,7,141.0,0,0,0,0,0,0,0,0,0,0,56,571,6,0,0,0
Julio JonesJ. Jones,10,141.0,0,0,0,0,0,0,0,0,0,0,51,771,3,0,0,0
Dalton SchultzD. Schultz,10,141.0,0,0,0,0,0,0,0,0,0,0,63,615,4,0,1,0
Hunter HenryH. Henry,6,140.0,0,0,0,0,0,0,0,0,0,0,60,613,4,0,0,0
Christian KirkC. Kirk,8,139.0,0,0,0,0,0,0,2,3,0,0,48,621,6,0,0,0
Jimmy GrahamJ. Graham,11,138.0,0,0,0,0,0,0,0,0,0,0,50,456,8,0,0,0
Jakobi MeyersJ. Meyers,5,138.0,2,2,43,2,0,0,2,9,0,0,59,729,0,1,1,0
Nick MullensN. Mullens,11,138.0,326,211,2437,12,12,1,9,8,0,0,0,0,0,0,4,0
