Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,ID,Pos,Year
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,,,
Josh AllenJ. Allen,7,460.0,646,409,4407,36,15,1,122,763,6,1,0,0,0,1,3,0,josh-allen-allenjo06,QB,2021
Tom BradyT. Brady,9,454.0,719,485,5316,43,12,0,28,81,2,0,0,0,0,0,3,0,tom-brady-bradyto01,QB,2021
Justin HerbertJ. Herbert,7,442.0,672,443,5014,38,15,5,63,302,3,0,0,0,0,1,1,0,justin-herbert-herbeju01,QB,2021
Patrick MahomesP. Mahomes,12,428.0,658,436,4839,37,13,1,66,381,2,1,0,0,0,0,4,0,patrick-mahomes-mahompa01,QB,2021
Matthew StaffordM. Stafford,9,405.0,601,404,4886,41,17,2,32,43,0,0,0,0,0,0,2,0,matthew-stafford-staffma01,QB,2021
Aaron RodgersA. Rodgers,13,394.0,531,366,4115,37,4,0,33,101,3,0,1,-4,0,0,0,0,aaron-rodgers-rodgeaa01,QB,2021
Dak PrescottD. Prescott,7,390.0,596,410,4449,37,10,2,48,146,1,1,0,0,0,0,6,0,dak-prescott-prescda01,QB,2021
Joe BurrowJ. Burrow,10,372.0,520,366,4611,34,14,1,40,118,2,0,0,0,0,0,2,0,joe-burrow-burrojo02,QB,2021
Kirk CousinsK. Cousins,7,357.0,561,372,4221,33,7,0,29,115,1,0,0,0,0,0,2,0,kirk-cousins-cousiki01,QB,2021
Kyler MurrayK. Murray,12,335.0,481,333,3787,24,10,0,88,423,5,0,0,7,0,0,0,0,kyler-murray-murraky01,QB,2021
Jalen HurtsJ. Hurts,14,332.0,432,265,3144,16,9,3,139,784,10,0,0,0,0,0,2,0,jalen-hurts-hurtsja01,QB,2021
Carson WentzC. Wentz,14,304.0,516,322,3563,27,7,2,57,215,1,0,0,0,0,0,5,0,carson-wentz-wentzca02,QB,2021
Ryan TannehillR. Tannehill,13,295.0,531,357,3734,21,14,1,55,270,7,0,0,0,0,0,4,0,ryan-tannehill-tannery01,QB,2021
Derek CarrD. Carr,8,294.0,626,428,4804,23,14,0,40,108,0,0,0,0,0,0,5,0,derek-carr-carrde03,QB,2021
Russell WilsonR. Wilson,9,281.0,400,259,3113,25,6,1,43,183,2,0,0,0,0,0,1,0,russell-wilson-wilsoru01,QB,2021
Lamar JacksonL. Jackson,8,262.0,382,246,2882,16,13,2,133,767,2,0,0,0,0,0,3,0,lamar-jackson-jacksla06,QB,2021
Mac JonesM. Jones,14,261.0,521,352,3801,22,13,2,44,129,0,0,0,0,0,0,3,0,mac-jones-jonesma14,QB,2021
Jimmy GaroppoloJ. Garoppolo,6,260.0,441,301,3810,20,12,1,38,51,3,0,0,0,0,0,3,0,jimmy-garoppolo-garopji01,QB,2021
Ben RoethlisbergerB. Roethlisberger,7,258.0,605,390,3740,22,10,2,20,5,1,0,0,0,0,0,5,0,ben-roethlisberger-roethbe01,QB,2021
Matt RyanM. Ryan,6,252.0,560,375,3968,20,12,0,40,82,1,1,0,0,0,0,4,0,matt-ryan-ryanma01,QB,2021
