Player,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Todd Gurley,9,211.0,0,0,0,0,0,0,223,857,12,1,31,207,2,0,2,0
,11,210.0,0,0,0,0,0,0,3,60,1,0,52,1051,8,0,0,0
Davante Adams,11,209.0,0,0,0,0,0,0,0,0,0,0,83,997,5,1,1,0
Miles Sanders,10,207.0,0,0,0,0,0,0,179,818,3,1,50,509,3,0,1,0
Stefon Diggs,12,205.0,1,0,0,0,0,0,5,61,0,0,63,1130,6,0,3,0
Le'Veon Bell,4,204.0,0,0,0,0,0,0,245,789,3,0,66,461,1,1,1,0
Michael Gallup,8,204.0,0,0,0,0,0,0,0,0,0,0,66,1107,6,0,0,0
Kenyan Drake,12,203.0,0,0,0,0,0,0,170,817,8,0,50,345,0,1,1,0
Mark Andrews,8,202.0,0,0,0,0,0,0,0,0,0,0,64,852,10,0,1,0
Matthew Stafford,5,201.0,291,187,2499,19,5,0,20,66,0,0,0,0,0,0,3,0
Odell Beckham J,7,195.0,2,1,20,0,0,0,3,10,0,0,74,1035,4,0,1,0
Jamison Crowder,4,190.0,0,0,0,0,0,0,1,4,0,0,78,833,6,0,0,0
Calvin Ridley,9,190.0,0,0,0,0,0,0,2,34,0,0,63,866,7,1,0,0
Marvin Jones,5,188.0,0,0,0,0,0,0,2,0,0,0,62,779,9,0,0,0
Devonta Freeman,9,187.0,0,0,0,0,0,0,184,656,2,0,59,410,4,0,2,0
James White,10,187.0,1,1,35,0,0,0,67,263,1,1,72,645,5,0,1,0
Austin Hooper,9,186.0,0,0,0,0,0,0,0,0,0,0,75,787,6,1,0,0
Terry McLaurin,10,186.0,0,0,0,0,0,0,0,0,0,0,58,919,7,0,0,0
Phillip Lindsay,10,185.0,0,0,0,0,0,0,224,1011,7,0,35,196,0,0,0,0
Emmanuel Sanders,4,185.0,1,1,35,1,0,0,0,0,0,0,66,869,5,1,0,0
Josh Jacobs,6,184.0,0,0,0,0,0,0,242,1150,7,0,20,166,0,0,1,0
Tyreek Hill,12,182.0,0,0,0,0,0,0,8,23,0,0,58,860,7,0,0,0
,11,182.0,0,0,0,0,0,0,2,11,0,0,58,900,7,1,3,0
Deebo Samuel,4,180.0,0,0,0,0,0,0,14,159,3,0,57,802,3,1,1,0
Cole Beasley,6,178.0,0,0,0,0,0,0,0,0,0,0,67,778,6,2,0,0
Melvin Gordon,12,173.0,0,0,0,0,0,0,162,612,8,0,42,296,1,0,3,0
