Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Chad Henne,2021,QB,12,3.3,16,11,82,0,0,0,8,0,0,0,0,0,0,0,0,0
Luke Stocker,2021,TE,7,3.2,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
Lamical Perine,2021,RB,6,3.1,0,0,0,0,0,0,8,31,0,0,0,0,0,0,0,0
C.J. Saunders,2021,WR,13,3.1,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Richard Rodgers,2021,TE,14,3.1,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Jaydon Mickens,2021,WR,7,3.0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
Nick Bawden,2021,RB,6,3.0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Kevin Rader,2021,TE,7,2.8,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
Ethan Wolf,2021,TE,6,2.8,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
Davion Davis,2021,WR,10,2.7,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Anthony McFarland,2021,RB,7,2.4,0,0,0,0,0,0,3,3,0,0,1,11,0,0,0,0
Andre Roberts,2021,WR,7,2.4,0,0,0,0,0,0,3,19,0,0,1,35,0,0,2,0
Frank Darby,2021,WR,6,2.4,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
Andy Isabella,2021,WR,12,2.3,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Kirk Merritt,2021,WR,14,2.3,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Tarik Black,2021,WR,6,2.0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Blaine Gabbert,2021,QB,9,2.0,11,7,67,0,0,0,9,-7,0,0,0,0,0,0,0,0
Ian Book,2021,QB,6,2.0,20,12,135,0,2,0,3,6,0,0,0,0,0,0,0,0
Raheem Mostert,2021,RB,6,2.0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
Chris Streveler,2021,QB,8,2.0,9,6,36,0,0,0,3,6,0,0,0,0,0,0,0,0
Marvin Hall,2021,WR,6,2.0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Gary Brightwell,2021,RB,10,2.0,0,0,0,0,0,0,1,4,0,0,1,6,0,0,0,0
Brycen Hopkins,2021,TE,11,1.9,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
John Mundt,2021,TE,11,1.9,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Hunter Long,2021,TE,14,1.8,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Ryan Nall,2021,RB,10,1.8,0,0,0,0,0,0,1,4,0,0,1,4,0,0,0,0
Eric Tomlinson,2021,TE,8,1.7,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Tommylee Lewis,2021,WR,14,1.7,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Miles Boykin,2021,WR,8,1.6,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
