Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Courtland Sutton,2021,WR,11,150.2,1,1,16,0,0,0,0,0,0,0,58,776,2,1,0,0
Saquon Barkley,2021,RB,10,148.6,0,0,0,0,0,0,162,593,2,0,41,263,2,0,1,0
Cedrick Wilson,2021,WR,7,147.8,3,3,88,0,0,0,2,11,0,0,45,602,6,1,0,0
DeAndre Hopkins,2021,WR,12,147.2,0,0,0,0,0,0,0,0,0,0,42,572,8,0,0,0
Tyler Higbee,2021,TE,11,147.0,0,0,0,0,0,0,0,0,0,0,61,560,5,0,0,0
Devonta Freeman,2021,RB,8,146.6,0,0,0,0,0,0,133,576,5,0,34,190,1,0,0,0
Sony Michel,2021,RB,11,146.3,0,0,0,0,0,0,208,845,4,0,21,128,1,0,1,0
T.J. Hockenson,2021,TE,9,145.3,0,0,0,0,0,0,0,0,0,0,61,583,4,1,0,0
Devontae Booker,2021,RB,10,144.1,0,0,0,0,0,0,145,593,2,0,40,268,1,0,0,0
Chase Edmonds,2021,RB,12,143.3,0,0,0,0,0,0,116,592,2,0,43,311,0,0,1,0
Allen Lazard,2021,WR,13,142.5,0,0,0,0,0,0,3,32,0,0,40,513,8,0,0,0
Mecole Hardman,2021,WR,12,140.9,0,0,0,0,0,0,8,46,0,0,59,693,2,0,2,0
Robby Anderson,2021,WR,13,138.5,0,0,0,0,0,0,3,36,0,0,53,519,5,0,0,0
Tyler Conklin,2021,TE,7,138.3,0,0,0,0,0,0,0,0,0,0,61,593,3,0,0,0
Elijah Moore,2021,WR,6,138.2,0,0,0,0,0,0,5,54,1,0,43,538,5,0,0,0
Mike Davis,2021,RB,6,138.2,0,0,0,0,0,0,138,503,3,0,44,259,1,0,3,0
Chuba Hubbard,2021,RB,13,137.6,0,0,0,0,0,0,172,612,5,0,25,174,1,0,1,0
Robert Woods,2021,WR,11,137.2,0,0,0,0,0,0,8,46,1,0,45,556,4,1,0,0
Darren Waller,2021,TE,8,133.5,0,0,0,0,0,0,0,0,0,0,55,665,2,0,0,0
Jarvis Landry,2021,WR,13,133.0,0,0,0,0,0,0,6,40,2,0,52,570,2,0,2,0
Kalif Raymond,2021,WR,9,132.4,0,0,0,0,0,0,4,28,0,0,48,576,4,0,0,0
Jared Cook,2021,TE,7,132.4,0,0,0,0,0,0,0,0,0,0,48,564,4,2,0,0
Emmanuel Sanders,2021,WR,7,131.7,0,0,0,0,0,0,2,31,0,0,42,626,4,0,0,0
Odell Beckham Jr.,2021,WR,11,129.1,0,0,0,0,0,0,2,14,0,0,44,537,5,0,0,0
C.J. Uzomah,2021,TE,10,128.3,0,0,0,0,0,0,0,0,0,0,49,493,5,0,0,0
J.D. McKissic,2021,RB,9,127.9,0,0,0,0,0,0,48,212,2,0,43,397,2,0,0,0
Christian McCaffrey,2021,RB,13,127.5,0,0,0,0,0,0,99,442,1,0,37,343,1,0,0,0
Laviska Shenault,2021,WR,7,127.0,0,0,0,0,0,0,11,41,0,0,63,619,0,0,1,0
Byron Pringle,2021,WR,12,126.8,0,0,0,0,0,0,0,0,0,0,42,568,5,0,1,0
Justin Fields,2021,QB,10,126.8,270,159,1870,7,10,0,72,420,2,0,0,0,0,0,5,0
Alexander Mattison,2021,RB,7,125.9,0,0,0,0,0,0,134,491,3,0,32,228,1,0,1,0
Gabriel Davis,2021,WR,7,125.9,0,0,0,0,0,0,0,0,0,0,35,549,6,0,0,0
Brandon Bolden,2021,RB,14,124.1,0,0,0,0,0,0,44,226,1,1,41,405,2,0,0,0
Kenny Gainwell,2021,RB,14,123.4,0,0,0,0,0,0,68,291,5,1,33,253,1,0,1,0
Rashaad Penny,2021,RB,9,121.7,0,0,0,0,0,0,119,749,6,0,6,48,0,0,0,0
Taysom Hill,2021,TE,6,121.7,134,78,978,4,5,0,70,374,5,0,4,52,0,0,0,0
Cole Kmet,2021,TE,10,121.2,0,0,0,0,0,0,1,0,0,0,60,612,0,0,0,0
Antonio Brown,2021,WR,9,121.1,0,0,0,0,0,0,1,6,0,0,42,545,4,0,0,0
Jamaal Williams,2021,RB,9,119.8,0,0,0,0,0,0,153,601,3,0,26,157,0,0,0,0
Gerald Everett,2021,TE,9,117.8,0,0,0,0,0,0,3,20,0,0,48,478,4,0,2,0
Clyde Edwards-Helaire,2021,RB,12,117.6,0,0,0,0,0,0,119,517,4,0,19,129,2,1,2,0
Jameis Winston,2021,QB,6,117.4,161,95,1170,14,3,0,32,166,1,0,0,0,0,0,1,0
Miles Sanders,2021,RB,14,117.2,0,0,0,0,0,0,137,754,0,1,26,158,0,0,1,0
Ty Johnson,2021,RB,6,117.0,0,0,0,0,0,0,61,238,2,0,34,372,2,0,1,0
Quez Watkins,2021,WR,14,116.0,0,0,0,0,0,0,1,3,0,0,43,647,1,1,0,0
Braxton Berrios,2021,WR,6,115.1,0,0,0,0,0,0,7,40,2,0,46,431,2,0,1,0
Rhamondre Stevenson,2021,RB,14,114.9,0,0,0,0,0,0,133,606,5,0,14,123,0,0,1,0
Deonte Harty,2021,WR,6,113.1,0,0,0,0,0,0,5,41,0,0,36,570,3,0,1,0
Nyheim Hines,2021,RB,14,112.6,0,0,0,0,0,0,56,276,2,0,40,310,1,0,2,0
Kareem Hunt,2021,RB,13,110.0,0,0,0,0,0,0,78,386,5,1,22,174,0,0,0,0
Jamison Crowder,2021,WR,6,109.7,0,0,0,0,0,1,0,0,0,0,51,447,2,1,1,0
Donovan Peoples-Jones,2021,WR,13,109.7,0,0,0,0,0,0,0,0,0,0,34,597,3,0,1,0
Bryan Edwards,2021,WR,8,109.1,0,0,0,0,0,0,1,0,0,0,34,571,3,0,0,0
Rondale Moore,2021,WR,12,109.1,0,0,0,0,0,0,18,76,0,0,54,435,1,0,1,0
Mark Ingram,2021,RB,6,108.6,0,0,0,0,0,0,160,554,2,0,27,162,0,0,1,0
Nick Westbrook,2021,WR,13,107.6,0,0,0,0,0,0,0,0,0,0,38,476,4,0,1,0
David Njoku,2021,TE,13,107.6,0,0,0,0,0,0,1,1,0,0,36,475,4,0,0,0
Zay Jones,2021,WR,8,105.9,0,0,0,0,0,0,2,3,0,0,47,546,1,0,1,0
Zack Moss,2021,RB,7,105.2,0,0,0,0,0,0,96,345,4,0,23,197,1,0,1,0
Corey Davis,2021,WR,6,105.2,0,0,0,0,0,0,0,0,0,0,34,492,4,0,1,0
Rex Burkhead,2021,RB,10,104.3,1,0,0,0,0,0,122,427,3,0,25,186,0,0,0,0
D'Ernest Johnson,2021,RB,13,104.1,0,0,0,0,0,0,100,534,3,0,19,137,0,0,0,0
Latavius Murray,2021,RB,8,103.6,0,0,0,0,0,0,119,501,6,0,10,75,0,0,0,0
DeVante Parker,2021,WR,14,103.5,0,0,0,0,0,0,0,0,0,0,40,515,2,0,0,0
Rashod Bateman,2021,WR,8,103.5,0,0,0,0,0,0,0,0,0,0,46,515,1,0,0,0
Nelson Agholor,2021,WR,14,103.4,0,0,0,0,0,0,3,11,0,0,37,473,3,0,0,0
Evan Engram,2021,TE,10,102.5,0,0,0,0,0,0,1,-3,0,0,46,408,3,0,1,0
Kenyan Drake,2021,RB,8,102.5,0,0,0,0,0,0,63,254,2,0,30,291,1,0,0,0
Boston Scott,2021,RB,14,98.6,0,0,0,0,0,0,87,373,7,0,13,83,0,0,1,0
Jalen Guyton,2021,WR,7,97.2,0,0,0,0,0,0,7,34,0,0,31,448,3,0,0,0
Zach Pascal,2021,WR,14,94.5,0,0,0,0,0,0,2,21,0,0,38,384,3,0,1,0
D'Onta Foreman,2021,RB,13,93.9,0,0,0,0,0,0,133,566,3,0,9,123,0,0,1,0
Randall Cobb,2021,WR,13,93.6,0,0,0,0,0,0,1,1,0,0,28,375,5,0,1,0
Josh Palmer,2021,WR,7,92.9,0,0,0,0,0,0,1,6,0,0,33,353,4,0,0,0
Austin Hooper,2021,TE,13,92.5,0,0,0,0,0,0,0,0,0,0,38,345,3,1,0,0
Michael Gallup,2021,WR,7,91.5,0,0,0,0,0,0,0,0,0,0,35,445,2,0,0,0
Trevor Siemian,2021,QB,6,90.2,188,108,1154,11,3,0,9,20,1,0,0,0,0,0,1,0
Olamide Zaccheaus,2021,WR,6,89.8,0,0,0,0,0,0,1,2,0,0,31,406,3,0,0,0
Ameer Abdullah,2021,RB,13,89.5,0,0,0,0,0,0,51,166,0,0,38,289,1,0,0,0
Kenny Golladay,2021,WR,10,89.1,0,0,0,0,0,0,0,0,0,0,37,521,0,0,0,0
Tre'Quan Smith,2021,WR,6,87.7,0,0,0,0,0,0,0,0,0,0,32,377,3,0,0,0
Allen Robinson,2021,WR,10,87.0,0,0,0,0,0,0,0,0,0,0,38,410,1,1,0,0
Marquez Valdes-Scantling,2021,WR,13,87.0,0,0,0,0,0,0,0,0,0,0,26,430,3,0,0,0
Freddie Swain,2021,WR,9,86.5,0,0,0,0,0,0,5,32,0,0,25,343,4,0,0,0
Cam Newton,2021,QB,13,86.4,126,69,684,4,5,1,47,230,5,0,0,0,0,0,1,0
Justin Jackson,2021,RB,7,86.2,0,0,0,0,0,0,68,364,2,0,22,178,0,0,1,0
Foster Moreau,2021,TE,8,85.3,0,0,0,0,0,0,0,0,0,0,30,373,3,0,0,0
Jerry Jeudy,2021,WR,11,85.0,0,0,0,0,0,0,2,3,0,0,38,467,0,0,0,0
Henry Ruggs,2021,WR,8,84.5,0,0,0,0,0,0,3,16,0,0,24,469,2,0,0,0
Andy Dalton,2021,QB,10,84.2,236,149,1515,8,9,2,16,76,0,0,0,0,0,0,1,0
Nico Collins,2021,WR,10,83.6,0,0,0,0,0,0,0,0,0,0,33,446,1,0,0,0
Samaje Perine,2021,RB,10,83.2,0,0,0,0,0,0,55,246,1,0,27,196,1,0,0,0
Tyler Huntley,2021,QB,8,82.6,188,122,1081,3,4,0,47,294,2,0,0,0,0,0,3,0
Laquon Treadwell,2021,WR,7,82.4,0,0,0,0,0,0,0,0,0,0,33,434,1,0,0,0
Kadarius Toney,2021,WR,10,82.4,3,1,19,0,0,0,3,6,0,0,39,420,0,0,0,0
Jauan Jennings,2021,WR,6,82.2,0,0,0,0,0,0,0,0,0,0,24,282,5,0,0,0
Tyrod Taylor,2021,QB,10,81.7,150,91,966,5,5,0,19,151,3,0,0,0,0,0,0,0
David Johnson,2021,RB,10,81.3,0,0,0,0,0,0,67,228,0,0,32,225,1,0,1,0
Josh Reynolds,2021,WR,9,80.6,0,0,0,0,0,0,0,0,0,0,29,396,2,0,0,0
DeAndre Carter,2021,WR,9,80.5,0,0,0,0,0,0,10,89,0,0,24,296,3,0,0,0
Julio Jones,2021,WR,6,80.4,0,0,0,0,0,0,0,0,0,0,31,434,1,0,0,0
Mo Alie-Cox,2021,TE,14,79.6,0,0,0,0,0,0,0,0,0,0,24,316,4,0,0,0
Adam Humphries,2021,WR,9,79.3,0,0,0,0,0,0,0,0,0,0,41,383,0,0,0,0
Jack Doyle,2021,TE,14,79.2,0,0,0,0,0,0,0,0,0,0,29,302,3,1,0,0
Ronald Jones II,2021,RB,9,79.2,0,0,0,0,0,0,101,428,4,0,10,64,0,0,2,0
Khalil Herbert,2021,RB,10,78.9,0,0,0,0,0,0,103,433,2,0,14,96,0,0,0,0
Keelan Cole,2021,WR,6,78.9,1,0,0,0,0,0,0,0,0,0,28,449,1,0,0,0
Cameron Brate,2021,TE,9,78.5,0,0,0,0,0,0,0,0,0,0,30,245,4,0,0,0
Jalen Reagor,2021,WR,14,78.1,0,0,0,0,0,0,10,32,0,0,33,299,2,0,0,0
Sterling Shepard,2021,WR,10,77.7,0,0,0,0,0,0,1,-9,0,0,36,366,1,0,0,0
Devin Duvernay,2021,WR,8,77.2,0,0,0,0,0,0,7,50,0,0,33,272,2,0,0,1
Albert Okwuegbunam,2021,TE,11,76.0,0,0,0,0,0,0,0,0,0,0,33,330,2,0,1,0
DeSean Jackson,2021,WR,8,75.8,0,0,0,0,0,0,1,4,0,0,20,454,2,0,1,0
Dan Arnold,2021,TE,7,75.8,0,0,0,0,0,0,0,0,0,0,35,408,0,1,1,0
T.Y. Hilton,2021,WR,14,74.1,0,0,0,0,0,0,0,0,0,0,23,331,3,0,0,0
Kyle Juszczyk,2021,RB,6,73.8,0,0,0,0,0,0,8,22,1,0,30,296,1,0,0,0
Jeremy McNichols,2021,RB,13,73.6,0,0,0,0,0,0,41,156,0,0,28,240,1,0,0,0
Anthony Firkser,2021,TE,13,73.1,0,0,0,0,0,0,0,0,0,0,34,291,2,0,1,1
Dontrell Hilliard,2021,RB,13,72.7,0,0,0,0,0,0,56,350,2,0,19,87,0,0,1,0
Jacoby Brissett,2021,QB,14,72.3,225,141,1283,5,4,1,19,70,1,0,0,0,0,0,3,0
Tyler Johnson,2021,WR,9,72.0,0,0,0,0,0,0,0,0,0,0,36,360,0,0,0,0
Calvin Ridley,2021,WR,6,71.1,0,0,0,0,0,0,0,0,0,0,31,281,2,0,0,0
Sammy Watkins,2021,WR,8,70.4,0,0,0,0,0,0,0,0,0,0,27,394,1,0,1,0
Jamal Agnew,2021,WR,7,70.0,0,0,0,0,0,0,7,111,1,0,24,229,1,0,0,0
Durham Smythe,2021,TE,14,70.0,0,0,0,0,0,0,2,3,0,0,34,357,0,0,0,0
Geoff Swaim,2021,TE,13,70.0,0,0,0,0,0,0,0,0,0,0,31,210,3,0,0,0
Demarcus Robinson,2021,WR,12,69.4,0,0,0,0,0,0,0,0,0,0,25,264,3,0,0,0
Ricky Seals-Jones,2021,TE,9,69.1,0,0,0,0,0,0,0,0,0,0,30,271,2,0,0,0
Danny Amendola,2021,WR,10,68.8,1,0,0,0,0,0,0,0,0,0,24,248,3,1,0,0
Alex Collins,2021,RB,9,68.8,0,0,0,0,0,0,108,411,2,0,9,87,0,0,1,0
Darius Slayton,2021,WR,10,68.6,0,0,0,0,0,0,1,-13,0,0,26,339,2,0,1,0
Jonnu Smith,2021,TE,14,67.4,0,0,0,0,0,0,9,40,0,0,28,294,1,0,0,0
Ray Ray McCloud,2021,WR,7,66.2,0,0,0,0,0,0,2,15,0,0,39,277,0,0,1,0
James Washington,2021,WR,7,65.8,0,0,0,0,0,0,2,13,0,0,24,285,2,0,0,0
Ryan Griffin,2021,TE,6,65.1,0,0,0,0,0,0,0,0,0,0,27,261,2,0,0,0
Chester Rogers,2021,WR,13,65.0,0,0,0,0,0,0,1,9,0,0,30,301,1,0,1,0
Trey Lance,2021,QB,6,64.9,71,41,603,5,2,0,38,168,1,1,0,0,0,0,0,0
Damiere Byrd,2021,WR,10,64.9,0,0,0,0,0,0,0,0,0,0,26,329,1,1,1,0
Chris Conley,2021,WR,10,64.6,0,0,0,0,0,0,1,3,0,0,22,323,2,0,1,0
Hayden Hurst,2021,TE,6,64.1,0,0,0,0,0,0,0,0,0,0,26,221,3,0,1,0
Adam Trautman,2021,TE,6,63.3,0,0,0,0,0,0,0,0,0,0,27,263,2,0,1,0
Jordan Howard,2021,RB,14,62.5,0,0,0,0,0,0,86,406,3,0,2,19,0,0,0,0
Harrison Bryant,2021,TE,13,62.3,0,0,0,0,0,0,0,0,0,0,21,233,3,0,0,0
Josiah Deguara,2021,TE,13,61.5,0,0,0,0,0,0,0,0,0,0,25,245,2,0,0,0
Damien Williams,2021,RB,10,60.7,0,0,0,0,0,0,40,164,2,0,16,103,1,0,0,0
Mack Hollins,2021,WR,14,60.3,0,0,0,0,0,0,0,0,0,0,14,223,4,0,0,0
DeeJay Dallas,2021,RB,9,60.1,0,0,0,0,0,0,33,138,2,0,21,133,0,0,0,0
Kyle Rudolph,2021,TE,10,59.7,0,0,0,0,0,0,0,0,0,0,26,257,1,1,0,0
Duke Johnson,2021,RB,14,59.1,0,0,0,0,0,0,71,330,3,0,4,41,0,0,0,0
Giovani Bernard,2021,RB,9,59.1,0,0,0,0,0,0,8,58,0,0,23,123,3,0,0,0
Donald Parham,2021,TE,7,59.0,0,0,0,0,0,0,0,0,0,0,20,190,3,1,0,0
Antoine Wesley,2021,WR,12,57.8,0,0,0,0,0,0,0,0,0,0,19,208,3,0,0,0
Rashard Higgins,2021,WR,13,57.5,0,0,0,0,0,0,0,0,0,0,24,275,1,0,0,0
Marquise Goodwin,2021,WR,10,57.2,0,0,0,0,0,0,2,-1,0,0,20,313,1,0,0,0
Derrick Gore,2021,RB,12,56.1,0,0,0,0,0,0,51,256,2,0,8,105,0,0,0,0
Jaret Patterson,2021,RB,9,55.9,0,0,0,0,0,0,68,266,2,0,10,73,0,0,0,0
Travis Homer,2021,RB,9,55.8,0,0,0,0,0,0,21,177,1,0,16,161,0,0,0,0
Brevin Jordan,2021,TE,10,55.8,0,0,0,0,0,0,0,0,0,0,20,178,3,0,0,0
Chris Moore,2021,WR,10,55.7,0,0,0,0,0,0,0,0,0,0,21,227,2,0,0,0
Geno Smith,2021,QB,9,54.3,95,65,702,5,1,0,9,42,1,0,0,0,0,0,1,0
Logan Thomas,2021,TE,9,53.6,0,0,0,0,0,0,0,0,0,0,18,196,3,0,1,0
Tommy Tremble,2021,TE,13,53.1,0,0,0,0,0,0,3,11,1,0,20,180,1,1,0,0
Juwan Johnson,2021,TE,6,52.9,0,0,0,0,0,0,0,0,0,0,13,159,4,0,0,0
Isaiah McKenzie,2021,WR,7,52.5,0,0,0,0,0,0,9,47,1,0,20,178,1,0,1,0
Drew Lock,2021,QB,11,51.9,111,67,787,2,2,0,10,53,2,0,1,1,0,0,1,0
Jeffery Wilson,2021,RB,6,51.5,0,0,0,0,0,0,79,294,2,0,7,31,0,0,0,0
Tevin Coleman,2021,RB,6,51.5,0,0,0,0,0,0,84,356,0,0,11,49,0,0,0,0
Tavon Austin,2021,WR,7,51.4,0,0,0,0,0,0,3,21,0,0,24,213,1,0,1,0
John Bates,2021,TE,9,50.9,0,0,0,0,0,0,0,0,0,0,20,249,1,0,0,0
Jimmy Graham,2021,TE,10,50.7,0,0,0,0,0,0,0,0,0,0,14,167,3,1,0,0
Demetric Felton,2021,RB,13,50.5,0,0,0,0,0,0,7,24,0,0,18,181,2,0,0,0
Robert Tonyan,2021,TE,13,50.4,0,0,0,0,0,0,0,0,0,0,18,204,2,0,0,0
James O'Shaughnessy,2021,TE,7,50.4,0,0,0,0,0,0,0,0,0,0,24,244,0,1,0,0
Dare Ogunbowale,2021,RB,7,50.1,0,0,0,0,0,0,43,137,1,0,13,114,1,0,0,0
Will Dissly,2021,TE,9,50.1,0,0,0,0,0,0,0,0,0,0,21,231,1,0,0,0
Lil'Jordan Humphrey,2021,WR,6,49.9,0,0,0,0,0,0,0,0,0,0,13,249,2,0,0,0
Peyton Barber,2021,RB,8,49.9,0,0,0,0,0,0,55,212,2,0,10,67,0,0,0,0
Chris Evans,2021,RB,10,49.8,0,0,0,0,0,0,17,77,0,0,15,151,2,0,0,0
JaMycal Hasty,2021,RB,6,49.5,0,0,0,0,0,0,16,68,1,0,23,157,0,0,1,0
Quintez Cephus,2021,WR,9,49.4,0,0,0,0,0,0,0,0,0,0,15,204,2,1,0,0
Brandon Zylstra,2021,WR,13,49.0,1,0,0,0,0,0,0,0,0,0,18,250,1,0,0,0
Cam Sims,2021,WR,9,48.8,0,0,0,0,0,0,1,7,0,0,15,211,2,0,0,0
MyCole Pruitt,2021,TE,13,48.5,0,0,0,0,0,0,0,0,0,0,14,145,3,1,0,0
Chris Carson,2021,RB,9,48.1,0,0,0,0,0,0,54,232,3,0,6,29,0,0,1,0
Albert Wilson,2021,WR,14,48.0,1,0,0,0,0,0,4,17,0,0,25,213,0,0,0,0
Tajae Sharpe,2021,WR,6,48.0,0,0,0,0,0,0,0,0,0,0,25,230,0,0,0,0
Josh Johnson,2021,QB,8,46.3,85,57,638,5,2,0,9,28,0,1,0,0,0,0,0,0
Carlos Hyde,2021,RB,7,45.8,0,0,0,0,0,0,72,253,1,0,12,65,0,0,2,0
Ashton Dulin,2021,WR,14,45.5,0,0,0,0,0,0,3,32,0,0,13,173,2,0,0,0
Phillip Lindsay,2021,RB,14,45.4,0,0,0,0,0,0,88,249,1,0,4,45,1,0,0,0
Malik Turner,2021,WR,7,44.9,0,0,0,0,0,0,0,0,0,0,12,149,3,0,0,0
Cyril Grayson,2021,WR,9,44.6,0,0,0,0,0,0,1,14,0,0,10,212,2,0,0,0
Marcedes Lewis,2021,TE,13,44.4,0,0,0,0,0,0,0,0,0,0,23,214,0,0,0,0
Mike White,2021,QB,6,44.0,132,88,953,5,8,0,5,-1,0,0,0,0,0,1,0,0
Matt Breida,2021,RB,7,42.7,0,0,0,0,0,0,26,125,1,0,7,72,2,0,1,0
Ty'Son Williams,2021,RB,8,41.9,0,0,0,0,0,0,35,185,1,0,9,84,0,0,0,0
Jordan Akins,2021,TE,10,41.7,0,0,0,0,0,0,1,3,0,0,24,214,0,0,2,0
Maxx Williams,2021,TE,12,41.3,0,0,0,0,0,0,0,0,0,0,16,193,1,0,0,0
Colt McCoy,2021,QB,12,41.3,99,74,740,3,1,0,22,37,0,0,0,0,0,0,1,0
John Ross,2021,WR,10,41.0,0,0,0,0,0,0,1,16,0,0,11,224,1,0,0,0
Isaiah Ford,2021,WR,14,40.1,0,0,0,0,0,0,0,0,0,0,12,161,2,0,0,0
Tyler Kroft,2021,TE,6,39.3,0,0,0,0,0,0,0,0,0,0,16,173,1,0,0,0
Salvon Ahmed,2021,RB,14,38.6,0,0,0,0,0,0,54,149,0,0,12,117,0,0,0,0
Kendall Hinton,2021,WR,11,38.5,1,1,1,0,0,0,0,0,0,0,15,175,1,0,0,0
Stephen Anderson,2021,TE,7,38.5,0,0,0,0,0,0,0,0,0,0,16,165,1,0,0,0
Le'Veon Bell,2021,RB,9,38.1,0,0,0,0,0,0,39,101,2,1,5,30,1,0,0,0
Pharaoh Brown,2021,TE,10,38.1,0,0,0,0,0,0,0,0,0,0,23,171,0,0,1,0
Ian Thomas,2021,TE,13,36.8,0,0,0,0,0,0,0,0,0,0,18,188,0,0,0,0
Ke'Shawn Vaughn,2021,RB,9,36.6,0,0,0,0,0,0,36,180,2,0,4,26,0,0,0,0
James Proche,2021,WR,8,36.2,0,0,0,0,0,0,0,0,0,0,16,202,0,0,0,0
Elijhaa Penny,2021,RB,10,35.9,0,0,0,0,0,0,24,99,1,1,9,30,1,0,0,0
Jerick McKinnon,2021,RB,12,35.9,0,0,0,0,0,0,12,62,0,0,13,107,1,0,0,0
Zach Gentry,2021,TE,7,35.7,0,0,0,0,0,0,0,0,0,0,19,167,0,0,0,0
Brock Wright,2021,TE,9,35.7,0,0,0,0,0,0,0,0,0,0,12,117,2,0,0,0
Craig Reynolds,2021,RB,9,35.2,0,0,0,0,0,0,55,230,0,0,7,52,0,0,0,0
JuJu Smith-Schuster,2021,WR,7,34.8,0,0,0,0,0,0,3,9,1,0,15,129,0,0,0,0
Greg Ward,2021,WR,14,34.6,2,1,2,0,0,0,0,0,0,0,7,95,3,0,0,0
Royce Freeman,2021,RB,10,34.6,0,0,0,0,0,0,56,169,0,0,10,77,0,0,0,0
D.J. Chark,2021,WR,7,34.4,0,0,0,0,0,0,0,0,0,0,7,154,2,0,0,0
Noah Brown,2021,WR,7,34.4,0,0,0,0,0,0,0,0,0,0,16,184,0,0,0,0
Gardner Minshew,2021,QB,14,33.7,60,41,439,4,1,0,9,21,0,0,0,0,0,0,0,0
O.J. Howard,2021,TE,9,33.5,0,0,0,0,0,0,0,0,0,0,14,135,1,0,0,0
Jakeem Grant,2021,WR,10,33.5,0,0,0,0,0,0,5,33,0,0,11,132,2,0,3,0
Anthony Schwartz,2021,WR,13,33.4,0,0,0,0,0,0,6,39,0,0,10,135,1,0,0,0
Breshad Perriman,2021,WR,9,33.4,0,0,0,0,0,0,1,-3,0,0,11,167,1,0,0,0
C.J. Ham,2021,RB,7,32.9,0,0,0,0,0,0,7,34,0,0,17,125,0,0,0,0
Terrace Marshall,2021,WR,13,32.8,0,0,0,0,0,0,0,0,0,0,17,138,0,1,0,0
Mohamed Sanu,2021,WR,6,32.7,0,0,0,0,0,0,0,0,0,0,15,177,0,0,0,0
Blake Jarwin,2021,TE,7,32.6,0,0,0,0,0,0,0,0,0,0,11,96,2,0,0,0
Eric Ebron,2021,TE,7,32.5,0,0,0,0,0,0,1,1,1,0,12,84,1,0,0,0
Parris Campbell,2021,WR,14,32.2,0,0,0,0,0,0,0,0,0,0,10,162,1,0,0,0
James White,2021,RB,14,31.2,0,0,0,0,0,0,10,38,1,0,12,94,0,0,0,0
Mike Glennon,2021,QB,10,30.9,167,90,790,4,10,0,7,33,1,0,0,0,0,0,3,0
Khadarel Hodge,2021,WR,9,30.7,0,0,0,0,0,0,0,0,0,0,13,157,0,1,0,0
Ty Montgomery,2021,WR,6,29.9,0,0,0,0,0,0,15,44,0,0,16,95,0,0,0,0
Corey Clement,2021,RB,7,28.9,0,0,0,0,0,0,33,140,0,0,6,29,1,0,0,0
Case Keenum,2021,QB,13,28.7,72,47,462,3,1,0,12,22,0,0,0,0,0,0,1,0
Ihmir Smith-Marsette,2021,WR,7,28.6,0,0,0,0,0,0,0,0,0,0,5,116,2,0,0,0
N'Keal Harry,2021,WR,14,28.4,0,0,0,0,0,0,0,0,0,0,12,184,0,0,1,0
Nick Vannett,2021,TE,6,28.3,0,0,0,0,0,0,0,0,0,0,9,133,1,0,0,0
Trey Sermon,2021,RB,6,28.3,0,0,0,0,0,0,41,167,1,0,3,26,0,0,0,0
D'Wayne Eskridge,2021,WR,9,28.3,0,0,0,0,0,0,4,59,0,0,10,64,1,0,0,0
Dyami Brown,2021,WR,9,28.1,0,0,0,0,0,0,1,-4,0,0,12,165,0,0,0,0
Eno Benjamin,2021,RB,12,28.0,0,0,0,0,0,0,34,118,1,0,6,42,0,0,0,0
Godwin Igwebuike,2021,RB,9,26.8,0,0,0,0,0,0,18,118,1,0,7,60,0,0,2,0
Adrian Peterson,2021,RB,9,26.6,0,0,0,0,0,0,38,98,2,0,4,8,0,0,0,0
Jermar Jefferson,2021,RB,9,25.7,0,0,0,0,0,0,15,74,2,0,4,23,0,0,0,0
Dante Pettis,2021,WR,10,25.3,1,1,16,0,0,0,0,0,0,0,10,87,1,0,0,0
Marcus Johnson,2021,WR,13,24.8,0,0,0,0,0,0,2,-2,0,0,9,160,0,0,0,0
Alec Ingold,2021,RB,8,24.6,0,0,0,0,0,0,2,1,0,0,10,85,1,0,0,0
Tim Boyle,2021,QB,9,24.3,94,61,526,3,6,1,2,13,0,0,0,0,0,0,0,0
Bennett Skowronek,2021,WR,11,24.3,0,0,0,0,0,0,0,0,0,0,11,133,0,0,0,0
Cooper Rush,2021,QB,7,24.1,47,30,422,3,1,0,9,-8,0,0,0,0,0,0,1,0
Joe Flacco,2021,QB,6,23.8,42,27,338,3,0,0,2,3,0,0,0,0,0,0,1,0
Trent Sherfield,2021,WR,6,23.7,0,0,0,0,0,0,0,0,0,0,9,87,1,0,0,0
Jalen Richard,2021,RB,8,23.2,0,0,0,0,0,0,9,40,0,0,12,72,0,0,0,0
Adam Shaheen,2021,TE,14,23.0,0,0,0,0,0,0,0,0,0,0,12,110,0,0,0,0
Malcolm Brown,2021,RB,14,22.5,0,0,0,0,0,0,33,125,1,0,3,10,0,0,0,0
Tony Jones,2021,RB,6,22.1,0,0,0,0,0,0,54,142,0,0,5,29,0,0,0,0
Joe Fortson,2021,TE,12,21.7,0,0,0,0,0,0,0,0,0,0,5,47,2,0,0,0
Kylen Granson,2021,TE,14,21.6,0,0,0,0,0,0,0,0,0,0,11,106,0,0,0,0
Collin Johnson,2021,WR,10,21.5,0,0,0,0,0,0,0,0,0,0,11,105,0,0,0,0
Lee Smith,2021,TE,6,21.5,0,0,0,0,0,0,0,0,0,0,9,65,1,0,0,0
