Player,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
David Johnson,RB,9,407.8,0,0,0,0,0,0,293,1239,16,0,80,879,4,1,3,0
Aaron Rodgers,QB,4,380.0,610,401,4428,40,7,1,67,369,4,1,0,0,0,0,4,0
Matt Ryan,QB,11,347.5,534,373,4944,38,7,1,35,117,0,1,0,0,0,0,2,0
Drew Brees,QB,5,332.3,673,471,5208,37,15,0,23,20,2,0,0,0,0,0,4,0
Ezekiel Elliott,RB,7,325.4,0,0,0,0,0,0,322,1631,15,0,32,363,1,0,1,0
Le'Veon Bell,RB,8,317.4,1,0,0,0,0,0,261,1268,7,0,75,616,2,1,1,0
Andrew Luck,QB,10,307.7,545,346,4240,31,13,2,64,341,2,0,0,0,0,0,5,0
Antonio Brown,WR,8,307.3,0,0,0,0,0,0,3,9,0,0,106,1284,12,0,0,0
Jordy Nelson,WR,4,304.7,0,0,0,0,0,0,0,0,0,0,97,1257,14,0,1,0
Mike Evans,WR,6,304.1,0,0,0,0,0,0,0,0,0,0,96,1321,12,2,0,0
Kirk Cousins,QB,9,300.3,606,406,4917,25,12,0,34,96,4,0,0,0,0,0,3,0
LeSean McCoy,RB,10,298.3,0,0,0,0,0,0,234,1267,13,1,50,356,1,0,0,0
Odell Beckham Jr.,WR,8,296.6,0,0,0,0,0,0,1,9,0,0,101,1367,10,0,1,0
DeMarco Murray,RB,13,293.8,2,1,10,1,0,0,293,1287,9,0,53,377,3,0,1,0
Dak Prescott,QB,7,286.9,459,311,3667,23,4,0,57,282,6,0,0,0,0,0,4,0
Devonta Freeman,RB,11,284.1,0,0,0,0,0,0,227,1079,11,0,54,462,2,0,1,0
Matthew Stafford,QB,10,279.8,594,388,4327,24,10,1,37,207,2,0,0,0,0,0,2,0
T.Y. Hilton,WR,10,273.8,0,0,0,0,0,0,0,0,0,0,91,1448,6,1,0,0
Blake Bortles,QB,5,271.1,625,368,3905,23,16,1,58,359,3,1,1,20,1,0,6,0
Tyrod Taylor,QB,10,270.9,436,269,3023,17,6,1,95,580,6,1,0,0,0,0,2,0
Russell Wilson,QB,5,270.1,546,353,4219,21,11,1,72,259,1,0,2,14,1,0,2,0
Derek Carr,QB,10,268.5,560,357,3937,28,6,5,39,70,0,0,0,0,0,0,3,0
Andy Dalton,QB,9,260.6,563,364,4206,18,8,0,46,184,4,0,0,0,0,0,3,0
Julio Jones,WR,11,259.9,0,0,0,0,0,0,0,0,0,0,83,1409,6,0,0,0
Marcus Mariota,QB,13,259.9,451,276,3426,26,9,0,60,349,2,0,0,0,0,0,5,0
Philip Rivers,QB,11,258.9,578,349,4386,33,21,0,14,35,0,0,0,0,0,0,5,0
Tom Brady,QB,9,258.6,432,291,3554,28,2,1,28,64,0,0,0,0,0,0,0,0
Jameis Winston,QB,6,256.1,567,345,4090,28,18,3,53,165,1,0,0,0,0,0,6,0
Michael Thomas,WR,5,255.7,0,0,0,0,0,0,0,0,0,0,92,1137,9,0,2,0
Cam Newton,QB,7,254.3,510,270,3509,19,14,1,90,359,5,1,0,0,0,0,2,0
Doug Baldwin,WR,5,253.6,1,1,15,1,0,0,3,2,0,0,94,1128,7,0,0,0
Ben Roethlisberger,QB,8,252.2,509,328,3819,29,13,3,16,14,1,0,0,0,0,0,2,0
Melvin Gordon,RB,11,250.6,0,0,0,0,0,0,254,997,10,0,41,419,2,0,2,0
Davante Adams,WR,4,246.7,0,0,0,0,0,0,0,0,0,0,75,997,12,1,1,0
Brandin Cooks,WR,5,246.3,0,0,0,0,0,0,6,30,0,0,78,1173,8,0,0,0
Larry Fitzgerald,WR,9,243.8,1,0,0,0,0,0,2,5,0,0,107,1023,6,0,1,0
Carson Palmer,QB,9,243.1,597,364,4233,26,14,1,14,38,0,0,0,0,0,0,4,0
Joe Flacco,QB,8,242.5,672,436,4317,20,15,4,21,58,2,0,0,0,0,0,3,0
Mark Ingram,RB,5,242.2,0,0,0,0,0,0,205,1043,6,2,46,319,4,0,2,0
Michael Crabtree,WR,10,239.3,0,0,0,0,0,0,0,0,0,0,89,1003,8,1,0,0
LeGarrette Blount,RB,9,232.9,0,0,0,0,0,0,299,1161,18,0,7,38,0,0,1,0
Amari Cooper,WR,10,232.3,0,0,0,0,0,0,1,0,0,0,83,1153,5,2,0,0
Jarvis Landry,WR,8,231.3,1,0,0,0,0,0,5,17,0,0,94,1136,4,1,2,0
Julian Edelman,WR,9,230.3,0,0,0,0,0,0,12,57,0,0,98,1106,3,1,2,0
Jordan Howard,RB,9,230.1,0,0,0,0,0,0,252,1313,6,0,29,298,1,0,1,0
Demaryius Thomas,WR,11,226.3,0,0,0,0,0,0,0,0,0,0,90,1083,5,1,2,0
Alex Smith,QB,5,224.8,489,328,3502,15,8,2,48,134,5,0,1,3,0,0,4,0
Eli Manning,QB,8,224.2,598,377,4027,26,16,0,21,-9,0,0,0,0,0,0,4,0
Golden Tate,WR,10,223.1,0,0,0,0,0,0,10,4,0,0,91,1077,4,1,1,0
Travis Kelce,TE,5,223.0,0,0,0,0,0,0,1,-5,0,0,85,1125,4,1,0,0
Sam Bradford,QB,6,221.9,552,395,3877,20,5,0,20,53,0,0,1,5,0,0,5,0
Tyrell Williams,WR,11,216.9,0,0,0,0,0,0,0,0,0,0,69,1059,7,0,0,0
Jay Ajayi,RB,8,215.3,0,0,0,0,0,0,260,1272,8,0,27,151,0,0,1,0
Frank Gore,RB,10,214.2,0,0,0,0,0,0,263,1025,4,0,38,277,4,0,1,0
Carson Wentz,QB,4,214.0,607,379,3782,16,14,1,46,150,2,1,1,7,0,0,3,0
Terrelle Pryor,WR,13,213.4,9,5,41,0,0,0,8,21,1,0,77,1007,4,1,0,0
Emmanuel Sanders,WR,11,212.6,0,0,0,0,0,0,1,4,0,0,79,1032,5,0,0,0
Rishard Matthews,WR,13,211.5,0,0,0,0,0,0,0,0,0,0,65,945,9,0,1,0
Kyle Rudolph,TE,6,209.0,0,0,0,0,0,0,0,0,0,0,83,840,7,0,0,0
Latavius Murray,RB,10,208.2,0,0,0,0,0,0,195,788,12,0,33,264,0,0,1,0
Greg Olsen,TE,7,207.3,0,0,0,0,0,0,0,0,0,0,80,1073,3,1,0,0
Isaiah Crowell,RB,13,205.1,0,0,0,0,0,0,198,952,7,0,40,319,0,0,2,0
Mike Wallace,WR,8,202.8,0,0,0,0,0,0,5,31,0,0,72,1017,4,1,0,0
Pierre Garcon,WR,9,201.1,0,0,0,0,0,0,0,0,0,0,79,1041,3,0,0,0
Colin Kaepernick,QB,8,200.4,331,196,2241,16,4,0,69,468,2,1,0,0,0,0,3,0
Allen Robinson,WR,5,199.3,0,0,0,0,0,0,0,0,0,0,73,883,6,1,0,0
Tyreek Hill,WR,5,199.0,0,0,0,0,0,0,24,267,3,0,61,593,6,0,1,0
Todd Gurley,RB,8,198.2,0,0,0,0,0,0,278,885,6,0,43,327,0,0,1,0
DeAndre Hopkins,WR,9,197.4,0,0,0,0,0,0,0,0,0,0,78,954,4,0,0,0
Kelvin Benjamin,WR,7,197.1,0,0,0,0,0,0,0,0,0,0,63,941,7,0,1,0
Bilal Powell,RB,11,197.0,0,0,0,0,0,0,131,722,3,0,58,388,2,0,1,0
Kenny Britt,WR,8,196.2,0,0,0,0,0,0,0,0,0,0,68,1002,5,0,1,0
Adam Thielen,WR,6,195.2,0,0,0,0,0,0,2,15,0,0,69,967,5,0,1,0
Spencer Ware,RB,5,193.8,0,0,0,0,0,0,214,921,3,0,33,447,2,0,3,0
Stefon Diggs,WR,6,193.3,0,0,0,0,0,0,3,10,0,0,84,903,3,0,0,0
Carlos Hyde,RB,8,192.1,0,0,0,0,0,0,217,988,6,1,27,163,3,0,3,0
Trevor Siemian,QB,11,191.7,486,289,3401,18,10,1,28,57,0,0,0,0,0,0,2,0
Jamison Crowder,WR,9,191.5,0,0,0,0,0,0,2,-2,0,0,67,847,7,0,1,0
Willie Snead,WR,5,191.5,1,1,50,1,0,0,0,0,0,0,72,895,4,0,0,0
Lamar Miller,RB,9,191.1,0,0,0,0,0,0,268,1073,5,0,31,188,1,0,1,0
Tevin Coleman,RB,11,191.1,0,0,0,0,0,0,118,520,8,0,31,421,3,0,0,0
Ryan Tannehill,QB,8,190.2,389,261,2995,19,12,1,39,164,1,0,0,0,0,0,3,0
Jimmy Graham,TE,5,189.3,0,0,0,0,0,0,1,0,0,0,65,923,6,0,2,0
Cole Beasley,WR,7,189.0,1,0,0,0,0,0,1,7,0,0,75,833,5,0,0,0
Delanie Walker,TE,13,188.1,0,0,0,0,0,0,2,11,0,0,65,800,7,0,0,0
A.J. Green,WR,9,186.4,0,0,0,0,0,0,0,0,0,0,66,964,4,0,0,0
Brandon LaFell,WR,9,186.0,0,0,0,0,0,0,1,-2,0,0,64,862,6,0,0,0
Sterling Shepard,WR,8,184.4,0,0,0,0,0,0,3,31,0,0,65,683,8,0,0,0
Steve Smith,WR,8,183.9,0,0,0,0,0,0,0,0,0,0,70,799,5,2,0,0
Matt Forte,RB,11,183.6,0,0,0,0,0,0,218,813,7,0,30,263,1,0,1,0
Zach Ertz,TE,4,183.6,0,0,0,0,0,0,0,0,0,0,78,816,4,0,0,0
DeSean Jackson,WR,9,180.5,0,0,0,0,0,0,0,0,0,0,56,1005,4,0,0,0
Dez Bryant,WR,7,180.0,1,1,10,1,0,0,0,0,0,0,50,796,8,0,1,0
Cameron Meredith,WR,9,179.5,1,1,2,1,0,0,1,6,0,0,66,888,4,0,2,0
Jeremy Hill,RB,9,176.3,0,0,0,0,0,0,222,839,9,0,21,174,0,0,0,0
Anquan Boldin,WR,10,173.4,0,0,0,0,0,0,0,0,0,0,67,584,8,0,0,0
Marqise Lee,WR,5,172.4,1,1,20,1,0,0,6,35,0,0,63,851,3,0,1,0
Marvin Jones,WR,10,172.3,0,0,0,0,0,0,1,3,0,0,55,930,4,0,0,0
Jordan Matthews,WR,4,171.4,0,0,0,0,0,0,0,0,0,0,73,804,3,0,0,0
Terrance West,RB,8,171.0,0,0,0,0,0,0,193,774,5,0,34,236,1,0,0,0
Cameron Brate,TE,6,171.0,0,0,0,0,0,0,0,0,0,0,57,660,8,0,0,0
Brock Osweiler,QB,9,169.0,510,301,2957,15,16,0,30,131,2,0,1,-14,0,0,1,0
Quincy Enunwa,WR,11,168.9,0,0,0,0,0,0,1,12,0,0,58,857,4,0,0,0
Dennis Pitta,TE,8,168.9,0,0,0,0,0,0,0,0,0,0,86,729,2,0,1,0
Kenny Stills,WR,8,168.6,0,0,0,0,0,0,0,0,0,0,42,726,9,0,0,0
Jordan Reed,TE,9,168.6,0,0,0,0,0,0,0,0,0,0,66,686,6,0,1,0
Martellus Bennett,TE,9,168.1,0,0,0,0,0,0,2,10,0,0,55,701,7,0,0,0
Dontrelle Inman,WR,11,163.0,0,0,0,0,0,0,0,0,0,0,58,810,4,0,0,0
Darren Sproles,RB,4,162.5,0,0,0,0,0,0,94,438,2,0,52,427,2,0,0,0
Theo Riddick,RB,10,161.8,0,0,0,0,0,0,92,357,1,0,53,371,5,0,0,0
James White,RB,9,161.7,0,0,0,0,0,0,39,166,0,0,60,551,5,0,0,0
Ted Ginn Jr.,WR,7,159.0,0,0,0,0,0,0,14,98,0,0,54,752,4,0,2,0
Brandon Marshall,WR,11,155.8,0,0,0,0,0,0,0,0,0,0,59,788,3,0,0,0
DeVante Parker,WR,8,154.4,0,0,0,0,0,0,0,0,0,0,56,744,4,0,0,0
Jason Witten,TE,7,152.3,0,0,0,0,0,0,0,0,0,0,69,673,3,0,1,0
Mohamed Sanu,WR,11,148.8,0,0,0,0,0,0,1,5,0,0,59,653,4,1,1,0
Jerick McKinnon,RB,6,148.4,1,0,0,0,0,0,159,539,2,1,43,255,2,0,0,0
Randall Cobb,WR,4,148.3,0,0,0,0,0,0,10,33,0,0,60,610,4,0,0,0
Antonio Gates,TE,11,147.8,0,0,0,0,0,0,0,0,0,0,53,548,7,0,1,0
Chris Thompson,RB,9,147.5,0,0,0,0,0,0,68,356,3,0,49,349,2,0,1,0
Tavon Austin,WR,8,146.8,0,0,0,0,0,0,28,159,1,0,58,509,3,0,1,0
Jeremy Kerley,WR,10,146.7,0,0,0,0,0,0,0,0,0,0,64,667,3,0,1,0
Jonathan Stewart,RB,7,146.4,0,0,0,0,0,0,218,824,9,0,8,60,0,0,2,0
Alshon Jeffery,WR,9,146.1,0,0,0,0,0,0,0,0,0,0,52,821,2,0,0,0
Jack Doyle,TE,10,145.4,0,0,0,0,0,0,0,0,0,0,59,584,5,0,1,0
Ryan Mathews,RB,4,144.6,0,0,0,0,0,0,155,661,8,2,13,115,1,0,2,0
Duke Johnson,RB,13,144.2,1,0,0,0,0,0,73,358,1,0,53,514,0,0,1,0
Eric Ebron,TE,10,144.2,0,0,0,0,0,0,1,1,1,0,61,711,1,0,0,0
Devontae Booker,RB,11,142.7,0,0,0,0,0,0,174,612,4,0,31,265,1,0,3,0
Ty Montgomery,WR,4,140.5,0,0,0,0,0,0,77,457,3,0,44,348,0,0,1,0
Taylor Gabriel,WR,13,140.0,0,0,0,0,0,0,4,51,1,0,35,579,6,0,0,0
J.J. Nelson,WR,9,139.1,0,0,0,0,0,0,4,83,1,0,34,568,6,0,1,0
Rashad Jennings,RB,8,138.4,0,0,0,0,0,0,181,593,3,0,35,201,1,0,0,0
T.J. Yeldon,RB,5,137.7,0,0,0,0,0,0,130,465,1,0,50,312,1,0,1,0
Coby Fleener,TE,5,137.3,0,0,0,0,0,0,1,2,1,0,50,631,3,0,0,0
Christine Michael,RB,4,137.0,0,0,0,0,0,0,148,583,7,0,22,107,1,0,1,0
Charles Clay,TE,10,136.2,0,0,0,0,0,0,0,0,0,0,57,552,4,0,0,0
C.J. Fiedorowicz,TE,9,133.9,0,0,0,0,0,0,0,0,0,0,54,559,4,0,0,0
Ryan Fitzpatrick,QB,11,133.4,403,228,2710,12,17,0,33,130,0,0,0,0,0,0,1,0
Adam Humphries,WR,6,133.0,0,0,0,0,0,0,5,18,0,0,55,622,2,1,0,0
Rob Kelley,RB,9,132.6,0,0,0,0,0,0,168,704,6,0,12,82,1,0,0,0
Matt Asiata,RB,6,132.5,0,0,0,0,0,0,121,402,6,0,32,263,0,0,1,0
Travis Benjamin,WR,11,132.4,1,0,0,0,0,0,2,-3,0,0,47,677,4,0,3,0
Gary Barnidge,TE,13,130.2,0,0,0,0,0,0,0,0,0,0,55,612,2,1,0,0
Hunter Henry,TE,11,129.8,0,0,0,0,0,0,0,0,0,0,36,478,8,0,1,0
Chris Hogan,WR,9,128.9,0,0,0,0,0,0,3,9,0,0,38,680,4,0,1,0
Tim Hightower,RB,5,126.8,0,0,0,0,0,0,133,548,4,0,22,200,1,0,0,0
Eli Rogers,WR,8,126.0,0,0,0,0,0,0,1,6,0,0,48,594,3,0,0,0
Mike Gillislee,RB,10,125.7,0,0,0,0,0,0,101,577,8,0,9,50,1,0,0,0
Terrance Williams,WR,7,125.4,0,0,0,0,0,0,0,0,0,0,44,594,4,0,1,0
Tyler Boyd,WR,9,124.1,0,0,0,0,0,0,4,58,0,0,54,603,1,0,1,0
Tyler Lockett,WR,5,124.1,0,0,0,0,0,0,6,114,1,0,41,597,1,0,0,0
Giovani Bernard,RB,9,122.3,0,0,0,0,0,0,91,337,2,0,39,336,1,0,1,0
Will Fuller,WR,9,122.2,0,0,0,0,0,0,1,-3,0,0,47,635,2,0,0,0
Zach Miller,TE,9,119.6,0,0,0,0,0,0,0,0,0,0,47,486,4,0,0,0
Robert Woods,WR,10,118.9,0,0,0,0,0,0,1,6,0,0,51,613,1,0,0,0
Michael Floyd,WR,9,115.8,0,0,0,0,0,0,0,0,0,0,37,488,5,0,0,0
Jalen Richard,RB,10,115.5,0,0,0,0,0,0,83,491,1,0,29,194,2,0,0,0
Brian Quick,WR,8,115.4,0,0,0,0,0,0,0,0,0,0,41,564,3,0,0,0
Robby Anderson,WR,11,114.9,0,0,0,0,0,0,3,42,0,0,42,587,2,0,1,0
Vernon Davis,TE,9,114.3,0,0,0,0,0,0,0,0,0,0,44,583,2,0,0,0
Dwayne Allen,TE,10,113.6,0,0,0,0,0,0,0,0,0,0,35,406,6,1,0,0
Cordarrelle Patterson,RB,6,113.6,0,0,0,0,0,0,7,43,0,0,52,453,2,0,0,0
Seth Roberts,WR,10,111.7,0,0,0,0,0,0,0,0,0,0,38,397,5,2,0,0
Case Keenum,QB,8,111.1,322,196,2201,9,11,0,20,51,1,0,0,0,0,0,1,0
Lance Kendricks,TE,8,109.9,0,0,0,0,0,0,0,0,0,0,50,499,2,0,1,0
Jeremy Maclin,WR,5,109.5,1,0,0,0,0,0,1,-1,0,0,44,536,2,0,0,0
Shaun Draughn,RB,8,108.9,0,0,0,0,0,0,74,196,4,0,29,263,2,0,1,0
Robert Turbin,RB,10,108.3,0,0,0,0,0,0,47,164,7,0,26,179,1,0,0,0
Derrick Henry,RB,13,105.7,0,0,0,0,0,0,110,490,5,0,13,137,0,0,0,0
Tajae Sharpe,WR,13,105.3,0,0,0,0,0,0,1,1,0,0,41,522,2,0,0,0
Ryan Griffin,TE,9,104.2,0,0,0,0,0,0,0,0,0,0,50,442,2,0,1,0
