Player,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
John Brown,WR,9,103.7,0,0,0,0,0,0,1,10,0,0,39,517,2,0,0,0
Donte Moncrief,WR,10,102.6,0,0,0,0,0,0,1,-1,0,0,30,307,7,0,0,0
C.J. Anderson,RB,11,102.5,0,0,0,0,0,0,110,437,4,0,16,128,1,0,0,0
Kenneth Dixon,RB,8,102.4,0,0,0,0,0,0,88,382,2,0,30,162,1,0,0,0
Victor Cruz,WR,8,101.6,0,0,0,0,0,0,0,0,0,0,39,586,1,0,1,0
Breshad Perriman,WR,8,101.1,0,0,0,0,0,0,1,2,0,0,33,499,3,0,0,0
Allen Hurns,WR,5,100.7,0,0,0,0,0,0,0,0,0,0,35,477,3,0,0,0
DeAngelo Williams,RB,8,100.1,0,0,0,0,0,0,98,343,4,0,18,118,2,0,0,0
Phillip Dorsett,WR,10,98.8,0,0,0,0,0,0,2,10,0,0,33,528,2,0,0,0
Tyler Eifert,TE,9,98.4,0,0,0,0,0,0,0,0,0,0,29,394,5,0,0,0
Jermaine Kearse,WR,5,98.0,0,0,0,0,0,0,0,0,0,0,41,510,1,0,0,0
Chris Conley,WR,5,97.0,0,0,0,0,0,0,0,0,0,0,44,530,0,0,0,0
Rob Gronkowski,TE,9,97.0,0,0,0,0,0,0,0,0,0,0,25,540,3,0,0,0
Malcolm Mitchell,WR,9,96.1,0,0,0,0,0,0,0,0,0,0,32,401,4,0,0,0
Chris Ivory,RB,5,94.5,0,0,0,0,0,0,117,439,3,0,20,186,0,0,3,0
Charcandrick West,RB,5,94.1,0,0,0,0,0,0,88,293,1,0,28,188,2,0,0,0
Travaris Cadet,RB,5,94.0,0,0,0,0,0,0,4,19,0,0,40,281,4,0,0,0
Will Tye,TE,8,93.5,0,0,0,0,0,0,0,0,0,0,48,395,1,0,0,0
Damien Williams,RB,8,93.4,0,0,0,0,0,0,35,115,3,0,23,249,3,0,1,0
Corey Coleman,WR,13,93.3,0,0,0,0,0,0,2,10,0,0,33,413,3,0,0,0
Zach Zenner,RB,10,93.0,0,0,0,0,0,0,88,334,4,0,18,196,0,0,1,0
Jacquizz Rodgers,RB,6,90.8,0,0,0,0,0,0,129,560,2,0,13,98,0,0,0,0
Jesse James,TE,8,90.8,0,0,0,0,0,0,0,0,0,0,39,338,3,0,0,0
Marquise Goodwin,WR,10,90.1,0,0,0,0,0,0,0,0,0,0,29,431,3,0,0,0
Kendall Wright,WR,13,90.1,0,0,0,0,0,0,1,15,0,0,29,416,3,0,0,0
Jermaine Gresham,TE,9,88.1,0,0,0,0,0,0,0,0,0,0,37,391,2,0,0,0
Nelson Agholor,WR,4,87.9,0,0,0,0,0,0,5,14,0,0,36,365,2,1,0,0
Dorial Green-Beckham,WR,4,87.2,0,0,0,0,0,0,0,0,0,0,36,392,2,0,0,0
Vance McDonald,TE,8,87.1,0,0,0,0,0,0,0,0,0,0,24,391,4,0,0,0
Clive Walford,TE,10,86.9,0,0,0,0,0,0,0,0,0,0,33,359,3,0,0,0
Devin Funchess,WR,7,86.1,0,0,0,0,0,0,0,0,0,0,23,371,4,1,0,0
Doug Martin,RB,6,85.5,0,0,0,0,0,0,144,421,3,0,14,134,0,0,1,0
DeAndre Washington,RB,10,85.2,0,0,0,0,0,0,87,467,2,0,17,115,0,0,1,0
Andrew Hawkins,WR,13,83.4,0,0,0,0,0,0,2,0,0,0,33,324,3,0,0,0
Sammy Watkins,WR,10,83.0,0,0,0,0,0,0,0,0,0,0,28,430,2,0,0,0
Julius Thomas,TE,5,82.1,0,0,0,0,0,0,0,0,0,0,30,281,4,0,0,0
Albert Wilson,WR,5,81.9,0,0,0,0,0,0,2,50,1,0,31,279,2,0,0,0
Eddie Royal,WR,9,81.9,0,0,0,0,0,0,0,0,0,0,33,369,2,0,0,0
Garrett Celek,TE,8,80.0,0,0,0,0,0,0,0,0,0,0,29,350,3,0,1,0
Brian Hoyer,QB,9,79.6,200,134,1445,6,0,0,7,-2,0,0,0,0,0,0,1,0
Sammie Coates,WR,8,77.9,0,0,0,0,0,0,4,14,0,0,21,435,2,0,0,0
Quinton Patton,WR,8,77.8,0,0,0,0,0,0,0,0,0,0,37,408,0,0,0,0
Cody Kessler,QB,13,77.0,195,128,1380,6,2,1,11,18,0,0,0,0,0,0,1,0
Paul Perkins,RB,8,76.8,0,0,0,0,0,0,112,456,0,0,15,162,0,0,0,0
Rex Burkhead,RB,9,75.9,0,0,0,0,0,0,74,344,2,0,17,145,0,0,1,0
Trey Burton,TE,4,75.7,0,0,0,0,0,0,0,0,0,0,37,327,1,0,0,0
Dion Sims,TE,8,75.6,0,0,0,0,0,0,0,0,0,0,26,256,4,0,0,0
Thomas Rawls,RB,5,75.5,0,0,0,0,0,0,109,349,3,0,13,96,0,0,0,0
Matt Jones,RB,9,75.3,0,0,0,0,0,0,99,460,3,0,8,73,0,0,2,0
Kyle Juszczyk,RB,8,73.8,0,0,0,0,0,0,5,22,1,0,37,266,0,1,0,0
Blaine Gabbert,QB,8,73.7,160,91,925,5,6,0,40,173,2,0,1,-16,0,0,0,0
Jeremy Langford,RB,9,73.2,0,0,0,0,0,0,62,200,4,0,19,142,0,0,2,0
Brandon Coleman,WR,5,72.1,0,0,0,0,0,0,0,0,0,0,26,281,3,0,0,0
Fozzy Whittaker,RB,7,72.1,0,0,0,0,0,0,57,265,0,0,25,226,0,0,1,0
Matt Barkley,QB,9,71.8,216,129,1611,8,14,0,7,2,0,0,1,2,1,0,2,0
Jared Cook,TE,4,71.7,0,0,0,0,0,0,0,0,0,0,30,377,1,0,1,0
Russell Shepard,WR,6,70.0,0,0,0,0,0,0,1,9,0,0,23,341,2,0,0,0
Danny Amendola,WR,9,69.3,0,0,0,0,0,0,0,0,0,0,23,243,4,0,1,0
Richard Rodgers,TE,4,69.1,0,0,0,0,0,0,0,0,0,0,30,271,2,0,0,0
Charles Sims,RB,6,67.9,0,0,0,0,0,0,51,149,1,0,24,190,1,0,1,0
Kamar Aiken,WR,8,67.8,0,0,0,0,0,0,0,0,0,0,29,328,1,0,0,0
Robert Griffin III,QB,13,66.4,147,87,886,2,3,0,31,190,2,0,0,0,0,0,1,0
Justin Hardy,WR,11,65.3,0,0,0,0,0,0,0,0,0,0,21,203,4,0,0,0
Torrey Smith,WR,8,64.7,0,0,0,0,0,0,0,0,0,0,20,267,3,0,0,0
Aldrick Robinson,WR,11,64.3,0,0,0,0,0,0,0,0,0,0,20,323,2,0,0,0
Austin Hooper,TE,11,64.1,0,0,0,0,0,0,0,0,0,0,19,271,3,0,0,0
Alfred Blue,RB,9,62.0,0,0,0,0,0,0,100,420,1,0,12,40,0,0,1,0
Justin Forsett,RB,11,61.6,0,0,0,0,0,0,87,291,1,0,20,85,0,0,1,0
C.J. Prosise,RB,5,61.0,0,0,0,0,0,0,30,172,1,0,17,208,0,0,0,0
Jacob Tamme,TE,11,61.0,0,0,0,0,0,0,0,0,0,0,22,210,3,0,0,0
Philly Brown,WR,7,59.2,0,0,0,0,0,0,2,6,0,0,27,276,1,0,1,0
James Starks,RB,4,58.9,0,0,0,0,0,0,63,145,0,0,19,134,2,0,0,0
Bryan Walters,WR,5,57.5,0,0,0,0,0,0,1,4,0,0,24,231,2,0,1,0
Jamize Olawale,RB,10,57.4,0,0,0,0,0,0,17,47,2,0,12,227,1,0,0,0
Josh Bellamy,WR,9,56.9,0,0,0,0,0,0,4,37,0,0,19,282,1,0,0,0
Deonte Thompson,WR,9,56.9,0,0,0,0,0,0,0,0,0,0,22,249,2,0,1,0
John Kuhn,RB,5,56.7,0,0,0,0,0,0,18,37,4,0,16,70,1,0,0,0
Paul Richardson,WR,5,56.3,0,0,0,0,0,0,1,5,0,0,21,288,1,0,0,0
Brice Butler,WR,7,55.9,0,0,0,0,0,0,0,0,0,0,16,219,3,0,0,0
Matt Moore,QB,8,54.7,87,55,721,8,3,0,1,-1,0,0,0,0,0,0,0,0
Dion Lewis,RB,9,54.7,0,0,0,0,0,0,64,283,0,0,17,94,0,0,0,0
C.J. Uzomah,TE,9,54.4,0,0,0,0,0,0,0,0,0,0,25,234,1,0,0,0
Ladarius Green,TE,8,54.4,0,0,0,0,0,0,0,0,0,0,18,304,1,0,0,0
Jared Goff,QB,8,53.2,205,112,1089,5,7,0,8,16,1,0,0,0,0,0,2,0
Justin Hunter,WR,10,52.9,0,0,0,0,0,0,0,0,0,0,10,189,4,0,0,0
Cobi Hamilton,WR,7,52.4,0,0,0,0,0,0,0,0,0,0,17,234,2,0,0,0
Josh McCown,QB,13,52.1,165,90,1100,6,6,1,7,21,0,0,0,0,0,0,4,0
Virgil Green,TE,11,51.7,0,0,0,0,0,0,0,0,0,0,22,237,1,0,0,0
Levine Toilolo,TE,11,51.4,0,0,0,0,0,0,0,0,0,0,13,264,2,0,0,0
Erik Swoope,TE,10,50.7,0,0,0,0,0,0,0,0,0,0,15,297,1,0,0,0
Rod Streater,WR,5,49.1,0,0,0,0,0,0,0,0,0,0,18,191,2,0,0,0
Dwayne Washington,RB,10,48.7,0,0,0,0,0,0,90,265,1,0,10,62,0,0,0,0
Jordan Taylor,WR,11,46.9,0,0,0,0,0,0,0,0,0,0,16,209,2,0,1,0
Jay Cutler,QB,9,46.8,137,81,1059,4,5,0,5,24,0,0,0,0,0,0,2,0
Wendell Smallwood,RB,4,46.7,0,0,0,0,0,0,77,312,1,0,6,55,0,0,1,0
Aaron Ripkowski,RB,4,46.6,0,0,0,0,0,0,34,150,2,0,9,46,1,0,0,0
Chester Rogers,WR,10,46.3,0,0,0,0,0,0,0,0,0,0,19,273,0,0,0,0
Andre Holmes,WR,10,44.6,0,0,0,0,0,0,0,0,0,0,14,126,3,0,0,0
Geronimo Allison,WR,4,44.2,0,0,0,0,0,0,0,0,0,0,12,202,2,0,0,0
Jordan Norwood,WR,11,44.2,0,0,0,0,0,0,1,0,0,0,21,232,1,0,3,0
Kenyan Drake,RB,8,43.5,0,0,0,0,0,0,33,179,2,0,9,46,0,0,0,0
Mychal Rivera,TE,10,43.2,0,0,0,0,0,0,0,0,0,0,18,192,1,0,0,0
Charles Johnson,WR,6,43.2,0,0,0,0,0,0,0,0,0,0,20,232,0,0,0,0
Marcedes Lewis,TE,5,42.9,0,0,0,0,0,0,0,0,0,0,20,169,1,0,0,0
Eddie Lacy,RB,4,42.8,0,0,0,0,0,0,71,360,0,0,4,28,0,0,0,0
