Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD,ID
B. Finneran,2010,WR,8,53.6,0,0,0,0,0,0,0,0,0,0,19,166,3,0,0,0,finnebr01
E. Graham,2010,RB,4,53.0,1,1,2,1,0,0,20,99,1,0,16,130,1,0,1,0,grahaea01
D. McCluster,2010,WR,4,53.0,0,0,0,0,0,0,18,71,0,0,21,209,1,0,1,0,mcclude01
I. Redman,2010,RB,5,52.9,0,0,0,0,0,0,52,247,0,0,9,72,2,0,0,0,redmais01
C. Davis,2010,WR,10,52.9,0,0,0,0,0,0,0,0,0,0,21,259,1,0,0,0,daviscr01
J. Gage,2010,WR,9,52.6,0,0,0,0,0,0,0,0,0,0,20,266,1,0,0,0,gageju01
B. Berrian,2010,WR,4,52.4,0,0,0,0,0,0,1,-8,0,0,28,252,0,0,0,0,berribe01
D. Hagan,2010,WR,8,52.3,0,0,0,0,0,0,0,0,0,0,24,223,1,0,0,0,hagande01
E. Moore,2010,TE,8,52.2,0,0,0,0,0,0,0,0,0,0,16,322,1,0,1,0,mooreev01
M. Spurlock,2010,WR,4,52.0,3,0,0,0,0,0,0,0,0,0,17,250,2,0,1,0,spurlmi01
R. Grossman,2010,QB,9,52.0,133,74,884,7,4,2,3,6,0,0,0,0,0,0,4,0,grossre01
S. Ajirotutu,2010,WR,10,51.2,0,0,0,0,0,0,0,0,0,0,13,262,2,0,0,0,ajirose01
B. Scott,2010,RB,6,50.9,0,0,0,0,0,0,61,299,1,0,11,60,0,0,1,0,scottbe02
B. Gradkowski,2010,QB,10,50.5,157,83,1059,5,7,0,12,41,0,0,0,0,0,0,1,0,gradkbr01
M. Stafford,2010,QB,7,50.5,96,57,535,6,1,1,4,11,1,0,0,0,0,0,1,0,staffma01
G. Camarillo,2010,WR,4,50.0,0,0,0,0,0,0,0,0,0,0,20,240,1,0,0,0,camargr01
C. Chambers,2010,WR,4,49.3,0,0,0,0,0,0,0,0,0,0,22,213,1,0,0,0,chambch01
A. Quarless,2010,TE,10,48.8,0,0,0,0,0,0,0,0,0,0,21,238,1,0,1,0,quarlan01
J. Hester,2010,RB,10,48.5,0,0,0,0,0,0,26,60,0,0,22,145,1,0,0,0,hesteja01
Z. Miller,2010,TE,9,48.5,0,0,0,0,0,0,2,9,0,0,20,216,1,0,0,0,milleza02
J. Ringer,2010,RB,9,47.3,0,0,0,0,0,0,51,239,2,0,7,44,0,0,0,0,ringeja01
B. Smith,2010,WR,7,46.5,3,2,6,1,0,0,38,299,1,0,4,44,0,0,1,0,smithbr08
S. Stroughter,2010,WR,4,46.1,0,0,0,0,0,0,1,2,0,0,24,239,0,0,1,0,strousa01
B. Leonard,2010,RB,6,45.8,0,0,0,0,0,0,9,61,0,0,20,137,1,0,0,0,leonabr01
M. Hoomanawanui,2010,TE,9,45.6,0,0,0,0,0,0,0,0,0,0,13,146,3,0,0,0,hoomami01
D. Jones,2010,WR,6,45.4,0,0,0,0,0,0,3,1,0,0,18,213,1,0,0,0,jonesdo07
C. Portis,2010,RB,9,45.2,0,0,0,0,0,0,54,227,2,0,5,55,0,0,0,0,porticl01
K. Darby,2010,RB,9,44.8,0,0,0,0,0,0,34,107,2,0,10,61,1,0,0,0,darbyke01
M. Sellers,2010,RB,9,44.6,0,0,0,0,0,0,4,2,0,0,20,224,0,1,0,0,sellemi01
L. Stephens-Howling,2010,RB,6,44.4,0,0,0,0,0,0,23,113,1,0,16,111,0,0,0,0,stephla02
G. Tate,2010,WR,5,44.1,0,0,0,0,0,0,2,4,0,0,21,227,0,0,0,0,tatego02
J. Jones,2010,RB,10,43.2,0,0,0,0,0,0,60,223,0,0,17,59,0,0,1,0,jonesju03
J. King,2010,TE,6,43.1,0,0,0,0,0,0,0,0,0,0,19,121,2,0,0,0,kingje03
L. McClain,2010,RB,8,42.9,0,0,0,0,0,0,28,85,0,0,21,134,0,0,0,0,mcclale01
S. Wallace,2010,QB,8,42.6,101,64,694,4,2,0,7,9,0,0,1,9,0,0,0,0,wallase01
A. Dixon,2010,RB,9,41.8,0,0,0,0,0,0,70,237,2,0,5,11,0,0,0,0,dixonan03
J. Hill,2010,WR,9,41.8,0,0,0,0,0,0,0,0,0,0,11,248,1,0,0,0,hillja03
B. Johnson,2010,WR,7,41.0,0,0,0,0,0,0,0,0,0,0,18,210,0,1,0,0,johnsbr05
B. Bajema,2010,TE,9,40.5,0,0,0,0,0,0,0,0,0,0,14,145,2,0,0,0,bajembi01
O. Schmitt,2010,RB,8,38.6,0,0,0,0,0,0,0,0,0,0,19,136,1,0,0,0,schmiow01
D. Williams,2010,WR,9,38.4,0,0,0,0,0,0,1,5,0,0,16,219,0,0,0,0,willida17
J. Webb,2010,QB,4,37.1,89,54,477,0,3,0,18,120,2,0,0,0,0,0,0,0,webbjo01
G. Lewis,2010,WR,4,36.7,0,0,0,0,0,0,0,0,0,0,17,197,0,0,0,0,lewisgr02
C. Whitehurst,2010,QB,5,36.6,99,57,507,2,3,2,20,43,1,0,0,0,0,0,0,0,whitech06
K. Smith,2010,RB,7,36.6,0,0,0,0,0,0,34,133,0,0,11,123,0,0,0,0,smithke12
T. Beckum,2010,TE,8,36.6,0,0,0,0,0,0,0,0,0,0,13,116,2,0,0,0,beckutr01
K. Washington,2010,WR,10,36.3,0,0,0,0,0,0,0,0,0,0,13,173,1,0,0,0,washike02
T. Ginn,2010,WR,9,35.4,0,0,0,0,0,0,2,11,0,0,12,163,1,0,0,0,ginnte01
O. Mughelli,2010,RB,8,35.2,0,0,0,0,0,0,13,36,0,0,13,126,1,0,0,0,mugheov01
