Player,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Antonio Brown,WR,12,380.9,2,2,20,1,0,0,4,13,0,0,129,1698,13,1,2,0
Le'Veon Bell,RB,12,370.5,0,0,0,0,0,0,290,1361,8,0,83,854,3,0,0,0
Aaron Rodgers,QB,9,354.1,520,341,4381,38,5,1,43,269,2,0,0,0,0,0,2,0
Andrew Luck,QB,10,351.7,616,380,4761,40,16,0,64,273,3,0,0,0,0,0,6,0
DeMarco Murray,RB,11,351.1,0,0,0,0,0,0,392,1845,13,0,57,416,0,0,5,0
Matt Forte,RB,9,346.6,0,0,0,0,0,0,266,1038,6,1,102,808,4,1,2,0
Demaryius Thomas,WR,4,340.9,0,0,0,0,0,0,0,0,0,0,111,1619,11,1,0,0
Russell Wilson,QB,4,328.6,452,285,3475,20,7,0,118,849,6,0,1,17,0,0,0,0
Jordy Nelson,WR,9,327.9,0,0,0,0,0,0,0,0,0,0,98,1519,13,0,0,0
Dez Bryant,WR,11,316.0,0,0,0,0,0,0,0,0,0,0,88,1320,16,0,0,0
Peyton Manning,QB,4,312.7,597,395,4727,39,15,2,24,-24,0,0,0,0,0,0,2,0
Ben Roethlisberger,QB,12,306.2,608,408,4952,32,9,3,33,27,0,0,0,-6,0,0,5,0
Drew Brees,QB,6,304.0,659,456,4952,33,17,0,27,68,1,0,1,1,0,0,3,0
Marshawn Lynch,RB,4,302.3,0,0,0,0,0,0,280,1306,13,0,37,367,4,0,2,0
Emmanuel Sanders,WR,4,301.8,0,0,0,0,0,0,8,44,0,0,101,1404,9,1,0,0
Julio Jones,WR,9,297.4,0,0,0,0,0,0,1,1,0,0,104,1593,6,0,1,0
Odell Beckham Jr.,WR,8,295.0,1,0,0,0,0,0,7,35,0,0,91,1305,12,0,1,0
Randall Cobb,WR,9,293.4,0,0,0,0,0,0,11,37,0,0,91,1287,12,1,2,0
Matt Ryan,QB,9,284.3,628,415,4694,28,14,1,29,145,0,0,0,0,0,0,2,0
Ryan Tannehill,QB,5,279.5,590,392,4045,27,12,0,56,311,1,0,1,-4,0,0,2,0
Tom Brady,QB,10,278.1,582,373,4109,33,9,0,36,57,0,0,0,0,0,0,3,0
Jeremy Maclin,WR,7,276.8,0,0,0,0,0,0,0,0,0,0,85,1318,10,0,0,0
Arian Foster,RB,10,273.5,1,1,5,1,0,0,260,1246,8,0,38,327,5,0,2,0
Eddie Lacy,RB,9,272.6,0,0,0,0,0,0,246,1139,9,0,42,427,4,0,2,0
Eli Manning,QB,8,269.5,601,379,4410,30,14,0,12,31,1,0,0,0,0,0,4,0
Rob Gronkowski,TE,10,266.4,0,0,0,0,0,0,0,0,0,0,82,1124,12,0,0,0
Tony Romo,QB,11,266.3,435,304,3705,34,9,0,26,61,0,0,0,0,0,0,3,0
Philip Rivers,QB,10,265.6,570,379,4286,31,18,0,37,102,0,0,0,0,0,0,2,0
Joe Flacco,QB,11,262.4,554,344,3986,27,12,0,39,70,2,0,0,0,0,0,0,0
Alshon Jeffery,WR,9,261.6,0,0,0,0,0,0,6,33,0,0,85,1133,10,0,0,0
Golden Tate,WR,9,259.1,0,0,0,0,0,0,5,30,0,0,99,1331,4,0,0,0
T.Y. Hilton,WR,10,258.5,0,0,0,0,0,0,2,20,0,0,82,1345,7,0,1,0
Jay Cutler,QB,9,255.6,561,370,3812,28,18,4,39,191,2,0,0,0,0,0,6,0
Matthew Stafford,QB,9,251.6,602,363,4257,22,12,1,43,93,2,0,0,0,0,0,3,0
Colin Kaepernick,QB,8,250.7,478,289,3369,19,10,0,104,639,1,0,0,0,0,0,5,0
Jamaal Charles,RB,6,250.4,0,0,0,0,0,0,206,1033,9,0,40,291,5,0,3,0
Cam Newton,QB,12,249.0,448,262,3127,18,12,1,103,539,5,0,0,0,0,0,5,0
Justin Forsett,RB,11,246.9,0,0,0,0,0,0,235,1266,8,1,44,263,0,0,0,0
