Player,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Mike Evans,WR,7,245.1,0,0,0,0,0,0,0,0,0,0,68,1051,12,0,0,0
DeAndre Hopkins,WR,10,231.0,0,0,0,0,0,0,0,0,0,0,76,1210,6,0,1,0
Jimmy Graham,TE,6,229.9,0,0,0,0,0,0,0,0,0,0,85,889,10,0,2,0
Calvin Johnson,WR,9,226.7,0,0,0,0,0,0,0,0,0,0,71,1077,8,0,0,0
Kelvin Benjamin,WR,12,225.8,0,0,0,0,0,0,0,0,0,0,73,1008,9,0,1,0
Andy Dalton,QB,4,225.6,481,309,3398,19,17,1,60,169,4,0,1,18,1,0,2,0
Lamar Miller,RB,5,223.4,0,0,0,0,0,0,216,1099,8,0,38,275,1,0,3,0
Antonio Gates,TE,10,223.1,0,0,0,0,0,0,0,0,0,0,69,821,12,0,0,0
Julian Edelman,WR,10,222.6,0,0,0,0,0,0,10,94,0,0,92,972,4,0,0,0
Martellus Bennett,TE,9,221.6,0,0,0,0,0,0,0,0,0,0,90,916,6,2,0,0
Greg Olsen,TE,12,220.8,0,0,0,0,0,0,0,0,0,0,84,1008,6,0,0,0
Alex Smith,QB,6,220.0,464,303,3265,18,6,0,49,254,1,0,0,0,0,0,1,0
Anquan Boldin,WR,8,219.6,1,0,0,0,0,0,1,4,0,0,83,1062,5,0,0,0
Steve Smith,WR,11,219.5,0,0,0,0,0,0,0,0,0,0,79,1065,6,0,1,0
Mike Wallace,WR,5,212.8,1,0,0,0,0,0,4,16,0,0,67,862,10,0,1,0
Roddy White,WR,9,212.1,0,0,0,0,0,0,0,0,0,0,80,921,7,0,1,0
C.J. Anderson,RB,4,211.3,0,0,0,0,0,0,179,849,8,0,34,324,2,0,0,0
Jeremy Hill,RB,4,210.9,0,0,0,0,0,0,222,1124,9,0,27,215,0,0,2,0
Brandon LaFell,WR,10,210.6,0,0,0,0,0,0,2,13,0,0,74,953,7,0,1,0
DeSean Jackson,WR,10,209.6,0,0,0,0,0,0,4,7,0,0,56,1169,6,0,0,0
A.J. Green,WR,4,205.3,0,0,0,0,0,0,2,2,0,0,69,1041,6,0,2,0
Jordan Matthews,WR,7,202.2,0,0,0,0,0,0,0,0,0,0,67,872,8,0,0,0
Eric Decker,WR,11,200.2,0,0,0,0,0,0,0,0,0,0,74,962,5,0,0,0
LeSean McCoy,RB,7,199.4,0,0,0,0,0,0,312,1319,5,0,28,155,0,0,3,0
Joique Bell,RB,9,198.2,0,0,0,0,0,0,223,860,7,0,34,322,1,0,1,0
Sammy Watkins,WR,9,198.0,0,0,0,0,0,0,2,8,0,0,65,982,6,0,1,0
Matt Asiata,RB,10,194.2,0,0,0,0,0,0,164,570,9,2,44,312,1,0,1,0
Derek Carr,QB,5,192.0,599,348,3270,21,12,0,29,92,0,0,0,0,0,0,4,0
Mark Ingram,RB,6,191.9,0,0,0,0,0,0,226,964,9,0,29,145,0,0,1,0
Torrey Smith,WR,11,191.7,0,0,0,0,0,0,0,0,0,0,49,767,11,0,0,0
Andre Johnson,WR,10,190.6,0,0,0,0,0,0,0,0,0,0,85,936,3,0,3,0
Fred Jackson,RB,9,188.6,1,0,0,0,0,0,141,525,2,1,66,501,1,0,0,0
Giovani Bernard,RB,4,187.9,0,0,0,0,0,0,168,680,5,0,43,349,2,0,0,0
Alfred Morris,RB,10,187.9,0,0,0,0,0,0,265,1074,8,0,17,155,0,0,0,0
Rueben Randle,WR,8,182.8,0,0,0,0,0,0,0,0,0,0,71,938,3,0,0,0
Jarvis Landry,WR,5,181.4,0,0,0,0,0,0,2,-4,0,0,84,758,5,0,4,0
Eddie Royal,WR,10,181.2,0,0,0,0,0,0,3,14,0,0,62,778,7,0,1,0
Vincent Jackson,WR,7,180.2,0,0,0,0,0,0,0,0,0,0,70,1002,2,0,1,0
Teddy Bridgewater,QB,10,179.7,402,259,2919,14,12,2,47,209,1,0,0,0,0,0,0,0
Ryan Fitzpatrick,QB,10,179.7,312,197,2483,17,8,0,50,184,2,0,0,0,0,0,1,0
Mohamed Sanu,WR,4,179.3,3,3,79,1,0,0,7,51,0,0,56,790,5,1,0,0
Brandon Marshall,WR,9,179.1,0,0,0,0,0,0,0,0,0,0,61,721,8,0,1,0
Andre Ellington,RB,4,177.5,0,0,0,0,0,0,201,660,3,0,46,395,2,0,2,0
Travis Kelce,TE,6,177.2,0,0,0,0,0,0,0,0,0,0,67,862,5,0,3,1
Marques Colston,WR,6,177.2,0,0,0,0,0,0,0,0,0,0,59,902,5,0,1,0
Coby Fleener,TE,10,176.4,0,0,0,0,0,0,0,0,0,0,51,774,8,0,0,0
Kyle Orton,QB,9,176.1,447,287,3018,18,10,1,15,14,1,0,0,0,0,0,3,0
Delanie Walker,TE,9,176.0,0,0,0,0,0,0,0,0,0,0,63,890,4,0,0,0
Keenan Allen,WR,10,175.3,0,0,0,0,0,0,0,0,0,0,77,783,4,0,2,0
Kenny Stills,WR,6,173.9,0,0,0,0,0,0,1,-2,0,0,63,931,3,0,0,0
James Jones,WR,5,173.6,0,0,0,0,0,0,0,0,0,0,73,666,6,0,1,0
Malcom Floyd,WR,10,173.6,0,0,0,0,0,0,0,0,0,0,52,856,6,0,0,0
Greg Jennings,WR,10,169.2,0,0,0,0,0,0,0,0,0,0,59,742,6,0,0,0
Blake Bortles,QB,11,168.2,475,280,2908,11,17,1,56,419,0,0,0,0,0,0,1,0
Kendall Wright,WR,9,167.9,0,0,0,0,0,0,4,54,0,0,57,715,6,0,1,0
Doug Baldwin,WR,4,167.3,0,0,0,0,0,0,1,8,0,0,66,825,3,0,0,0
Shane Vereen,RB,10,165.8,0,0,0,0,0,0,96,391,2,0,52,447,3,0,0,0
Michael Floyd,WR,4,165.3,0,0,0,0,0,0,1,2,0,0,47,841,6,0,1,0
Robert Woods,WR,9,164.9,0,0,0,0,0,0,0,0,0,0,65,699,5,1,1,0
Jason Witten,TE,11,164.3,0,0,0,0,0,0,0,0,0,0,64,703,5,0,0,0
Julius Thomas,TE,4,163.9,0,0,0,0,0,0,0,0,0,0,43,489,12,0,0,0
Michael Crabtree,WR,8,162.2,0,0,0,0,0,0,1,4,0,0,68,698,4,0,0,0
Pierre Garcon,WR,10,161.2,1,0,0,0,0,0,0,0,0,0,68,752,3,0,0,0
Heath Miller,TE,12,160.1,0,0,0,0,0,0,0,0,0,0,66,761,3,1,1,0
Andrew Hawkins,WR,4,158.9,0,0,0,0,0,0,3,15,0,0,63,824,2,0,0,0
Frank Gore,RB,8,158.7,0,0,0,0,0,0,255,1106,4,0,11,111,1,0,2,0
Brian Hoyer,QB,4,156.9,438,242,3326,12,13,0,24,39,0,0,0,0,0,0,1,0
Allen Hurns,WR,11,154.7,0,0,0,0,0,0,0,0,0,0,51,677,6,0,0,0
Ahmad Bradshaw,RB,10,154.5,0,0,0,0,0,0,90,425,2,0,38,300,6,0,2,0
Larry Donnell,TE,8,153.3,0,0,0,0,0,0,0,0,0,0,63,623,6,0,4,0
Chris Ivory,RB,11,152.4,0,0,0,0,0,0,198,821,6,0,18,123,1,0,1,0
Reggie Wayne,WR,10,151.9,0,0,0,0,0,0,0,0,0,0,64,779,2,0,1,0
Larry Fitzgerald,WR,4,151.4,0,0,0,0,0,0,0,0,0,0,63,784,2,0,1,0
Geno Smith,QB,11,150.8,367,219,2525,13,13,0,59,238,1,0,0,0,0,0,3,0
Terrance Williams,WR,11,147.1,0,0,0,0,0,0,0,0,0,0,37,621,8,0,0,0
John Brown,WR,4,147.0,0,0,0,0,0,0,3,-6,0,0,48,696,5,0,0,0
Jonathan Stewart,RB,12,146.0,0,0,0,0,0,0,175,809,3,0,25,181,1,0,1,0
Darren Sproles,RB,7,145.6,0,0,0,0,0,0,57,329,6,0,40,387,0,0,1,0
Branden Oliver,RB,10,145.3,0,0,0,0,0,0,160,582,3,0,36,271,1,0,0,0
Andre Williams,RB,8,145.1,0,0,0,0,0,0,217,721,7,0,18,130,0,0,0,0
Zach Ertz,TE,7,144.2,0,0,0,0,0,0,0,0,0,0,58,702,3,0,1,0
Kenny Britt,WR,4,142.2,0,0,0,0,0,0,2,14,0,0,48,748,3,0,0,0
Steven Jackson,RB,9,141.5,0,0,0,0,0,0,190,707,6,0,20,148,0,0,0,0
Andre Holmes,WR,5,140.3,0,0,0,0,0,0,0,0,0,0,47,693,4,0,0,0
Mark Sanchez,QB,7,139.4,309,198,2418,14,11,0,34,87,1,0,0,0,0,0,3,0
Brandin Cooks,WR,6,139.3,0,0,0,0,0,0,7,73,1,0,53,550,3,0,0,0
Rashad Jennings,RB,8,138.5,0,0,0,0,0,0,167,639,4,0,30,226,0,0,1,0
Jermaine Gresham,TE,4,138.0,0,0,0,0,0,0,0,0,0,0,62,460,5,0,0,0
Charles Clay,TE,5,136.5,0,0,0,0,0,0,0,0,0,0,58,605,3,0,0,0
Dwayne Bowe,WR,6,135.4,0,0,0,0,0,0,0,0,0,0,60,754,0,0,0,0
Tre Mason,RB,4,135.3,0,0,0,0,0,0,179,765,4,0,16,148,1,0,1,0
Mychal Rivera,TE,5,133.4,0,0,0,0,0,0,0,0,0,0,58,534,4,0,1,0
Jared Cook,TE,4,133.4,0,0,0,0,0,0,1,0,0,0,52,634,3,0,0,0
Markus Wheaton,WR,12,131.3,0,0,0,0,0,0,4,19,0,0,53,644,2,0,0,0
Martavis Bryant,WR,12,130.1,0,0,0,0,0,0,3,12,0,0,26,549,8,0,0,0
Percy Harvin,WR,11,129.5,0,0,0,0,0,0,33,202,1,0,51,483,1,0,1,0
Riley Cooper,WR,7,128.7,0,0,0,0,0,0,0,0,0,0,55,577,3,0,1,0
Roy Helu,RB,10,127.3,0,0,0,0,0,0,40,216,1,0,42,477,2,0,1,0
Josh McCown,QB,7,126.9,327,184,2206,11,14,0,25,127,3,0,0,0,0,0,4,0
Benny Cunningham,RB,4,124.8,0,0,0,0,0,0,66,246,3,0,45,352,1,0,2,0
Owen Daniels,TE,11,124.7,0,0,0,0,0,0,0,0,0,0,48,527,4,0,0,0
Pierre Thomas,RB,6,123.0,0,0,0,0,0,0,45,222,2,0,45,378,1,0,0,0
Isaiah Crowell,RB,4,122.4,0,0,0,0,0,0,148,607,8,0,9,87,0,0,2,0
Darren McFadden,RB,5,120.6,1,0,0,0,0,0,155,534,2,0,36,212,0,0,1,0
Harry Douglas,WR,9,120.6,0,0,0,0,0,0,0,0,0,0,51,556,2,1,0,0
Jarius Wright,WR,10,119.9,0,0,0,0,0,0,5,71,0,0,42,588,2,0,0,0
Nick Foles,QB,7,119.3,311,186,2163,13,10,0,16,68,0,0,0,0,0,0,3,0
Cecil Shorts,WR,11,118.0,2,2,32,1,0,0,0,0,0,0,53,557,1,0,1,0
Trent Richardson,RB,10,117.8,0,0,0,0,0,0,159,519,3,0,27,229,0,0,1,0
Allen Robinson,WR,11,116.8,0,0,0,0,0,0,0,0,0,0,48,548,2,1,0,0
Nate Washington,WR,9,116.7,0,0,0,0,0,0,0,0,0,0,40,647,2,0,0,0
Dwayne Allen,TE,10,116.5,0,0,0,0,0,0,0,0,0,0,29,395,8,0,0,0
Miles Austin,WR,4,115.8,0,0,0,0,0,0,0,0,0,0,47,568,2,0,0,0
Chris Johnson,RB,11,115.4,0,0,0,0,0,0,155,663,1,0,24,151,1,0,1,0
Knile Davis,RB,6,115.0,0,0,0,0,0,0,134,463,6,0,16,147,1,0,2,0
Scott Chandler,TE,9,114.7,0,0,0,0,0,0,0,0,0,0,47,497,3,0,0,0
Jerricho Cotchery,WR,12,114.0,0,0,0,0,0,0,0,0,0,0,48,580,1,1,0,0
Denard Robinson,RB,11,113.6,1,0,0,0,0,0,135,582,4,0,23,124,0,0,2,0
Terrance West,RB,4,112.7,0,0,0,0,0,0,171,673,4,0,11,64,1,0,1,0
Bobby Rainey,RB,7,111.1,1,0,0,0,0,0,94,406,1,0,33,315,1,0,3,0
Devin Hester,WR,9,108.0,0,0,0,0,0,0,6,36,1,0,38,504,2,0,1,0
Austin Davis,QB,4,107.6,284,180,2001,12,9,0,16,36,0,0,0,0,0,0,3,0
Wes Welker,WR,4,107.4,0,0,0,0,0,0,0,0,0,0,49,464,2,0,0,0
Reggie Bush,RB,9,107.0,0,0,0,0,0,0,76,297,2,0,40,253,0,0,0,0
Taylor Gabriel,WR,4,105.1,0,0,0,0,0,0,4,10,0,0,36,621,1,0,0,0
Chris Hogan,WR,9,103.6,0,0,0,0,0,0,0,0,0,0,41,426,4,0,2,0
Carson Palmer,QB,4,103.5,224,141,1626,11,3,0,8,25,0,0,0,0,0,0,1,0
Hakeem Nicks,WR,10,102.5,0,0,0,0,0,0,0,0,0,0,38,405,4,0,0,0
Ronnie Hillman,RB,4,102.3,0,0,0,0,0,0,106,434,3,0,21,139,1,0,0,0
Davante Adams,WR,9,100.6,0,0,0,0,0,0,0,0,0,0,38,446,3,0,0,0
Jermaine Kearse,WR,4,99.9,1,1,17,0,0,0,2,15,0,0,38,537,1,0,0,0
Cole Beasley,WR,11,99.0,0,0,0,0,0,0,0,0,0,0,37,420,4,0,2,0
Brian Hartline,WR,5,98.4,0,0,0,0,0,0,0,0,0,0,39,474,2,0,0,0
LeGarrette Blount,RB,10,98.1,0,0,0,0,0,0,125,547,5,0,10,54,0,0,1,0
Alfred Blue,RB,10,97.1,0,0,0,0,0,0,169,528,2,0,15,113,1,0,0,0
Stevie Johnson,WR,8,96.5,0,0,0,0,0,0,0,0,0,0,35,435,3,0,0,0
Bishop Sankey,RB,9,96.2,0,0,0,0,0,0,152,569,2,0,18,133,0,0,2,0
Donte Moncrief,WR,10,96.1,0,0,0,0,0,0,4,17,0,0,32,444,3,0,0,0
Justin Hunter,WR,9,95.8,0,0,0,0,0,0,0,0,0,0,28,498,3,0,0,0
Drew Stanton,QB,4,94.7,240,132,1711,7,5,1,25,63,0,0,0,0,0,0,0,0
Theo Riddick,RB,9,94.7,0,0,0,0,0,0,20,51,0,0,34,316,4,0,0,0
Jordan Reed,TE,10,94.5,0,0,0,0,0,0,0,0,0,0,50,465,0,0,1,0
Jerick McKinnon,RB,10,94.3,0,0,0,0,0,0,113,538,0,0,27,135,0,0,0,0
Niles Paul,TE,10,93.7,0,0,0,0,0,0,0,0,0,0,39,507,1,0,1,0
Jeremy Kerley,WR,11,93.5,1,0,0,0,0,0,4,86,0,0,38,409,1,0,0,0
Cordarrelle Patterson,RB,10,93.1,0,0,0,0,0,0,10,117,1,0,33,384,1,0,1,0
Charles Johnson,WR,4,91.4,0,0,0,0,0,0,1,-11,0,0,31,475,2,1,0,0
Andre Roberts,WR,10,91.4,0,0,0,0,0,0,2,21,0,0,36,453,2,0,2,0
Shaun Hill,QB,4,90.3,229,145,1657,8,7,0,10,10,1,0,1,0,0,0,1,0
Tavon Austin,WR,4,89.6,0,0,0,0,0,0,36,224,2,0,31,242,0,0,0,0
Mike Glennon,QB,7,89.6,203,117,1417,10,6,0,10,49,0,0,0,0,0,0,0,0
Kirk Cousins,QB,10,88.4,204,126,1710,10,9,0,7,20,0,0,0,0,0,0,2,0
Preston Parker,WR,8,87.8,0,0,0,0,0,0,0,0,0,0,36,418,2,0,1,0
Timothy Wright,TE,10,87.7,0,0,0,0,0,0,1,-2,0,0,26,259,6,0,0,0
Robert Griffin III,QB,10,87.4,214,147,1694,4,6,0,38,176,1,0,0,0,0,0,4,0
Devonta Freeman,RB,9,87.3,0,0,0,0,0,0,65,248,1,0,30,225,1,0,1,0
Charlie Whitehurst,QB,9,87.0,185,105,1326,7,2,0,20,90,0,0,0,10,0,0,0,0
Marqise Lee,WR,11,86.1,0,0,0,0,0,0,3,9,0,0,37,422,1,0,0,0
Latavius Murray,RB,5,85.7,0,0,0,0,0,0,82,424,2,0,17,143,0,0,0,0
Jace Amaro,TE,11,84.5,0,0,0,0,0,0,0,0,0,0,38,345,2,0,0,0
Lance Kendricks,TE,4,82.9,0,0,0,0,0,0,0,0,0,0,27,259,5,0,0,0
Toby Gerhart,RB,11,81.2,0,0,0,0,0,0,101,326,2,0,20,186,0,0,1,0
Louis Murphy,WR,7,81.0,0,0,0,0,0,0,0,0,0,0,31,380,2,0,0,0
Stedman Bailey,WR,4,80.8,0,0,0,0,0,0,1,13,0,0,30,435,1,0,0,0
Doug Martin,RB,7,80.8,0,0,0,0,0,0,134,494,2,0,13,64,0,0,0,0
Brian Quick,WR,4,80.5,0,0,0,0,0,0,0,0,0,0,25,375,3,0,0,0
Jacquizz Rodgers,RB,9,80.0,0,0,0,0,0,0,58,217,1,0,29,173,1,0,0,0
Andrew Quarless,TE,9,79.3,0,0,0,0,0,0,0,0,0,0,29,323,3,0,0,0
Jordan Cameron,TE,4,78.4,0,0,0,0,0,0,0,0,0,0,24,424,2,0,0,0
Antone Smith,RB,9,77.6,0,0,0,0,0,0,23,144,2,0,13,222,3,0,1,0
James Starks,RB,9,77.3,0,0,0,0,0,0,85,333,2,0,18,140,0,0,0,0
Luke Willson,TE,4,76.2,0,0,0,0,0,0,0,0,0,0,22,362,3,0,0,0
Ben Tate,RB,12,76.1,0,0,0,0,0,0,119,371,4,0,9,60,0,0,0,0
John Carlson,TE,4,76.0,0,0,0,0,0,0,0,0,0,0,33,350,1,1,0,0
Marcel Reece,RB,5,76.0,0,0,0,0,0,0,21,85,0,0,37,265,1,0,1,0
Robert Turbin,RB,4,75.6,0,0,0,0,0,0,74,310,0,0,16,186,2,0,1,0
Dan Herron,RB,10,75.4,0,0,0,0,0,0,78,351,1,0,21,173,0,0,2,0
Jordan Todman,RB,11,75.4,0,0,0,0,0,0,32,186,1,0,25,198,1,0,0,0
Jason Avant,WR,6,75.4,0,0,0,0,0,0,1,1,0,0,34,353,1,0,0,0
Carlos Hyde,RB,8,74.1,0,0,0,0,0,0,83,333,4,0,12,68,0,0,1,0
Jonas Gray,RB,10,72.9,0,0,0,0,0,0,89,412,5,0,1,7,0,0,0,0
Travaris Cadet,RB,6,72.8,0,0,0,0,0,0,10,32,0,0,38,296,1,0,2,0
Donald Brown,RB,10,72.4,0,0,0,0,0,0,85,223,0,0,29,211,0,0,0,0
Damaris Johnson,WR,7,72.0,0,0,0,0,0,0,5,19,0,0,31,331,1,0,0,0
Anthony Fasano,TE,6,71.6,0,0,0,0,0,0,0,0,0,0,25,226,4,0,0,0
Zach Mettenberger,QB,9,70.9,179,107,1412,8,7,0,5,4,0,0,0,0,0,0,2,0
Lorenzo Taliaferro,RB,11,70.6,0,0,0,0,0,0,68,292,4,0,8,114,0,0,1,0
Philly Brown,WR,12,70.1,0,0,0,0,0,0,8,95,0,0,21,296,2,0,1,0
Brent Celek,TE,7,70.0,0,0,0,0,0,0,0,0,0,0,32,340,1,0,1,0
Kamar Aiken,WR,11,68.7,0,0,0,0,0,0,0,0,0,0,24,267,3,0,0,0
Travis Benjamin,WR,4,68.5,0,0,0,0,0,0,3,11,0,0,18,314,3,0,0,0
Anthony Dixon,RB,9,68.1,0,0,0,0,0,0,105,432,2,0,8,49,0,0,0,0
Ryan Mathews,RB,10,66.9,0,0,0,0,0,0,74,330,3,0,9,69,0,0,0,0
Jeff Cumberland,TE,11,65.7,0,0,0,0,0,0,0,0,0,0,23,247,3,0,0,0
Stepfan Taylor,RB,4,65.7,0,0,0,0,0,0,63,208,1,1,11,79,3,0,0,0
C.J. Spiller,RB,9,65.5,0,0,0,0,0,0,78,300,0,0,19,125,1,0,1,0
Levine Toilolo,TE,9,64.8,0,0,0,0,0,0,0,0,0,0,31,238,2,0,1,0
Brandon Gibson,WR,5,64.5,0,0,0,0,0,0,0,0,0,0,29,295,1,0,0,0
Khiry Robinson,RB,6,64.5,0,0,0,0,0,0,76,362,3,0,8,63,0,0,2,0
Zac Stacy,RB,4,64.5,0,0,0,0,0,0,76,293,1,0,18,152,0,0,2,0
Dion Sims,TE,5,64.4,0,0,0,0,0,0,0,0,0,0,24,284,2,0,0,0
Jake Locker,QB,9,63.9,146,86,993,5,7,0,22,142,1,0,0,0,0,0,1,0
Colt McCoy,QB,10,62.9,128,91,1057,4,3,0,16,66,1,0,0,0,0,0,1,0
Vernon Davis,TE,8,62.9,0,0,0,0,0,0,1,4,0,0,26,245,2,0,0,0
Dexter McCluster,WR,9,62.8,0,0,0,0,0,0,40,131,0,0,26,197,1,0,1,0
Victor Cruz,WR,8,62.7,0,0,0,0,0,0,0,0,0,0,23,337,1,0,0,0
Paul Richardson,WR,4,62.1,0,0,0,0,0,0,0,0,0,0,29,271,1,0,0,0
Josh Hill,TE,6,61.6,0,0,0,0,0,0,0,0,0,0,14,176,5,0,0,0
Brice Butler,WR,5,61.0,0,0,0,0,0,0,0,0,0,0,21,280,2,0,0,0
Clay Harbor,TE,11,60.9,0,0,0,0,0,0,0,0,0,0,26,289,1,0,0,0
Charles Sims,RB,7,60.5,0,0,0,0,0,0,66,185,1,0,19,190,0,0,1,0
Kyle Rudolph,TE,10,59.1,0,0,0,0,0,0,0,0,0,0,24,231,2,0,0,0
E.J. Manuel,QB,9,58.7,131,76,838,5,3,0,16,52,1,0,0,0,0,0,0,0
Damien Williams,RB,5,57.9,0,0,0,0,0,0,36,122,0,0,21,187,1,0,0,0
Jeremy Ross,WR,9,57.3,0,0,0,0,0,0,2,-1,0,0,24,314,1,0,2,0
Jaron Brown,WR,4,56.9,0,0,0,0,0,0,0,0,0,0,22,229,2,0,0,0
Daniel Fells,TE,8,56.8,0,0,0,0,0,0,0,0,0,0,16,188,4,0,1,0
De'Anthony Thomas,WR,6,55.9,0,0,0,0,0,0,14,113,1,0,23,156,0,0,0,0
Eric Ebron,TE,9,55.8,0,0,0,0,0,0,0,0,0,0,25,248,1,0,0,0
Chase Ford,TE,10,54.8,0,0,0,0,0,0,0,0,0,0,23,258,1,0,0,0
Joseph Randle,RB,11,54.6,0,0,0,0,0,0,51,343,3,0,4,23,0,0,2,0
Richard Rodgers,TE,9,54.5,0,0,0,0,0,0,0,0,0,0,20,225,2,0,0,0
Josh Gordon,WR,4,54.3,1,0,0,0,0,0,0,0,0,0,24,303,0,0,0,0
Daniel Thomas,RB,5,53.9,0,0,0,0,0,0,44,168,2,1,13,121,0,0,1,0
Leon Washington,RB,9,53.6,0,0,0,0,0,0,13,57,0,0,22,159,2,0,1,0
Austin Seferian-Jenkins,TE,7,53.1,0,0,0,0,0,0,0,0,0,0,21,221,2,0,1,0
Danny Amendola,WR,10,53.0,0,0,0,0,0,0,0,0,0,0,27,200,1,0,0,0
Stevan Ridley,RB,10,52.0,0,0,0,0,0,0,94,340,2,0,4,20,0,0,0,0
Juwan Thompson,RB,4,51.7,0,0,0,0,0,0,54,272,3,0,4,25,0,0,0,0
Shonn Greene,RB,9,51.5,0,0,0,0,0,0,94,392,2,0,1,13,0,0,1,0
Darrel Young,RB,10,51.3,0,0,0,0,0,0,9,22,3,0,11,81,2,0,0,0
Marcedes Lewis,TE,11,50.6,0,0,0,0,0,0,0,0,0,0,18,206,2,0,0,0
Derek Hagan,WR,9,50.4,0,0,0,0,0,0,0,0,0,0,19,254,1,0,0,0
Derek Anderson,QB,12,50.4,97,65,701,5,0,0,8,24,0,0,0,0,0,0,0,0
Bernard Pierce,RB,11,49.9,0,0,0,0,0,0,93,366,2,0,2,13,0,0,1,0
Lance Dunbar,RB,11,49.6,0,0,0,0,0,0,29,99,0,0,18,217,0,0,0,0
Marlon Brown,WR,11,49.5,0,0,0,0,0,0,0,0,0,0,24,255,0,0,0,0
Brandon Lloyd,WR,8,49.4,0,0,0,0,0,0,0,0,0,0,14,294,1,0,0,0
Rhett Ellison,TE,10,47.8,0,0,0,0,0,0,0,0,0,0,19,208,1,1,0,0
