,Rank,Player,Team,Pos,Age,G,GS,passCmp,passAtt,passYds,passTD,passInt,rushAtt,rushYds,rushYPA,rushTD,Tgt,Rec,recYds,recYPR,recTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,ID,Year
453,440,Delvin Joyce,NYG,RB,25,16,0,0,0,0,0,0,11,39,3.55,0,5,3,7,2.33,0,1,1,0,,,3,5.6,6.6,4.1,,144,,JoycDe00,2003
454,441,Chris Luzar,JAX,TE,24,11,1,0,0,0,0,0,0,0,,0,4,3,30,10.00,0,0,,0,,,3,6.0,6.0,4.5,,81,,LuzaCh00,2003
455,442,Chad Mustard,CLE,TE,26,10,0,0,0,0,0,0,0,0,,0,6,4,29,7.25,0,0,,0,,,3,6.9,6.9,4.9,,83,,MustCh00,2003
456,443,Jeb Putzier,DEN,TE,24,4,0,0,0,0,0,0,0,0,,0,5,4,34,8.50,0,0,,0,,,3,7.4,7.4,5.4,,79,,PutzJe00,2003
457,444,Cecil Sapp,DEN,RB,25,1,0,0,0,0,0,0,12,31,2.58,0,0,0,0,,0,0,,0,,,3,3.1,3.1,3.1,,138,,SappCe00,2003
458,445,John Simon,WAS,RB,25,4,0,0,0,0,0,0,3,9,3.00,0,3,3,21,7.00,0,1,,0,,,3,6.0,6.0,4.5,,140,,SimoJo00,2003
459,446,Terrelle Smith,NOR,RB,25,15,10,0,0,0,0,0,0,0,,0,10,6,28,4.67,0,0,,0,,,3,8.8,8.8,5.8,,142,,SmitTe00,2003
460,447,Zuriel Smith,DAL,WR,23,9,0,0,0,0,0,0,0,0,,0,3,3,46,15.33,0,3,1,0,,,3,5.6,6.6,4.1,,157,,SmitZu00,2003
461,448,Charles Stackhouse,MIN,RB,23,14,2,0,0,0,0,0,1,0,0.00,0,7,6,30,5.00,0,0,,0,,,3,9.0,9.0,6.0,,141,,StacCh00,2003
462,449,Jonathan Wells,HOU,RB,24,13,0,0,0,0,0,0,5,14,2.80,0,4,2,17,8.50,0,0,,0,,,3,5.1,5.1,4.1,,139,,WellJo00,2003
464,450,Stephen Alexander,SDG,,28,3,0,0,0,0,0,0,0,0,,0,6,0,0,,0,0,,0,1,,2,2.0,2.0,2.0,,85,,AlexSt00,2003
465,451,Bill Baber,KAN,TE,24,16,0,0,0,0,0,0,0,0,,0,1,1,20,20.00,0,0,,0,,,2,3.0,3.0,2.5,,86,,BabeBi00,2003
466,452,Antonio Brown,BUF,WR,25,16,0,0,0,0,0,0,1,17,17.00,0,0,0,0,,0,1,,0,,,2,1.7,1.7,1.7,,160,,BrowAn01,2003
467,453,Todd Collins,KAN,QB,32,5,0,9,12,74,0,0,8,-7,-0.88,0,0,0,0,,0,0,,0,,,2,2.3,2.3,2.3,,63,,CollTo00,2003
468,454,Joe Davenport,IND,TE,27,16,2,0,0,0,0,0,0,0,,0,8,3,23,7.67,0,0,,0,,,2,5.3,5.3,3.8,,84,,DaveJo00,2003
469,455,Darnell Dinkins,NYG,TE,26,7,0,0,0,0,0,0,0,0,,0,5,2,16,8.00,0,0,,0,,,2,3.6,3.6,2.6,,88,,DinkDa00,2003
470,456,Kevin Dyson,CAR,WR,28,1,0,0,0,0,0,0,0,0,,0,2,2,15,7.50,0,0,,0,,,2,3.5,3.5,2.5,,162,,DysoKe00,2003
471,457,Omar Easy,KAN,RB,26,15,0,0,0,0,0,0,0,0,,0,5,3,19,6.33,0,0,,0,,,2,4.9,4.9,3.4,,147,,EasyOm00,2003
472,458,Chris Hetherington,OAK,RB,31,14,1,0,0,0,0,0,0,0,,0,4,2,23,11.50,0,0,,0,,,2,4.3,4.3,3.3,,145,,HethCh00,2003
473,459,Keenan Howry,MIN,WR,22,16,1,0,0,0,0,0,0,0,,0,6,2,15,7.50,0,0,,0,,,2,3.5,3.5,2.5,,163,,HowrKe00,2003
474,460,Brock Huard,IND,QB,27,2,0,2,3,22,0,0,3,8,2.67,0,0,0,0,,0,1,,0,,,2,1.7,1.7,1.7,,64,,HuarBr00,2003
475,461,Kevin Kasper,ARI,WR,26,7,0,0,0,0,0,0,1,-4,-4.00,0,6,1,23,23.00,0,0,,0,,,2,2.9,2.9,2.4,,158,,KaspKe00,2003
476,462,George Layne,ATL,RB,25,3,0,0,0,0,0,0,1,15,15.00,0,2,1,3,3.00,0,0,,0,,,2,2.8,2.8,2.3,,148,,LaynGe00,2003
477,463,Jamar Martin,DAL,RB,23,14,1,0,0,0,0,0,4,7,1.75,0,4,2,9,4.50,0,0,,0,,,2,3.6,3.6,2.6,,149,,MartJa01,2003
478,464,Tee Martin,OAK,QB,25,2,0,6,16,69,0,1,5,28,5.60,0,0,0,0,,0,3,1,0,,,2,1.6,3.6,2.6,,65,,MartTe00,2003
479,465,Lee Mays,PIT,WR,25,16,0,0,0,0,0,0,0,0,,0,3,2,17,8.50,0,0,,0,,,2,3.7,3.7,2.7,,161,,MaysLe00,2003
480,466,Fred McCrary,NWE,RB,31,6,3,0,0,0,0,0,3,3,1.00,0,5,2,12,6.00,0,0,,0,,,2,3.5,3.5,2.5,,150,,McCrFr00,2003
481,467,Sultan McCullough,WAS,RB,23,1,0,0,0,0,0,0,1,9,9.00,0,3,3,13,4.33,0,0,,0,,,2,5.2,5.2,3.7,,146,,McCuSu00,2003
482,468,Kevin Walter,CIN,WR,22,11,0,0,0,0,0,0,0,0,,0,4,3,18,6.00,0,0,,0,,,2,4.8,4.8,3.3,,159,,WaltKe00,2003
483,469,Kevin Ware,WAS,TE,23,11,2,0,0,0,0,0,0,0,,0,7,3,17,5.67,0,0,,0,,,2,4.7,4.7,3.2,,87,,WareKe00,2003
484,470,Nick Luchey,GNB,RB,26,11,2,0,0,0,0,0,1,3,3.00,0,2,1,12,12.00,0,0,,0,,,2,2.5,2.5,2.0,,151,,WillNi00,2003
485,471,B.J. Askew,NYJ,RB,23,16,0,0,0,0,0,0,2,9,4.50,0,0,0,0,,0,0,,0,,,1,0.9,0.9,0.9,,152,,AskeB.00,2003
486,472,Darian Barnes,TAM,RB,23,14,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,0,,0,,,1,1.6,1.6,1.1,,153,,BarnDa00,2003
487,473,Charlie Batch,PIT,QB,29,4,0,4,8,47,0,0,1,11,11.00,0,0,0,0,,0,1,1,0,,,1,1.0,2.0,1.0,,69,,BatcCh00,2003
488,474,Arnaz Battle,SFO,WR,23,8,0,0,0,0,0,0,2,14,7.00,0,1,0,0,,0,0,,0,,,1,1.4,1.4,1.4,,164,,BattAr00,2003
489,475,Kevin Curtis,STL,WR,25,4,1,0,0,0,0,0,0,0,,0,5,4,13,3.25,0,0,,0,,,1,5.3,5.3,3.3,,165,,CurtKe00,2003
490,476,Rohan Davey,NWE,QB,25,1,0,3,7,31,0,0,0,0,,0,0,0,0,,0,0,,0,,,1,1.2,1.2,1.2,,67,,DaveRo01,2003
491,477,Koy Detmer,PHI,QB,30,16,0,3,5,32,0,0,0,0,,0,0,0,0,,0,0,,0,,,1,1.3,1.3,1.3,,66,,DetmKo00,2003
492,478,Trent Dilfer,SEA,QB,31,5,0,4,8,31,1,1,2,-1,-0.50,0,0,0,0,,0,2,1,0,,,1,1.1,3.1,2.1,,68,,DilfTr00,2003
493,479,Terrence Edwards,ATL,WR,24,6,0,0,0,0,0,0,0,0,,0,5,1,10,10.00,0,0,,0,,,1,2.0,2.0,1.5,,167,,EdwaTe00,2003
495,480,Larry Foster,ARI,WR,27,1,1,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,,0,,,1,1.7,1.7,1.2,,169,,FostLa00,2003
496,481,Jarious Jackson,DEN,QB,26,1,1,4,9,41,0,1,1,9,9.00,0,0,0,0,,0,0,,0,,,1,0.5,1.5,1.5,,72,,JackJa01,2003
497,482,Ron Johnson,BAL,WR,23,6,0,0,0,0,0,0,0,0,,0,3,1,12,12.00,0,0,,0,,,1,2.2,2.2,1.7,,166,,JohnRo03,2003
498,483,Derrick Lewis,NOR,WR,28,3,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,,0,,,1,1.7,1.7,1.2,,170,,LewiDe00,2003
499,484,Reno Mahe,PHI,RB,23,2,0,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,0,,0,,,1,1.5,1.5,1.0,,154,,MaheRe00,2003
500,485,Mike McMahon,DET,QB,24,3,0,9,31,87,0,2,5,32,6.40,0,0,0,0,,0,1,1,0,,,1,0.7,3.7,2.7,,71,,McMaMi00,2003
501,486,Rodney Peete,CAR,QB,37,1,1,4,10,19,0,0,0,0,,0,0,0,0,,0,0,,0,,,1,0.8,0.8,0.8,,70,,PeetRo00,2003
502,487,Cliff Russell,WAS,WR,24,3,0,0,0,0,0,0,0,0,,0,2,2,10,5.00,0,0,,0,,,1,3.0,3.0,2.0,,168,,RussCl00,2003
503,488,Aaron Shea,CLE,TE,27,4,2,0,0,0,0,0,0,0,,0,5,2,9,4.50,0,0,,0,,,1,2.9,2.9,1.9,,89,,SheaAa00,2003
504,489,Charlie Adams,DEN,,24,4,0,0,0,0,0,0,0,0,,0,4,0,0,,0,,,0,,,,,,,,172,,AdamCh00,2003
505,490,Dan Alexander,STL,,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,157,,AlexDa21,2003
506,491,Brian Allen,IND,,23,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,158,,AlleBr20,2003
507,492,Richard Angulo,STL,,23,5,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,0,,,,,,,,90,,AnguRi00,2003
508,493,Karsten Bailey,GNB,,26,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,,,0,,,,,,,,173,,BailKa00,2003
509,494,Eugene Baker,CAR,,27,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,174,,BakeEu00,2003
510,495,Mike Banks,ARI,,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,91,,BankMi20,2003
511,496,Bradford Banta,DET,,33,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,92,,BantBr00,2003
512,497,Mike Bartrum,PHI,,33,16,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,0,,,,,,,,93,,BartMi00,2003
513,498,Michael Bates,2TM,,34,9,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,159,,BateMi00,2003
514,499,Marco Battaglia,CAR,,30,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,94,,BattMa00,2003
515,500,Fred Baxter,NWE,,32,12,0,0,0,0,0,0,0,0,,0,2,0,0,,0,,,0,,,,,,,,95,,BaxtFr00,2003
516,501,Sean Berton,MIN,,24,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,96,,BertSe00,2003
517,502,Sean Brewer,ATL,,26,9,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,97,,BrewSe20,2003
518,503,Dee Brown,PIT,,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,160,,BrowDe02,2003
519,504,Arland Bruce,SFO,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,,0,,,,,,,,175,,BrucAr20,2003
520,505,Kerry Carter,SEA,RB,23,16,0,0,0,0,0,0,3,-2,-0.67,0,0,0,0,,0,0,,0,,,,-0.2,-0.2,-0.2,,171,,CartKe01,2003
521,506,Antonio Chatman,GNB,,24,16,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,176,,ChatAn00,2003
522,507,Kenny Clark,MIN,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,177,,ClarKe22,2003
523,508,Greg Comella,HOU,,28,5,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,0,,,,,,,,1,,ComeGr00,2003
524,509,Phillip Crosby,BUF,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,2,,CrosPh00,2003
526,510,Dan Curley,STL,,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,3,,CurlDa20,2003
527,511,Matt Cushing,PIT,,28,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,98,,CushMa00,2003
528,512,Chris Davis,SEA,,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,4,,DaviCh24,2003
529,513,Nick Davis,MIN,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,178,,DaviNi00,2003
530,514,James Dearth,NYJ,,27,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,99,,DearJa00,2003
531,515,Ty Detmer,DET,,36,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,76,,DetmTy00,2003
532,516,Kori Dickerson,PHI,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,100,,DickKo20,2003
533,517,LaTarence Dunbar,ATL,,23,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,179,,DunbLa20,2003
534,518,Chris Edmonds,CIN,,25,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,5,,EdmoCh20,2003
535,519,John Gilmore,CHI,,24,15,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,101,,GilmJo00,2003
536,520,Joey Goodspeed,STL,,25,8,4,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,6,,GoodJo00,2003
537,521,Gibran Hamdan,WAS,QB,22,1,0,1,2,7,0,0,0,0,,0,0,0,0,,0,0,,0,,,,0.3,0.3,0.3,,73,,HamdGi00,2003
538,522,Lawrence Hamilton,CIN,,23,5,1,0,0,0,0,0,0,0,,0,3,0,0,,0,,,0,,,,,,,,180,,HamiLa20,2003
539,523,Ryan Hannam,SEA,,23,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,102,,HannRy00,2003
540,524,Dwone Hicks,TEN,,22,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,161,,HickDw20,2003
541,525,Darrell Hill,TEN,,24,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,181,,HillDa20,2003
542,526,Zachary Hilton,NOR,,23,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,0,,,,,,,,103,,HiltZa00,2003
543,527,Nathan Hodel,ARI,,26,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,104,,HodeNa20,2003
544,528,T.J. Houshmandzadeh,CIN,,26,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,182,,HousTJ00,2003
545,529,Damon Huard,NWE,QB,30,2,0,0,1,0,0,0,1,-1,-1.00,0,0,0,0,,0,0,,0,,,,-0.1,-0.1,-0.1,,77,,HuarDa00,2003
546,530,Chad Hutchinson,DAL,QB,26,1,0,1,2,8,0,0,2,-3,-1.50,0,0,0,0,,0,0,,0,,,,,,,,75,,HutcCh00,2003
547,531,Jasen Isom,SFO,,26,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,7,,IsomJa00,2003
548,532,Chris Jackson,GNB,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,183,,JackCh23,2003
549,533,Nate Jackson,DEN,,24,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,,,0,,,,,,,,184,,JackNa00,2003
550,534,Ray Jackson,TEN,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,162,,JackRa21,2003
551,535,Terry Jackson,SFO,,27,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,8,,JackTe00,2003
552,536,Ronney Jenkins,OAK,,26,7,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,163,,JenkRo00,2003
553,537,Brian Jennings,SFO,,27,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,105,,JennBr00,2003
554,538,Travis Jervey,ATL,,31,15,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,,0,,,,,,,,164,,JervTr00,2003
555,539,Albert Johnson,NYJ,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,185,,JohnAl23,2003
557,540,Robert Johnson,CHI,,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,106,,JohnRo04,2003
558,541,John Jones,BAL,,28,11,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,107,,JoneJo00,2003
559,542,James Jordan,SFO,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,186,,JordJa20,2003
560,543,Rashod Kent,HOU,,23,7,4,0,0,0,0,0,0,0,,0,1,0,0,,0,,,0,,,,,,,,108,,KentRa20,2003
561,544,Brian Kinchen,NWE,,38,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,109,,KincBr00,2003
562,545,Mike Leach,DEN,,27,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,110,,LeacMi00,2003
563,546,Brody Liddiard,MIN,,26,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,111,,LiddBr20,2003
564,547,Nick Maddox,CLE,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,,0,,,,,,,,165,,MaddNi20,2003
565,548,Adrian Madise,DEN,WR,23,11,0,0,0,0,0,0,1,10,10.00,0,3,2,10,5.00,0,1,1,0,,,,2.0,3.0,1.0,,187,,MadiAd00,2003
566,549,Cecil Martin,TAM,,28,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,11,,MartCe00,2003
567,550,Grant Mattos,SDG,,22,6,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,0,,,,,,,,188,,MattGr20,2003
568,551,Sean McDermott,2TM,,27,6,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,112,,McDeSe20,2003
569,552,Tony McGee,2TM,,32,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,0,,,,,,,,113,,McGeTo00,2003
570,553,Jason McKie,CHI,,23,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,12,,McKiJa00,2003
571,554,Kevin McLeod,CLE,,29,1,1,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,13,,McLeKe00,2003
572,555,Billy McMullen,PHI,WR,23,5,0,0,0,0,0,0,0,0,,0,3,1,2,2.00,0,0,,0,,,,1.2,1.2,0.7,,171,,McMuBi00,2003
573,556,Sean Morey,PHI,,27,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,,0,,,,,,,,189,,MoreSe00,2003
574,557,Harold Morrow,BAL,,30,14,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,14,,MorrHa00,2003
575,558,J.J. Moses,HOU,,24,15,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,190,,MoseJ.00,2003
576,559,Ovie Mughelli,BAL,,23,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,15,,MughOv00,2003
577,560,Matt Murphy,HOU,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,114,,MurpMa00,2003
578,561,Craig Nall,GNB,QB,24,1,0,0,0,0,0,0,2,-2,-1.00,0,0,0,0,,0,0,,0,,,,-0.2,-0.2,-0.2,,78,,NallCr00,2003
579,562,Larry Ned,MIN,,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,166,,NedxLa00,2003
580,563,John Owens,DET,,23,7,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,115,,OwenJo00,2003
581,564,Doug Pederson,GNB,QB,35,16,0,2,2,16,0,0,6,-5,-0.83,0,0,0,0,,0,0,,0,,,,0.1,0.1,0.1,,74,,PedeDo00,2003
582,565,Derek Rackley,ATL,,26,16,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,116,,RackDe00,2003
583,566,Gabe Reid,CHI,,26,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,117,,ReidGa00,2003
584,567,Joffrey Reynolds,STL,,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,167,,ReynJo20,2003
585,568,Charlie Rogers,MIA,,27,11,0,0,0,0,0,0,0,0,,0,1,0,0,,0,2,,0,,,,,,,,168,,RogeCh00,2003
586,569,Micah Ross,2TM,,27,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,191,,RossMi20,2003
588,570,Jake Schifino,TEN,,24,13,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,192,,SchiJa20,2003
589,571,Sam Simmons,MIA,,24,11,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,,0,,,,,,,,193,,SimmSa20,2003
590,572,Ken Simonton,BUF,RB,24,2,0,0,0,0,0,0,2,4,2.00,0,0,0,0,,0,0,,0,,,,0.4,0.4,0.4,,155,,SimoKe00,2003
591,573,David Sloan,NOR,,31,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,118,,SloaDa00,2003
592,574,Detron Smith,IND,,29,11,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,169,,SmitDe00,2003
593,575,Justin Snow,IND,,27,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,119,,SnowJu00,2003
594,576,Brad St. Louis,CIN,,27,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,120,,StLoBr00,2003
595,577,John Stone,OAK,,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,194,,StonJo00,2003
596,578,Stephen Trejo,DET,RB,26,16,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,,0,,,,1.2,1.2,0.7,,156,,TrejSt00,2003
597,579,Taco Wallace,SEA,,22,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,195,,WallTa00,2003
598,580,Kenny Watson,CIN,,25,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,,0,,,,,,,,170,,WatsKe00,2003
599,581,James Whalen,DAL,,26,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,121,,WhalJa00,2003
600,582,Daniel Wilcox,TAM,,26,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,122,,WilcDa01,2003
601,583,Terrence Wilkins,IND,,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,,0,,,,,,,,196,,WilkTe00,2003
602,584,James Williams,DET,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,0,,,,,,,,197,,WillJa01,2003
603,585,Roland Williams,TAM,,28,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,123,,WillRo01,2003
604,586,Walter Young,CAR,,24,7,0,0,0,0,0,0,0,0,,0,5,0,0,,0,,,0,,,,,,,,198,,YounWa00,2003
605,587,Joe Zelenka,JAX,,27,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,124,,ZeleJo00,2003
606,588,Fred McAfee,NOR,RB,35,14,0,0,0,0,0,0,1,13,13.00,0,0,0,0,,0,1,1,0,,,-1,-0.7,0.3,-0.7,,172,,McAfFr00,2003
607,589,Spencer Nead,STL,RB,26,10,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,1,1,0,,,-1,-0.4,0.6,-0.9,,173,,NeadSp00,2003
608,590,Brad Pyatt,IND,WR,23,8,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,2,1,0,,,-2,-0.8,0.2,-1.3,,199,,PyatBr00,2003
609,591,LaShaun Ward,KAN,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,1,0,,,-2,-2.0,-1.0,-2.0,,200,,WardLa20,2003
610,592,Chris Redman,BAL,QB,26,2,0,7,13,58,0,2,2,4,2.00,0,0,0,0,,0,3,2,0,,,-5,-5.3,-1.3,-3.3,,80,,RedmCh00,2003
611,593,Alex Van Pelt,BUF,QB,33,6,0,5,12,49,0,3,4,-6,-1.50,0,0,0,0,,0,0,,0,,,-5,-4.6,-1.6,-1.6,,79,,VanPAl00,2003
