,Rank,Player,Team,Pos,Age,G,GS,passCmp,passAtt,passYds,passTD,passInt,rushAtt,rushYds,rushYPA,rushTD,Tgt,Rec,recYds,recYPR,recTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,ID
26,27,T.J. Houshmandzadeh,CIN,WR,29,14,13,0,0,0,0,0,3,6,2.00,0,132,90,1081,12.01,9,0,,9,,,163,252.7,255.7,207.7,46,11,27,HousTJ00
27,28,Tony Gonzalez*,KAN,TE,30,15,15,0,0,0,0,0,0,0,,0,104,73,900,12.33,5,1,,5,1,,122,195.0,198.0,158.5,44,3,28,GonzTo00
28,29,Plaxico Burress,NYG,WR,29,15,15,0,0,0,0,0,0,0,,0,116,63,988,15.68,10,2,1,10,,,157,219.8,223.8,188.3,40,12,29,BurrPl00
30,30,Darrell Jackson,SEA,WR,28,13,13,0,0,0,0,0,0,0,,0,112,63,956,15.17,10,1,,10,,,156,218.6,221.6,187.1,39,13,30,JackDa00
31,31,Marques Colston,NOR,WR,23,14,12,0,0,0,0,0,0,0,,0,115,70,1038,14.83,8,0,,8,,,152,221.8,224.8,186.8,35,14,31,ColsMa00
32,32,Tom Brady,NWE,QB,29,16,16,319,516,3529,24,12,49,102,2.08,0,0,0,0,,0,12,4,0,,2,219,219.4,241.4,231.4,35,6,32,BradTo00
33,33,Todd Heap,BAL,TE,26,16,16,0,0,0,0,0,0,0,,0,116,73,765,10.48,6,0,,6,,,113,185.5,188.5,149.0,34,4,33,HeapTo00
34,34,Jon Kitna,DET,QB,34,16,16,372,596,4208,21,22,34,156,4.59,2,0,0,0,,0,11,9,2,,,218,217.9,254.9,239.9,34,7,34,KitnJo00
35,35,Chris Cooley,WAS,TE,24,16,16,0,0,0,0,0,0,0,,0,95,57,734,12.88,6,0,,6,1,,111,168.4,171.4,139.9,33,5,35,CoolCh00
36,36,Joey Galloway,TAM,WR,35,16,14,0,0,0,0,0,2,9,4.50,0,143,62,1057,17.05,7,0,,7,,,149,210.6,213.6,179.6,32,15,36,GallJo00
37,37,Deuce McAllister,NOR,RB,28,15,13,0,0,0,0,0,244,1057,4.33,10,36,30,198,6.60,0,3,1,11,,,190,219.5,226.5,204.5,31,10,37,McAlDe00
38,38,Laveranues Coles,NYJ,WR,29,16,16,0,0,0,0,0,2,14,7.00,0,152,91,1098,12.07,6,1,,6,,,147,238.2,241.2,192.7,31,16,38,ColeLa00
39,39,Anquan Boldin*,ARI,WR,26,16,16,0,0,0,0,0,5,28,5.60,0,152,83,1203,14.49,4,1,,4,,,147,230.1,233.1,188.6,31,17,39,BoldAn00
40,40,Andre Johnson*,HOU,WR,25,16,16,0,0,0,0,0,3,14,4.67,0,163,103,1147,11.14,5,1,,5,,,146,249.1,252.1,197.6,30,18,40,JohnAn02
41,41,Joseph Addai,IND,RB,23,16,0,0,0,0,0,0,226,1081,4.78,7,50,40,325,8.13,1,2,1,8,,,187,226.6,233.6,206.6,28,11,41,AddaJo00
42,42,Kellen Winslow,CLE,TE,23,16,16,0,0,0,0,0,0,0,,0,120,89,875,9.83,3,1,,3,,,106,194.5,197.5,150.0,27,6,42,WinsKe01
43,43,Mike Furrey,DET,WR,29,16,14,0,0,0,0,0,0,0,,0,146,98,1086,11.08,6,1,1,6,,,143,240.6,244.6,191.6,26,19,43,FurrMi00
44,44,Jeremy Shockey*,NYG,TE,26,15,15,0,0,0,0,0,0,0,,0,115,66,623,9.44,7,0,,7,,,104,170.3,173.3,137.3,26,7,44,ShocJe00
45,45,Terry Glenn,DAL,WR,32,15,14,0,0,0,0,0,3,11,3.67,0,111,70,1047,14.96,6,0,,6,,,142,211.8,214.8,176.8,25,20,45,GlenTe00
46,46,Ladell Betts,WAS,RB,27,16,9,0,0,0,0,0,245,1154,4.71,4,64,53,445,8.40,1,6,3,5,,,184,236.9,245.9,210.4,25,12,46,BettLa00
47,47,Philip Rivers*,SDG,QB,25,16,16,284,460,3388,22,9,48,49,1.02,0,0,0,0,,0,8,2,0,,1,208,208.4,222.4,217.4,24,8,47,RivePh00
48,48,Marion Barber III,DAL,RB,23,16,1,0,0,0,0,0,135,654,4.84,14,32,23,196,8.52,2,0,,16,,,181,204.0,210.0,192.5,22,13,48,BarbMa01
49,49,Chester Taylor,MIN,RB,27,15,15,0,0,0,0,0,303,1216,4.01,6,51,42,288,6.86,0,5,3,6,,,180,222.4,231.4,201.4,22,14,49,TaylCh01
50,50,Reggie Brown,PHI,WR,25,16,15,0,0,0,0,0,3,24,8.00,1,88,46,816,17.74,8,0,,9,,,138,184.0,187.0,161.0,21,21,50,BrowRe01
51,51,Desmond Clark,CHI,TE,29,16,16,0,0,0,0,0,0,0,,0,80,45,626,13.91,6,0,,6,,,99,143.6,146.6,121.1,20,8,51,ClarDe00
52,52,Hines Ward,PIT,WR,30,14,14,0,0,0,0,0,2,30,15.00,0,126,74,975,13.18,6,2,,6,,,137,210.5,213.5,173.5,20,22,52,WardHi00
53,53,Reggie Bush,NOR,RB,21,16,8,0,1,0,0,1,155,565,3.65,6,121,88,742,8.43,2,2,2,9,,,179,266.7,275.7,223.7,20,15,53,BushRe00
54,54,Vince Young*,TEN,QB,23,15,13,184,357,2199,12,13,83,552,6.65,7,0,0,0,,0,12,3,7,1,,203,203.2,225.2,216.2,19,9,54,YounVi00
55,55,Jerricho Cotchery,NYJ,WR,24,16,16,0,0,0,0,0,5,25,5.00,0,125,82,961,11.72,6,0,,6,,,135,216.6,219.6,175.6,18,23,55,CotcJe00
56,56,Donovan McNabb,PHI,QB,30,10,10,180,316,2647,18,6,32,212,6.63,3,0,0,0,,0,3,2,3,,,201,201.1,215.1,207.1,17,10,56,McNaDo00
57,57,Ahman Green,GNB,RB,29,14,14,0,0,0,0,0,266,1059,3.98,5,63,46,373,8.11,1,4,2,6,,,175,221.2,229.2,198.2,16,16,57,GreeAh00
58,58,Jamal Lewis,BAL,RB,27,16,16,0,0,0,0,0,314,1132,3.61,9,26,18,115,6.39,0,4,2,9,,,175,192.7,200.7,183.7,16,17,58,LewiJa00
59,59,L.J. Smith,PHI,TE,26,16,15,0,0,0,0,0,0,0,,0,75,50,611,12.22,5,0,,5,1,,93,143.1,146.1,118.1,15,9,59,SmitL.00
61,60,Larry Fitzgerald,ARI,WR,23,13,13,0,0,0,0,0,0,0,,0,111,69,946,13.71,6,0,,6,,,131,199.6,202.6,165.1,14,24,60,FitzLa00
62,61,Fred Taylor,JAX,RB,30,15,15,0,0,0,0,0,231,1146,4.96,5,28,23,242,10.52,1,3,1,6,,,173,195.8,202.8,184.3,14,18,61,TaylFr00
63,62,Isaac Bruce,STL,WR,34,16,13,0,1,0,0,0,0,0,,0,126,74,1098,14.84,3,0,,3,1,,130,203.8,206.8,166.8,13,25,62,BrucIs00
64,63,Travis Henry,TEN,RB,28,14,13,0,0,0,0,0,270,1211,4.49,7,25,18,78,4.33,0,3,1,7,1,,171,188.9,192.9,179.9,12,19,63,HenrTr00
65,64,Thomas Jones,CHI,RB,28,16,16,1,1,-4,0,0,296,1210,4.09,6,47,36,154,4.28,0,1,1,6,,,170,206.2,213.2,188.2,11,20,64,JoneTh00
66,65,Corey Dillon,NWE,RB,32,16,13,0,0,0,0,0,199,812,4.08,13,16,15,147,9.80,0,2,2,13,,,170,184.9,192.9,177.4,11,21,65,DillCo00
67,66,Edgerrin James,ARI,RB,28,16,16,0,0,0,0,0,337,1159,3.44,6,61,38,217,5.71,0,3,3,6,,,168,205.6,214.6,186.6,9,22,66,JameEd00
68,67,Santana Moss,WAS,WR,27,14,14,0,0,0,0,0,7,82,11.71,0,101,55,790,14.36,6,2,,6,1,,125,180.2,183.2,152.7,9,26,67,MossSa00
69,68,Braylon Edwards,CLE,WR,23,16,15,0,0,0,0,0,3,7,2.33,0,125,61,884,14.49,6,0,,6,,,125,186.1,189.1,155.6,9,27,68,EdwaBr00
70,69,Mark Clayton,BAL,WR,24,16,12,0,1,0,0,0,7,-30,-4.29,0,113,67,939,14.01,5,0,,5,,,121,187.9,190.9,154.4,4,28,69,ClayMa01
71,70,Randy McMichael,MIA,TE,27,16,16,0,0,0,0,0,0,0,,0,96,62,640,10.32,3,0,,3,,,82,144.0,147.0,113.0,4,10,70,McMiRa01
72,71,Eli Manning,NYG,QB,25,16,16,301,522,3244,24,18,25,21,0.84,0,0,0,0,,0,9,2,0,,,188,187.9,210.9,205.9,4,11,71,MannEl00
73,72,Jason Witten*,DAL,TE,24,16,15,0,0,0,0,0,0,0,,0,90,64,754,11.78,1,0,,1,,,81,145.4,148.4,113.4,3,11,72,WittJa00
74,73,Warrick Dunn,ATL,RB,31,16,16,0,0,0,0,0,286,1140,3.99,4,28,22,170,7.73,1,1,,5,,,161,183.0,189.0,172.0,2,23,73,DunnWa00
75,74,Eddie Kennison,KAN,WR,33,16,16,0,0,0,0,0,4,16,4.00,0,101,53,860,16.23,5,0,,5,,,118,170.6,173.6,144.1,1,29,74,KennEd00
76,75,Jamar Martin,NYJ,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,,,,,,,,3,75,MartJa01
77,76,Ben Roethlisberger,PIT,QB,24,15,15,280,469,3513,18,23,32,98,3.06,2,0,0,0,,0,5,2,2,,,184,184.3,212.3,207.3,,12,76,RoetBe00
78,77,Marty Booker,MIA,WR,30,14,13,0,0,0,0,0,3,19,6.33,0,90,55,747,13.58,6,0,,6,2,,117,171.6,174.6,144.1,,30,77,BookMa00
79,78,J.P. Foschi,OAK,,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,,,,,,,,2,78,FoscJo00
80,79,Brett Favre,GNB,QB,37,16,16,343,613,3885,18,18,23,29,1.26,1,0,0,0,,0,8,8,1,,,184,184.3,213.3,202.3,,13,,FavrBr00
81,80,Steve McNair,BAL,QB,33,16,16,295,468,3050,16,12,45,119,2.64,1,0,0,0,,0,7,1,1,,,178,177.9,196.9,189.9,,14,,McNaSt00
82,81,J.P. Losman,BUF,QB,25,16,16,268,429,3051,19,14,38,140,3.68,1,0,0,0,,0,13,7,1,,,176,176.0,203.0,190.0,,15,,LosmJ.00
83,82,Chad Pennington,NYJ,QB,30,16,16,313,485,3352,17,16,35,109,3.11,0,1,0,7,,0,7,4,0,,,174,173.7,199.7,189.7,,17,,PennCh01
84,83,Tony Romo*,DAL,QB,26,16,10,220,337,2903,19,13,34,102,3.00,0,0,0,0,,0,9,3,0,1,1,174,174.3,196.3,187.3,,16,,RomoTo00
85,84,Rex Grossman,CHI,QB,26,16,16,262,480,3193,23,20,24,2,0.08,0,1,1,-4,-4.00,0,8,5,0,,,170,170.5,198.5,190.0,,18,,GrosRe00
86,85,Alex Smith,SFO,QB,22,16,16,257,442,2890,16,16,44,147,3.34,2,0,0,0,,0,10,5,2,,,164,164.3,191.3,180.3,,19,,SmitAl03
87,86,Kevin Jones,DET,RB,24,12,12,0,0,0,0,0,181,689,3.81,6,78,61,520,8.52,2,5,5,8,,,159,219.9,230.9,189.4,,24,,JoneKe02
88,87,Ronnie Brown,MIA,RB,25,13,12,0,1,0,0,0,241,1008,4.18,5,38,33,276,8.36,0,4,2,5,,,154,187.4,195.4,170.9,,25,,BrowRo05
89,88,David Carr,HOU,QB,27,16,16,302,442,2767,11,12,53,195,3.68,2,0,0,0,,0,16,6,2,,1,152,152.2,176.2,164.2,,20,,CarrDa00
90,89,Jake Delhomme,CAR,QB,31,13,13,263,431,2805,17,11,18,12,0.67,0,0,0,0,,0,6,4,0,,,151,151.4,169.4,162.4,,21,,DelhJa00
92,90,Matt Hasselbeck,SEA,QB,31,12,12,210,371,2442,18,15,18,110,6.11,0,0,0,0,,0,3,2,0,,1,149,148.7,171.7,163.7,,22,,HassMa00
