,Rank,Player,Team,Pos,Age,G,GS,passCmp,passAtt,passYds,passTD,passInt,rushAtt,rushYds,rushYPA,rushTD,Tgt,Rec,recYds,recYPR,recTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,ID
380,369,Sam Hurd,CHI,WR,26,12,0,0,0,0,0,0,0,0,,0,15,8,109,13.63,0,1,,0,,,11,18.9,21.9,14.9,,138,,HurdSa00
381,370,Sammy Morris,DAL,RB,34,3,0,0,0,0,0,0,28,98,3.50,0,7,5,13,2.60,0,0,,0,,,11,16.1,16.1,13.6,,114,,MorrSa00
382,371,John Clay,PIT,RB,23,2,0,0,0,0,0,0,10,41,4.10,1,0,0,0,,0,0,,1,,,10,10.1,10.1,10.1,,116,,ClayJo00
383,372,Colin Cochart,CIN,TE,24,10,3,0,0,0,0,0,0,0,,0,9,5,44,8.80,1,0,,1,,,10,15.4,15.4,12.9,,62,,CochCo00
384,373,Tom Crabtree,GNB,TE,26,16,9,0,0,0,0,0,0,0,,0,8,6,38,6.33,1,0,,1,,,10,15.8,15.8,12.8,,64,,CrabTo00
385,374,Jake Delhomme,HOU,QB,36,1,0,18,28,211,1,0,0,0,,0,0,0,0,,0,1,1,0,,,10,10.4,11.4,10.4,,55,,DelhJa00
386,375,Julian Edelman,NWE,WR,25,13,0,0,0,0,0,0,4,8,2.00,0,9,4,34,8.50,0,3,,1,,,10,14.2,14.2,12.2,,140,,EdelJu00
387,376,Taiwan Jones,OAK,RB,23,10,0,0,0,0,0,0,16,73,4.56,0,3,2,25,12.50,0,0,,0,,,10,11.8,11.8,10.8,,117,,JoneTa00
388,377,Vonta Leach*+,BAL,RB,30,16,16,0,0,0,0,0,12,35,2.92,0,27,15,69,4.60,0,0,,0,,,10,25.4,25.4,17.9,,115,,LeacVo00
389,378,Zach Miller,JAX,TE,27,4,0,0,0,0,0,0,0,0,,0,7,4,42,10.50,1,0,,1,,,10,14.2,14.2,12.2,,63,,MillZa02
390,379,Jerheme Urban,KAN,WR,31,6,1,0,0,0,0,0,1,7,7.00,0,13,4,35,8.75,1,0,,1,,,10,14.2,14.2,12.2,,141,,UrbaJe00
391,380,Ramses Barden,NYG,WR,25,8,0,0,0,0,0,0,0,0,,0,19,9,94,10.44,0,0,,0,,,9,18.4,18.4,13.9,,142,,BardRa00
392,381,Bernard Berrian,MIN,WR,31,5,1,0,0,0,0,0,0,0,,0,23,7,91,13.00,0,0,,0,,,9,16.1,16.1,12.6,,144,,BerrBe00
393,382,Richie Brockel,CAR,TE,25,11,2,0,0,0,0,0,3,12,4.00,1,3,3,13,4.33,0,0,,1,,,9,11.5,11.5,10.0,,66,,BrocRi00
394,383,Keary Colbert,KAN,WR,29,7,0,0,0,0,0,0,0,0,,0,12,9,89,9.89,0,1,,0,,,9,17.9,17.9,13.4,,147,,ColbKe00
395,384,Kevin Faulk,NWE,RB,35,7,3,0,0,0,0,0,17,57,3.35,0,9,7,34,4.86,0,0,,0,,,9,16.1,16.1,12.6,,118,,FaulKe00
396,385,Daniel Graham,TEN,TE,33,16,7,0,0,0,0,0,0,0,,0,5,2,25,12.50,1,0,,1,,,9,10.5,10.5,9.5,,67,,GrahDa00
397,386,Chad Hall,PHI,WR,25,7,0,0,0,0,0,0,3,13,4.33,0,9,3,20,6.67,1,0,,1,,,9,12.3,12.3,10.8,,143,,HallCh00
398,387,Greg Jones,JAX,RB,30,16,9,0,0,0,0,0,2,7,3.50,1,9,4,19,4.75,0,0,,1,,,9,12.6,12.6,10.6,,119,,JoneGr01
399,388,Marc Mariani,TEN,WR,24,16,0,0,0,0,0,0,1,4,4.00,0,12,5,24,4.80,0,1,,1,,,9,13.8,13.8,11.3,,149,,MariMa00
400,389,Weslye Saunders,PIT,WR,22,16,6,0,0,0,0,0,0,0,,0,8,4,29,7.25,1,0,,1,,,9,12.9,12.9,10.9,,148,,SaunWe00
402,390,Cecil Shorts,JAX,WR,24,10,0,0,0,0,0,0,0,0,,0,12,2,30,15.00,1,0,,1,,,9,11.0,11.0,10.0,,145,,ShorCe00
403,391,Luke Stocker,TAM,TE,23,14,9,0,0,0,0,0,0,0,,0,17,12,92,7.67,0,0,,0,,,9,21.2,21.2,15.2,,65,,StocLu00
404,392,Eric Weems,ATL,WR,26,16,2,0,0,0,0,0,0,0,,0,14,11,90,8.18,0,0,,0,,,9,20.0,20.0,14.5,,146,,WeemEr00
405,393,John Gilmore,NOR,TE,32,14,4,0,0,0,0,0,0,0,,0,6,3,20,6.67,1,0,,1,,,8,11.0,11.0,9.5,,68,,GilmJo00
406,394,Michael Hoomanawanui,STL,WR,23,8,8,0,0,0,0,0,0,0,,0,13,7,83,11.86,0,0,,0,,,8,15.3,15.3,11.8,,150,,HoomMi00
407,395,Henry Hynoski,NYG,RB,23,11,4,0,0,0,0,0,0,0,,0,16,12,83,6.92,0,0,,0,,,8,20.3,20.3,14.3,,120,,HynoHe01
408,396,Ruvell Martin,BUF,WR,29,14,0,0,0,0,0,0,0,0,,0,16,7,82,11.71,0,0,,0,,,8,15.2,15.2,11.7,,151,,MartRu00
409,397,Cameron Morrah,SEA,TE,24,9,4,0,0,0,0,0,1,1,1.00,0,13,6,74,12.33,0,0,,0,,,8,13.5,13.5,10.5,,69,,MorrCa00
410,398,Anthony Sherman,ARI,RB,23,15,7,0,0,0,0,0,1,3,3.00,0,9,8,72,9.00,0,0,,0,,,8,15.5,15.5,11.5,,121,,SherAn00
411,399,Billy Bajema,STL,TE,29,16,12,0,0,0,0,0,0,0,,0,14,9,71,7.89,0,0,,0,,,7,16.1,16.1,11.6,,70,,BajeBi00
412,400,Brandon Banks,WAS,WR,24,16,0,1,1,49,1,0,1,1,1.00,0,1,1,10,10.00,0,7,,0,,,7,8.1,8.1,7.6,,153,,BankBr00
413,401,Rock Cartwright,OAK,RB,32,15,0,0,0,0,0,0,4,45,11.25,0,6,4,24,6.00,0,0,,0,,,7,10.9,10.9,8.9,,122,,CartRo01
414,402,Chris Cooley,WAS,TE,29,5,5,0,0,0,0,0,2,3,1.50,0,13,8,65,8.13,0,0,,0,,,7,14.8,14.8,10.8,,71,,CoolCh00
415,403,Lee Evans,BAL,WR,30,9,2,0,0,0,0,0,0,0,,0,26,4,74,18.50,0,0,,0,,,7,11.4,11.4,9.4,,152,,EvanLe00
416,404,Nick Miller,2TM,WR,24,8,0,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,0,,1,,,7,7.8,7.8,7.3,,154,,MillNi00
417,405,Richard Bartel,ARI,QB,28,2,0,10,22,86,1,1,1,9,9.00,0,0,0,0,,0,0,,0,,,6,6.3,7.3,7.3,,57,,BartRi00
418,406,Charlie Batch,PIT,QB,37,4,1,15,24,208,0,1,3,-2,-0.67,0,0,0,0,,0,0,,0,,,6,6.1,7.1,7.1,,59,,BatcCh00
419,407,Rashied Davis,DET,WR,32,11,0,0,0,0,0,0,0,0,,0,5,4,63,15.75,0,0,,0,,,6,10.3,10.3,8.3,,155,,DaviRa00
420,408,Richard Goodman,SDG,,24,16,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,,1,,,6,6.0,6.0,6.0,,156,,GoodRi00
421,409,Bruce Gradkowski,CIN,QB,28,2,0,8,18,109,1,1,3,1,0.33,0,0,0,0,,0,0,,0,,,6,6.5,7.5,7.5,,56,,GradBr00
422,410,Matt Leinart,HOU,QB,28,2,1,10,13,57,1,0,1,-1,-1.00,0,0,0,0,,0,0,,0,,,6,6.2,6.2,6.2,,58,,LeinMa00
423,411,Brit Miller,STL,RB,25,12,1,0,0,0,0,0,5,14,2.80,0,3,3,41,13.67,0,0,,0,,,6,8.5,8.5,7.0,,123,,MillBr01
424,412,Matthew Mulligan,NYJ,TE,26,16,9,0,0,0,0,0,0,0,,0,9,5,58,11.60,0,0,,0,,,6,10.8,10.8,8.3,,73,,MullMa00
425,413,Kealoha Pilares,CAR,,23,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,,1,,,6,6.0,6.0,6.0,,157,,PilaKe00
426,414,Ryan Taylor,GNB,TE,24,15,0,0,0,0,0,0,0,0,,0,1,1,4,4.00,1,0,,1,,,6,7.4,7.4,6.9,,72,,TaylRy00
427,415,Armando Allen,CHI,RB,22,2,0,0,0,0,0,0,15,48,3.20,0,1,0,0,,0,0,,0,,,5,4.8,4.8,4.8,,127,,AlleAr00
428,416,Danny Amendola,STL,WR,26,1,1,0,0,0,0,0,0,0,,0,6,5,45,9.00,0,1,,0,,,5,9.5,9.5,7.0,,160,,AmenDa00
429,417,Deon Butler,SEA,WR,25,5,0,0,0,0,0,0,0,0,,0,7,6,51,8.50,0,0,,0,,,5,11.1,11.1,8.1,,158,,ButlDe00
430,418,Tyler Clutts,CHI,RB,27,16,8,0,0,0,0,0,0,0,,0,10,8,48,6.00,0,1,,0,,,5,12.8,12.8,8.8,,128,,ClutTy00
431,419,Jerome Felton,2TM,RB,25,14,3,0,0,0,0,0,3,10,3.33,0,7,4,40,10.00,0,0,,0,,,5,9.0,9.0,7.0,,125,,FeltJe00
433,420,Ahmard Hall,TEN,RB,32,12,7,0,0,0,0,0,6,24,4.00,0,14,9,46,5.11,0,1,1,0,,,5,14.0,15.0,9.5,,126,,HallAh00
434,421,DuJuan Harris,JAX,RB,23,5,0,0,0,0,0,0,9,42,4.67,0,2,1,4,4.00,0,0,,0,,,5,5.6,5.6,5.1,,129,,HarrDu01
435,422,Erik Lorig,TAM,RB,25,16,7,0,0,0,0,0,0,0,,0,9,6,53,8.83,0,0,,0,,,5,11.3,11.3,8.3,,124,,LoriEr99
436,423,Jake O'Connell,KAN,TE,26,8,4,0,0,0,0,0,0,0,,0,12,7,52,7.43,0,0,,0,,,5,12.2,12.2,8.7,,74,,OConJa00
437,424,Zach Potter,JAX,TE,25,15,7,0,0,0,0,0,0,0,,0,7,5,50,10.00,0,0,,0,,,5,10.0,10.0,7.5,,75,,PottZa99
438,425,Chris Redman,ATL,QB,34,5,0,18,28,188,0,1,5,-6,-1.20,0,0,0,0,,0,0,,0,,,5,4.9,5.9,5.9,,60,,RedmCh00
